Correct Response,Rotation (deg),Reaction Time (ms),Target
1,90,463.04450000688433,0
1,60,578.765399898924,2
1,180,629.0120999613405,0
1,-180,629.0120999613405,0
1,-30,537.4524999927357,1
1,-120,552.7782999263704,1
1,-90,672.1525000460074,2
1,0,696.8168000742421,2
0,150,411.6825999511033,2
1,-60,606.3454000098259,1
1,150,684.1887999610603,2
1,-30,500.03609995409846,0
1,60,532.2249000012503,1
1,-30,576.7352999239788,0
1,150,607.8020000416413,0
1,-150,552.5651000491903,0
1,120,673.3862000103668,1
1,-30,596.9887000094727,1
1,-150,748.7525999597833,2
1,120,697.7900000340865,2
1,-90,799.4641000689567,2
1,-90,676.0421999781952,2
1,120,576.8264999199287,0
1,60,516.2331000022218,0
1,90,555.5187000712008,5
1,180,650.4260000358895,4
1,-180,650.4260000358895,4
1,0,597.3613999370114,4
1,180,623.8104000506551,4
1,-180,623.8104000506551,4
1,-120,513.1985999462754,4
1,0,465.06850005179643,3
1,-60,555.180000053309,5
1,120,764.1030000807345,5
1,120,480.31990000098943,5
1,-150,610.6542999907956,4
1,-60,543.888599989526,4
1,90,563.0751999845356,3
1,-90,527.8731000428647,3
1,-120,564.3713000747935,5
1,-150,484.17019998241216,3
1,30,494.5816999818757,5
1,60,655.7189000589401,4
1,150,563.9887000718713,4
1,-120,592.2472999948636,3
1,-60,496.58810000918805,3
1,-120,444.54660001728683,3
1,-60,510.81680008728057,5
1,-150,484.8933999012783,6
1,150,445.4491000208631,6
1,30,603.0159999202565,8
1,150,601.683200016208,6
1,180,391.43149999953806,7
1,-180,391.43149999953806,7
1,30,499.6168000209704,7
1,0,504.1276999102533,8
1,60,579.2731999238581,7
1,0,506.30140004731714,7
1,180,625.8384000096098,6
1,-180,625.8384000096098,6
1,-150,579.4889000529051,8
1,150,492.0797000225261,6
1,30,546.5768999704719,6
1,90,616.3521999545023,7
1,0,551.9866999523342,8
1,-30,586.8567000427843,8
1,120,501.67870000522583,6
1,90,505.41030001413077,7
1,30,631.9239000143111,7
1,90,644.5895000645519,8
1,-60,469.10860008146614,7
1,-90,455.551899998039,6
