Correct Response,Rotation (deg),Reaction Time (ms),Target
1,60,549.6474999245629,2
1,0,416.60320002216844,2
0,0,664.8921000315249,0
1,180,1020.2918999139592,0
1,-180,1020.2918999139592,0
1,90,515.6329999454692,1
1,180,767.7141999602691,2
1,-180,767.7141999602691,2
1,0,478.17280003897844,2
1,30,627.3747000387311,0
1,0,589.8544000238553,0
1,120,734.9801999526471,2
1,-150,635.0385000706092,0
1,-90,749.3351999447123,1
1,30,556.8640000429377,2
1,30,587.0681999959425,0
1,-30,767.1810999755189,2
1,-150,549.1221999992058,2
1,-30,719.0069999788329,0
0,90,699.3602999728546,1
1,-60,470.02699994578956,1
1,-120,651.2925999714435,2
0,-120,505.4543000888452,1
1,90,531.8178999014572,1
1,90,596.9277999839187,1
1,60,535.6341999732331,0
1,90,529.9675000142679,0
1,180,722.7503000768274,5
1,-180,722.7503000768274,5
1,-120,582.989499905184,5
1,-120,797.1329999864474,4
1,120,1033.9295000313223,3
1,60,575.2096000370011,5
0,180,67.45039997719228,4
0,-180,67.45039997719228,4
1,-150,537.3886999450997,5
1,-120,914.0032998994366,5
1,-120,782.3172999788449,4
1,-60,722.9493000787124,3
1,60,715.0921000875906,3
1,120,857.5369999753684,5
1,-90,788.5452000201121,4
1,90,866.9723999929056,3
1,-30,775.0587000055611,4
1,-30,928.858499974981,4
1,30,577.974600019902,4
1,-60,590.4105000673235,5
1,-90,970.8163000187278,3
0,150,591.6943999482692,4
1,150,574.0738000031934,3
1,-90,650.2174999341742,3
0,150,982.7665000930801,4
1,-150,729.6425000541285,3
1,0,608.1601000633464,5
1,-60,533.1152000008524,7
1,120,679.4401999805496,6
0,60,-38.99569995604456,8
1,90,575.8658000277728,8
1,-90,708.2983000446484,7
1,-150,593.4781000260637,8
1,150,669.3057999955863,8
1,150,556.0466999896244,6
0,150,577.4500999842212,6
1,30,356.6845998876169,8
1,150,582.4285999415815,7
1,-90,743.0362999448926,7
1,180,1113.6199999610335,6
1,-180,1113.6199999610335,6
1,180,546.6170000154898,8
1,-180,546.6170000154898,8
0,150,713.155000005886,6
1,-30,1189.2152000228316,8
1,-60,695.9778000610322,6
1,0,528.6446000691876,8
1,150,520.7208000366018,8
0,150,296.52620002258567,8
1,60,788.808100042902,7
1,-120,747.4290999826417,8
1,150,568.026500056535,6
1,-30,717.0559999077022,8
1,0,842.6717000557483,7
1,120,566.2028000234068,6
