Correct Response,Rotation (deg),Reaction Time (ms),Target
1,15,490.8424000307545,0
0,-90,782.7879999816046,1
0,90,804.1717000590265,2
1,-45,1106.5895000058786,1
1,15,767.6093000039086,2
1,60,575.3409000165389,2
0,-60,625.9778000233323,1
1,45,763.709399994053,2
1,30,573.6077999747918,2
1,45,577.9952999721841,0
1,-45,977.8920000237972,1
1,90,1020.6683998979256,0
1,-45,951.0456000273675,1
1,-90,1005.5875999671966,0
1,0,568.5189001081139,0
0,30,-102.56,2
1,-60,774.4431000021846,1
1,-15,540.9916000492499,2
1,75,753.3482000283525,1
1,30,534.791900106296,1
1,-60,611.4549000333623,0
1,60,1029.457600000836,2
1,-15,682.8589000790939,0
1,45,521.5614000619948,0
1,90,1057.2421000390873,1
1,75,607.3867000225559,0
1,-75,688.7099000444264,5
1,-15,467.39669996831566,5
1,-75,590.4609998972714,3
1,-60,593.737400048934,3
1,-75,588.5630999976397,3
1,60,519.3367000022531,4
1,0,467.45900009345263,3
1,-45,632.1843000180647,4
1,30,551.4791999296845,3
1,-60,572.5207000789792,5
1,-30,462.65059991791844,3
1,-75,522.3476999956742,5
1,-60,562.6769999792427,4
1,15,513.4160999726132,5
1,60,464.878600002788,5
1,-45,669.2344999458269,5
1,-15,488.7103999783844,3
1,45,793.964100098759,4
1,75,500.03300004690885,4
1,45,579.2022999660671,3
1,-75,512.1852000295744,4
1,-90,620.2901000208781,3
1,0,542.3111000848562,8
0,-90,541.4741999987141,7
1,75,549.6074999967218,6
1,-45,600.4360000654683,8
1,30,518.0899000545592,7
1,90,489.4821000337228,6
1,-30,543.7745000520349,7
1,30,565.4602999850736,7
1,-90,461.25939991842955,6
1,-30,441.79770004056394,6
1,-90,496.0777000808716,7
1,90,628.9415000058339,8
1,-15,446.14699997991323,7
1,-90,593.7751999875159,8
1,75,509.71680009324103,7
1,60,679.2156000440568,8
1,15,496.89810004137456,6
1,15,586.23280006513,8
1,0,509.08249991998076,6
1,90,547.2341999696196,6
1,0,484.20330000162124,6
1,-30,563.9830999128149,7
1,-30,560.128700016588,8
