Correct Response,Rotation (deg),Reaction Time (ms),Target
1,90,559.528906970628,2
1,90,537.4428067834754,0
1,-90,703.3714066737969,0
1,-15,710.6088066020686,1
1,-75,513.292806829669,1
1,-90,528.4750067176003,0
1,60,481.25130697280946,1
1,0,434.53350677282396,2
1,90,508.47020666242423,2
1,-45,417.5404064835686,2
1,-15,416.90330687106433,2
1,30,375.63460660294476,2
1,45,488.21950671390476,0
1,60,435.5196064816493,0
1,0,541.4264063829262,2
1,-30,446.77660674915495,1
1,75,501.48640680254283,0
1,15,328.64770633295956,0
1,-75,371.2124066905755,0
1,45,395.8815062896985,0
1,-15,387.11600671649757,0
1,-60,555.0309067139108,1
1,-45,489.0967068740803,2
0,-75,457.6429064863998,1
1,-75,404.1538067640442,2
1,90,602.8434067511637,0
1,60,430.11080674023214,2
1,-30,448.68560661689224,2
1,45,498.6220068776685,0
1,-90,443.4061065794605,0
1,0,445.31690669373455,2
1,75,499.2289064930457,2
1,-45,495.1782064990777,1
1,-45,590.6176065573175,4
1,15,445.81640665546837,3
1,-15,423.88040679634395,4
1,60,454.52520684466543,5
1,60,879.1631065787453,4
1,-30,455.0479065173942,4
0,15,431.73780678898873,4
1,15,413.5351066024679,5
1,-15,476.2383067527491,3
1,-45,452.7838063904721,4
1,-90,458.16440708131375,4
1,-30,398.0610069365877,5
1,75,590.0481065282304,3
1,-60,701.3090068021495,3
1,0,427.9644066946286,4
1,-30,398.44970698595824,3
1,45,406.58780667126956,5
1,45,457.6771069796461,4
1,-15,443.102106592961,4
1,-60,421.00110664159837,5
1,30,374.8571068526882,5
1,15,375.55710659489813,5
1,-75,412.12830706626954,4
1,-30,471.46050692663374,3
1,30,364.1572065198499,3
1,-45,373.40620686427536,5
1,-60,457.26590664253416,4
1,0,410.5405063846785,4
1,-15,429.7969067947644,4
1,-75,440.48310644120755,5
1,-75,462.5262069994289,4
0,75,467.71390657068076,4
1,75,381.6198070080656,4
1,-75,469.65800658927145,3
1,0,496.4737069340128,6
1,-15,365.10780654043737,6
1,-45,538.4317065136213,8
1,15,424.384406443097,7
1,75,530.911306991585,8
1,60,444.25390628293934,6
1,0,517.4483066903133,8
1,90,519.4336065569598,7
1,-60,437.40690653339806,7
1,45,471.43440707714143,8
1,-30,508.0920068094212,7
0,75,554.7388067016084,6
1,75,357.19710649118605,6
1,30,389.76200684101167,8
1,90,421.20200689078155,7
1,30,358.9962070354897,8
1,60,454.94320676789465,7
1,-90,388.2007069432813,7
0,75,556.1766067066867,6
1,75,478.7646067807156,7
1,-90,430.76120657042446,8
1,15,409.3982066506225,7
1,-90,481.33330666587534,8
1,-60,605.8959068277557,8
1,45,441.17070655465903,8
1,30,378.45770702824774,8
1,-60,431.0594067455906,7
1,30,525.667706645437,6
0,-90,622.237706697889,7
1,-90,442.9963064858395,8
1,30,544.2691069574732,6
1,90,442.1239063622135,6
1,0,400.1046066650826,7
1,15,453.7102064596194,7
1,-75,455.3532066302079,6
