Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15,695.2740999414027,1
1,0,617.0568000534922,2
1,-75,510.5861000493541,2
1,75,526.1851999685541,2
1,30,569.484399981834,2
1,-75,402.2676999457553,2
1,15,454.3947000066191,0
1,-30,972.4466000926122,1
1,75,583.6842999570445,2
1,75,924.246100011319,0
0,90,640.0329000326246,2
1,30,607.738799998574,0
1,-90,397.35669992029665,2
1,45,692.6708000256122,0
1,45,559.8601000393182,0
1,90,561.5793999759853,0
1,75,752.1738000223786,2
1,15,531.7975999797136,0
0,-90,534.479500028342,0
1,90,684.6837999774516,0
0,-45,479.3113000933453,1
1,-30,344.6113000400737,1
1,-75,667.46599995628,1
1,0,517.7226000242308,2
1,15,518.3932000082359,0
1,60,541.3103000037745,5
1,-30,462.0374999950081,5
1,75,469.7708999747783,3
1,-90,746.2645999631286,3
1,45,497.8132999977469,5
1,60,554.1773999585212,4
1,-45,669.3835000051558,5
1,-30,672.6255000112951,4
1,0,522.5823000083119,3
1,-60,685.7885000072793,4
1,-60,551.1550999954716,4
1,-90,644.4941000091285,4
1,-15,347.4357000096142,5
1,-90,547.5710999463126,4
1,-45,599.7222999586165,3
1,30,1019.4935000045598,4
1,45,474.9732000064477,3
1,60,643.1315999953449,3
1,-45,670.9514999539033,4
1,60,484.3211999405548,3
1,90,720.9549000263587,4
1,30,504.69870003968475,3
1,-30,527.1874000328035,6
1,-75,677.1469999812916,7
1,0,503.94660001717506,8
1,-15,467.98469999436287,8
1,90,1077.6964999977872,6
1,15,481.16319999195633,7
0,15,461.25130006209014,8
1,15,541.503399960734,7
1,-60,442.7234999612346,6
1,45,615.6965999408067,8
1,-75,823.9923999654502,6
1,-15,763.1237999312953,6
1,-90,787.9007000020147,8
1,0,514.2990000322834,7
1,90,373.02149995326994,7
1,-60,508.64290003761647,7
1,-60,675.2404000154138,6
1,-15,629.4985999130085,6
1,-45,520.9906001119316,7
1,-45,318.72979994028805,7
1,60,452.82470004264263,7
0,-60,551.1928000497073,6
1,30,501.87700009070335,7
1,-60,744.4872000497207,6
