Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,630.5541000000776,2
0,-60,-109.0,2
1,-60,523.7658000000156,2
1,180,600.2852999999195,1
1,180,561.4546000000846,2
1,150,669.28640000007,0
1,60,570.6880000001693,1
1,120,777.226699999952,1
1,-150,575.4696999996813,1
1,0,524.4916999999223,2
1,0,463.1976999998333,2
1,-30,490.55570000010994,1
1,120,600.9706999997579,0
1,-150,578.686499999927,2
1,60,551.4362999996738,2
1,-150,447.9204000003083,2
1,-60,478.88800000002084,1
1,-90,580.8535000000265,0
1,30,492.1262000001807,1
1,150,608.0077999999194,2
1,-120,506.37959999986924,1
1,-150,600.6166000001176,0
1,30,595.205500000171,0
1,180,433.17819999985295,2
1,120,629.7616999999409,0
0,0,461.7677000000331,0
1,0,516.4228999996485,0
1,180,476.7787999998436,0
1,150,513.3468000002867,1
1,0,578.1477999998206,2
1,-30,380.84610000024986,2
1,150,549.9846000001671,1
0,60,459.29400000015085,2
1,60,492.49219999993875,2
1,-120,466.41249999985666,2
0,120,568.7721999997084,1
1,120,537.8325999999252,1
1,180,620.615400000057,0
1,60,481.1536000001215,1
1,180,464.92810000010286,2
1,90,639.1904999999642,0
1,-60,489.18940000013754,1
1,120,654.4106000000429,0
1,30,503.1267999997144,2
1,30,516.8705000000191,5
1,90,333.69509999958245,3
1,60,351.8717000000979,4
1,-30,483.10440000015296,4
1,-120,471.92089999991003,3
1,150,357.66940000022805,5
1,30,481.32139999999345,5
1,120,466.75390000010884,3
1,180,524.9238999998997,5
1,120,477.84139999968465,5
1,-150,572.9473999998991,4
1,-60,565.5150000001559,4
1,60,526.549600000104,3
1,-30,389.8656999998966,4
0,-150,371.6760999999824,4
1,-150,414.55089999991833,3
1,-150,398.58489999998346,4
1,-30,520.2191000002276,4
1,-90,408.17069999995147,4
1,-120,473.64340000005177,4
1,90,457.23510000008537,5
1,90,468.9763999998977,3
1,150,512.001200000137,5
1,90,641.8034000002226,4
1,30,500.9216000002343,5
1,-120,514.4639999997853,3
1,-60,453.00489999991987,3
1,-120,382.93719999993846,3
1,0,518.0536999995784,5
1,0,397.6284999998061,4
1,150,480.9875999998585,3
1,0,582.1747999997715,5
1,-90,512.6310999998313,3
1,-60,564.5286000002816,5
1,-90,379.10850000018036,4
1,90,385.94670000012775,3
1,30,499.22090000010576,3
1,-90,553.0239999997466,3
1,-90,459.0910999999469,3
1,-30,430.1711000002033,3
0,-90,340.21590000012657,5
1,-90,612.3865999997324,4
