Correct Response,Rotation (deg),Reaction Time (ms),Target
1,180,417.8353999708779,1
1,0,236.8608000073582,0
0,120,347.80499996524304,1
1,120,434.29250002047047,1
1,180,613.76110004168,0
1,-90,484.1294999900274,1
1,-60,374.4645999944769,1
1,0,395.0976000018418,1
1,-150,459.45560000510886,1
0,90,380.8302999790758,0
1,90,488.532499989029,2
1,150,626.1220999844372,2
1,60,455.8183000157587,0
1,180,395.27290005609393,1
1,30,347.9076999905519,2
1,90,414.7972000031732,1
1,150,319.32299997098744,0
1,0,400.2088000383228,1
1,-90,440.4190999888815,0
1,-30,366.1298000337556,0
1,-150,317.83940002461895,0
1,-120,339.8163000205532,0
1,0,339.37489997735247,0
1,180,466.25739999255165,2
1,-120,570.9289000337012,2
1,30,402.3575999857858,1
1,-30,411.9404999623075,2
1,60,312.0825999616645,0
0,-60,345.3935999972746,1
1,-60,445.16200001491234,2
1,-30,391.4729999927804,0
1,60,377.7863000254147,0
0,120,384.48069995176047,2
1,120,425.65099999448285,0
1,-90,370.5123999938369,2
1,-90,439.40009997133166,2
1,120,663.5068000145257,0
1,90,525.7562000155449,2
1,120,611.98530002404,1
1,-120,469.55199999175966,1
0,-60,417.83350001461804,1
1,-60,421.29379999497905,2
1,-30,345.4635000056587,0
1,90,417.13740001106635,0
1,30,411.4523999709636,1
1,-60,356.319000009913,3
1,90,386.3698000172153,5
1,150,304.60830003395677,5
1,-150,484.6983000137843,4
1,-150,537.7646000091918,4
1,-30,484.96169998217374,5
1,-60,493.4648000020534,4
1,30,456.8631999976933,5
1,-60,397.28009997308254,5
1,-60,363.9040000238456,3
1,-30,545.1776999947615,4
1,150,433.66069998266175,4
1,-90,364.05440000491217,4
1,150,317.7855999642052,3
1,30,252.4153999951668,3
1,60,505.94559998391196,4
1,120,500.9042999558151,4
1,-150,356.0112999952398,5
1,-150,528.350500037428,5
1,-90,424.91989995725453,3
1,30,340.9273000401445,3
1,180,374.8817000272684,3
1,0,410.7118000360206,5
1,-30,444.26610000338405,4
1,60,319.7288000341505,4
1,180,441.2429999760352,5
1,-120,396.62120001995936,3
1,-120,469.6669999943115,4
1,60,285.6771000046283,3
1,-120,318.7849000063725,3
1,-120,489.87390001676977,4
1,120,434.05350000504404,4
1,0,393.45620001805946,5
0,180,315.72700000507757,5
1,180,464.6595999915153,4
1,-90,396.965499964077,3
1,30,400.4106000033207,5
1,60,505.3107999814674,4
1,90,530.8643999709748,5
1,120,593.9867999954149,4
1,150,435.0735000302084,3
1,-180,417.84,1
1,-180,613.76,0
1,-180,395.27,1
1,-180,466.26,2
1,-180,374.88,3
1,-180,441.24,5
0,-180,315.73,5
1,-180,464.66,4
