Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,672.4671002021432,0
1,120,710.4012004575134,0
1,180,524.9603001876176,0
1,-180,524.9603001876176,0
1,180,584.9754998935759,2
1,-180,584.9754998935759,2
1,-90,602.6250000587106,1
1,-90,573.3580000242591,1
1,150,550.1506000301242,0
1,-30,501.48989982068537,1
1,-30,479.57490035429595,1
1,30,573.0559995873273,2
1,-30,494.65860030710695,2
1,-120,571.9401997058094,2
1,90,541.2567004105449,2
1,120,528.8527996754647,1
1,180,616.9768997943402,0
1,-180,616.9768997943402,0
1,-90,519.9441004088521,1
1,-150,578.3384002289176,0
1,120,608.9825003883243,1
1,0,502.6920998944342,2
1,-120,530.9487001514435,1
1,0,495.0276997415721,1
1,-150,491.34880001753567,1
1,180,570.7258998891712,2
1,-180,570.7258998891712,2
1,60,529.8908997802437,1
1,-60,495.1069999961555,1
1,180,559.7968001393974,0
1,-180,559.7968001393974,0
1,-60,551.5159999495745,1
1,-30,381.5451001292467,1
1,-120,454.1416002912819,1
1,90,471.5314002251625,1
1,-90,553.2013999773562,2
1,120,483.0408000862598,1
1,30,517.0334998993576,0
1,30,526.0630000858009,2
1,-150,522.4440998873115,2
1,60,758.7701000748575,0
1,30,525.632300182283,2
1,150,556.759400061369,0
1,-30,513.8864999181033,1
1,-150,546.9921000777185,2
1,-60,647.5287999501825,4
1,150,549.8340001805127,5
1,30,450.74050012141464,3
1,0,486.78369983196256,5
1,-60,543.9828999815882,5
1,120,710.0695997951925,4
1,0,464.3790998971462,4
1,-60,470.3876001304388,3
0,30,451.5735998293757,5
1,-60,511.7353999531269,3
1,30,411.3743000207841,3
1,180,584.5254000751675,4
1,-180,584.5254000751675,4
1,-30,541.1571001178027,5
1,-30,498.7753999894857,4
1,-120,698.6502998052538,4
1,150,520.6240999987722,4
1,90,595.2091000518203,5
1,90,536.6490997849405,3
1,-120,493.7237000568211,4
1,120,526.0032999804616,3
1,30,529.7377996622026,5
1,-150,592.7239998719097,5
1,60,495.8276001280546,3
1,150,659.3446999332309,4
1,180,498.64000012263654,3
1,-180,498.64000012263654,3
1,0,460.5082001081109,4
1,90,717.5076000867784,5
1,60,385.91580023154614,3
1,-150,577.6990999011696,5
1,60,539.3656000970304,5
1,-60,490.0613997606933,4
1,120,469.83870002537964,3
1,60,473.7823999030888,4
1,-150,542.5402999399603,5
1,90,491.54509999886153,4
1,0,472.10410027861593,4
1,60,926.2770998767019,3
1,-90,449.28389997318385,3
1,-90,440.46099973008035,3
0,150,506.66740001276133,5
1,-90,568.6323998971284,5
1,150,654.0400001695753,5
