Correct Response,Rotation (deg),Reaction Time (ms),Target
1,150,655.5011999146641,1
1,120,649.9398998269439,2
1,0,549.5095998333395,1
1,-60,571.8642999702693,2
1,150,531.2767001153529,2
1,60,586.5786001370848,1
1,0,593.5806003683806,1
1,60,503.3777999044955,2
1,-60,534.4329998181761,2
1,60,534.36170009017,1
1,90,497.5600000755489,1
1,180,620.5448000976444,0
1,-180,620.5448000976444,0
1,0,595.9175001183153,0
1,30,589.8018000000716,0
1,-90,815.5716001340747,0
1,-150,582.5560996593535,0
1,180,466.90259969845414,0
1,-180,466.90259969845414,0
1,-30,515.8796999888123,1
1,-120,497.6846003258228,2
1,-30,605.0645998032392,1
1,180,740.1252999255062,1
1,-180,740.1252999255062,1
1,90,586.5953001478315,0
1,120,580.4599998803437,0
0,90,465.6847999715805,1
1,-90,624.8599998937548,2
1,0,514.6152000227571,2
1,60,773.165000165403,1
1,30,510.8665000000596,0
1,-120,559.513299754411,0
1,-150,559.5986000546814,2
1,30,519.0647002594174,0
1,-30,589.714000030011,1
1,60,476.7701002122462,2
1,30,581.4314997108281,1
1,90,642.648099950105,1
1,150,555.664199898541,0
1,30,541.0861000703276,2
1,0,473.98029969125986,2
1,-120,522.6005995930732,2
1,-90,612.5135999457539,0
1,60,564.7169999131561,0
1,120,629.5341998623312,5
1,90,602.8191000507773,3
1,150,684.599999832511,5
1,-30,536.0865998366476,4
1,120,626.1696000868083,5
1,-120,624.1755998046697,4
1,60,1087.374500027448,5
1,-30,536.6475000330806,3
1,-30,481.59040001273155,3
1,-60,415.8856002898514,3
1,0,465.4188002744317,4
1,-120,559.4283002713323,3
1,-120,580.936099896729,4
1,120,565.8694999577106,5
1,150,574.1882999712229,5
1,-150,528.3466996909679,3
1,-90,655.0264000245929,5
1,90,499.82090017810464,3
1,120,594.4750998453796,5
1,-30,496.23229962825775,5
1,0,623.7672004202009,5
1,30,533.7037002021075,3
1,-90,725.6763996841014,4
1,-150,510.1361996778846,5
1,180,528.0891997092963,5
1,-180,528.0891997092963,5
1,180,571.3770003342629,3
1,-180,571.3770003342629,3
1,120,550.7497000792623,5
1,-60,496.6243002848327,5
1,150,643.6533998051286,4
1,90,559.9137000092865,4
1,-150,581.3148003356159,4
1,-90,547.5270999880136,3
1,150,626.2921998561919,4
1,180,570.229499629289,5
1,-180,570.229499629289,5
1,-60,548.4602996432782,4
1,-90,495.7847004109621,4
1,90,628.1290999898315,5
1,-60,636.9582996988297,5
1,30,507.53269999340176,4
1,-150,583.2062000693381,3
