Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0,769.0328999827989,0
1,30,864.3886999865435,0
1,-90,688.9101000209712,1
1,-120,803.2306999606453,1
1,-30,618.1182999802195,0
1,-90,681.6472000149452,0
1,-60,614.7702999818512,2
1,-150,722.2427999889851,2
1,150,707.3396000136063,0
1,120,658.8225000244938,1
1,-90,594.3258000128344,0
1,-30,755.6402999847569,1
1,180,563.9136999901757,1
1,-180,563.9136999901757,1
1,-90,608.9680999806524,0
1,60,580.199700017497,2
1,-60,953.1802000068501,1
1,120,576.8833999694698,2
1,150,608.727400010489,1
1,-30,445.0470000096038,0
1,90,706.3152000131458,1
1,60,559.5079000280612,2
1,-30,533.6550999721885,1
1,90,689.7570000086353,2
1,180,643.843199993521,1
1,-180,643.843199993521,1
1,-60,644.8350000367873,1
1,0,741.4909999873862,0
1,30,636.2971999855154,1
1,30,589.2974999673106,0
1,120,608.0620000078716,1
1,-150,602.847800002005,0
1,-30,553.7477999981866,0
1,60,871.8165000258386,1
1,150,825.8624999956601,2
1,-120,671.7062999899872,1
1,30,840.3775000418909,2
1,60,753.1412999900431,1
1,0,440.3336999761313,1
1,-120,655.9657000410743,0
1,-90,549.0186000182666,2
1,30,712.690900015682,0
1,0,557.4612999856845,4
1,120,748.5903999708034,5
1,0,605.9296000106633,4
1,90,651.6319999876805,5
1,180,575.4683000208252,3
1,-180,575.4683000208252,3
1,150,625.8510000128672,5
1,180,511.3254999681748,5
1,-180,511.3254999681748,5
1,-60,536.5414000056126,3
1,30,599.4607999977097,4
0,0,792.9654000266828,4
1,120,546.6434000349045,3
1,-120,605.074500018768,5
1,150,789.1062999782525,4
1,-150,635.8579000165128,5
1,90,766.473499993831,4
1,-30,546.8906999971159,5
1,120,570.3549999683537,4
1,-60,554.5218000128307,5
1,120,804.7959000044875,5
1,90,598.2623000103422,5
1,-90,827.2335000159592,4
0,-150,650.7317000008561,4
1,-60,671.0325000398234,5
0,0,979.2493999642693,5
1,60,752.3224000409618,5
1,-150,642.9375999663398,5
1,-30,490.7762000160664,5
1,180,547.9442000445351,4
1,-180,547.9442000445351,4
1,0,531.6200000173785,5
1,30,952.1648000167124,5
1,-120,791.6515999762714,3
1,-120,614.0961000286416,5
1,180,644.1817999524437,3
1,-180,644.1817999524437,3
1,90,654.7324999641069,5
1,-150,1061.867400008291,4
1,150,830.540599993933,4
1,180,655.061400023792,3
1,-180,655.061400023792,3
1,0,491.04950000163166,3
1,-60,570.286099967584,5
1,-150,595.2659000116773,3
1,60,568.3415000033938,5
0,-90,581.3358999961429,4
1,60,871.4085000041314,4
1,-90,957.5974999983237,4
