Correct Response,Height (deg),Reaction Time (ms),Target
1,28,726.8345000306144,1
1,2.83,557.5832999860868,1
1,16,607.9436999829486,0
1,21.17,566.1232999959029,2
1,21.17,480.14769999682903,0
1,11.31,512.2684999918565,2
1,21.17,558.9769000038505,1
1,28,518.3007999989204,0
1,5.66,665.3749999790452,1
1,21.17,468.9830000246875,1
1,8,610.7519000037573,2
1,2.83,678.7803000155836,2
1,1,808.1696999692358,2
1,5.66,572.8943000398576,2
1,2,583.0874000061303,2
1,4,431.4273999738507,1
1,16,646.6173999910243,0
1,16,406.9872999647632,1
0,1,792.5785999945365,0
1,1.41,610.9624000350013,2
1,2.83,581.8954000100493,2
1,1.41,931.797499998007,0
1,5.66,552.2475999863818,1
1,28,594.900899970904,2
1,28,586.4861999838613,1
1,28,447.8667000043206,1
1,11.31,452.33260001661256,1
1,11.31,595.0879999985918,2
1,16,500.47480000322685,2
1,1,867.1255000485107,1
1,4,511.22899999283254,2
1,8,537.1050999932922,1
0,2.83,648.9546999768354,0
1,4,593.5494999834336,2
1,4,714.5051000374369,0
0,11.31,561.3299999935552,0
0,1.41,830.413100015372,0
1,1,763.3340000142343,2
1,2.83,816.3403000184335,1
1,11.31,521.7061000261456,1
1,21.17,644.3279999624938,1
1,5.66,446.69070001365617,1
1,11.31,569.4377000294626,0
1,1,895.400700039696,1
1,2,691.1561999553815,0
1,11.31,564.3716999879107,1
1,1.41,773.7760999556631,1
1,28,839.8776000216603,2
1,1.41,834.0910000228323,1
1,5.66,697.7498999880627,2
1,16,527.3667999976315,2
1,8,605.6292999968864,2
1,4,830.4928000401706,0
0,11.31,982.0256000352092,0
1,2,646.3575999918394,1
1,5.66,554.1023000227287,2
1,8,715.4735000189394,0
1,8,500.76010002195835,1
1,1.41,721.3770000347868,2
0,1.41,833.8898000041954,0
1,2,737.5628999983892,0
1,4,609.875799968373,0
1,2.83,574.4398999926634,2
1,4,631.8451000228524,1
1,1,972.6992999752983,1
1,8,697.1412000097334,0
0,1.41,960.5076999836601,0
1,16,715.2099999915808,2
1,28,534.4285999857821,1
1,21.17,450.30680001620203,1
1,2.83,526.6630999944173,0
1,21.17,829.9926000148989,2
1,21.17,557.0407999879681,1
1,1,719.3950999611989,2
1,5.66,947.2914999900386,1
1,4,474.6478000273928,2
1,5.66,731.8940000226721,1
1,5.66,632.6559000266716,2
1,1,791.3557999967597,1
1,1.41,533.4097999697551,2
0,2.83,787.19080000557,0
1,16,566.7471000310034,2
1,21.17,588.9681000229903,0
1,11.31,497.7728999769315,0
1,11.31,476.00540000386536,2
1,8,527.1049999832176,1
1,5.66,692.3378000468947,2
1,16,637.2037000223063,1
1,11.31,663.9616000433452,0
1,1,844.9418999920599,0
1,21.17,739.102799966,0
1,28,467.20310003403574,0
1,5.66,618.4663999560289,0
1,28,317.1582000181079,0
1,28,485.71650002524257,1
1,4,463.66289996914566,2
1,21.17,379.68240002775565,1
1,4,588.0545999938622,2
1,4,463.8653999976814,2
1,1.41,734.0211000377312,0
1,8,493.3607000242919,2
1,11.31,431.8488999819383,2
1,2,529.4194999700412,2
1,16,417.8531999900006,1
1,1.41,745.6057000057772,0
1,5.66,556.1197000173852,0
1,28,442.82500003138557,2
0,1,465.2966000107117,0
1,2,722.9487000117078,2
1,21.17,412.23090001987293,4
0,28,456.77570002991706,5
1,16,475.2545999912545,5
1,5.66,550.3695000046864,3
1,4,480.89840000867844,3
1,1.41,576.7235000352375,5
1,2.83,576.0886999745853,5
1,2.83,384.56219999026507,5
1,4,494.5701999790035,3
1,1.41,532.3640999817289,5
1,1.41,423.0206000469625,5
0,1,428.6453999779187,4
1,1,732.9528000522405,4
1,16,558.1963999979198,3
1,21.17,646.0285999896005,4
1,28,467.7579000093974,5
1,2.83,561.4231000039726,3
0,4,455.7220999817364,4
1,2,687.8589999945834,5
1,11.31,464.0405999929644,4
1,2,503.8029999672435,3
1,8,518.4644999648444,3
1,2.83,499.02400001557544,4
1,16,514.0325999786146,4
1,2,557.4750000345521,3
1,8,485.6030000341125,5
1,8,420.7106999787502,3
1,1,559.2403999730013,5
1,28,778.628800002858,3
1,11.31,522.6926999716088,5
1,1.41,561.2205000328831,5
1,2,422.6878999583423,4
1,4,800.5147000043653,5
1,2.83,511.9749999688938,4
1,1,910.4379999884404,4
1,2.83,468.6845999644138,3
1,8,572.60460004583,5
1,1,724.1171000027098,5
1,2.83,504.9133999822661,5
1,1,715.495900014881,3
0,4,450.58519998239353,5
1,1,523.7456000144593,5
1,1.41,403.5204000505619,5
1,2.83,383.1292000217363,5
1,2,534.7411999795586,5
1,8,427.43079998437315,4
0,1.41,388.3821000312455,5
1,8,524.9214000036009,3
1,21.17,553.5096999923699,5
1,1.41,574.7473000050522,3
1,5.66,476.95970005262643,3
1,2,526.6155999819748,5
1,21.17,582.7427000007592,4
1,28,509.4198000119068,5
1,4,624.1878999830224,4
1,1.41,737.64950001752,4
1,16,585.4897000212222,4
1,2.83,742.5817999723367,5
1,2.83,461.0189000344835,3
1,16,490.78799999225885,5
1,1,710.549800013192,4
1,2,533.5965999951586,4
1,1.41,519.0975000117905,4
1,5.66,539.8336999900639,5
1,4,549.8417000020854,5
1,2,669.8323000422679,4
1,5.66,570.1631999658421,4
1,4,615.3750999914482,3
1,21.17,520.26780001726,3
1,16,532.5232000290416,5
1,8,523.5848000124097,3
1,11.31,468.5631000287831,4
1,1,876.1441000355408,5
1,2,738.109200025443,4
1,1,549.3236999576911,3
0,16,-109.0,3
1,8,460.30500001180917,5
1,11.31,493.6755000348203,5
1,1.41,506.0142999831587,4
1,11.31,441.15110003296286,5
1,11.31,492.9714000285603,4
1,8,460.77469997946173,3
1,11.31,480.4544000038877,5
1,2.83,525.7255000146106,4
0,1,470.84969997778535,4
0,1,614.3488000347279,5
1,8,556.7867999747396,4
1,21.17,668.3749000043608,5
1,5.66,546.8488000300713,4
1,28,517.7232000245713,5
1,1,625.8632999928668,5
1,5.66,318.8345999773592,3
1,11.31,522.3949999748729,4
1,21.17,505.51889999443665,3
1,4,509.7428000266664,5
1,16,459.70400003390387,5
1,16,543.7851999853738,3
1,2,505.51169999781996,5
1,28,614.9823999698274,4
1,2.83,613.6447999710217,4
1,28,401.67310001235455,4
1,2.83,452.9321999838576,4
1,1,558.881999979727,3
1,2,570.4028999865986,4
1,16,626.464800032787,5
1,28,1054.6991999694146,4
1,2,501.2670999825932,3
0,1.41,438.93850000714883,5
1,1.41,469.2988999853842,3
