Correct Response,Height (deg),Reaction Time (ms),Target
0,2.83,1059.422499963101,1
1,11.31,1058.6499000173249,1
1,8,485.2740999749117,1
1,5.66,773.1073999866098,0
0,21.17,495.6451000152342,1
1,28,625.5956999929808,2
1,21.17,641.034499972146,0
1,2.83,629.7424000194483,0
1,16,579.2384000350908,2
1,21.17,882.6940999687836,1
1,4,626.483199998755,0
0,1,893.621499996651,1
1,5.66,505.6115000015311,2
1,4,827.1473000031151,1
1,11.31,595.6638999604806,2
1,1,896.2675000047498,1
1,1.41,739.0232000006549,0
1,11.31,539.2965999753401,1
1,8,520.3838000279106,0
1,1.41,1127.3616999942064,0
1,21.17,900.4307999829948,1
1,1,868.1705000316911,0
1,28,608.2678000065685,2
1,21.17,717.0053999843262,1
0,5.66,619.1039000377245,1
1,5.66,478.9813000215404,1
1,2.83,700.1502999891713,2
1,21.17,909.6940000280924,0
1,8,501.8067000173219,0
1,2,569.2821999518387,1
1,1.41,500.6860999828391,1
1,28,622.5656000287458,2
1,21.17,539.6346999886632,2
1,8,608.6998000364006,2
1,4,724.6813999926858,0
1,11.31,715.7747999853641,0
1,2.83,590.5399000011571,0
1,16,482.1128000011854,0
1,8,604.0082999943011,2
1,16,506.5570999840461,2
1,1,721.8485999591835,2
1,2,755.9011999955587,2
1,1,1048.2909000101686,0
1,1.41,762.1565000126325,1
1,4,633.9600000037067,0
1,21.17,961.135100046657,1
1,1.41,740.290200043954,0
1,1,718.8531000255794,2
1,16,693.1103999931552,1
1,28,625.8561999974959,2
1,2,632.1159000480734,2
1,1,528.9749000193738,2
1,1.41,805.8782999841683,0
1,11.31,546.070699984692,2
1,21.17,489.7013999843225,2
1,28,442.6116999793053,2
1,2,555.6500999927707,2
1,2.83,391.561700028386,2
1,1.41,743.8798000193387,0
1,11.31,679.8544000457227,2
1,1,773.8098000381328,0
1,16,693.0778999785148,1
1,4,595.9824999999441,1
1,2.83,544.8511000112817,2
1,1.41,543.2612000121921,1
1,1.41,510.69459999866785,2
1,21.17,481.1934000435472,2
1,16,553.8795000147261,2
1,5.66,713.8189999940992,1
1,5.66,931.8861999754049,0
1,16,563.8241999522038,0
1,2.83,587.6600000164658,1
1,1,941.8978000148386,1
1,4,601.3028999995627,0
1,21.17,618.3887000051513,0
1,4,690.2733999858797,1
1,28,574.7661000322737,0
1,4,927.379600002449,0
1,2,639.259799962882,1
1,4,639.2179999938421,2
1,1.41,671.8428999856301,2
1,8,395.42050001632424,1
1,5.66,693.6094999518432,0
1,1,680.6069000130706,1
1,2,599.3118000305444,1
1,2,509.7925999988988,0
1,4,620.3931000172347,0
1,2.83,500.89970003768804,2
1,11.31,562.5993999974057,1
1,21.17,557.7446999931894,2
1,2,633.2974000224099,2
0,1.41,594.9391999719851,0
1,1,895.6952000125498,0
1,11.31,488.2170000318624,2
1,2.83,640.6038999529742,0
1,2,556.7735999911279,1
1,11.31,590.8002000041492,0
1,8,476.9358000457473,0
1,28,429.9705999992043,0
1,1.41,631.8799999980442,0
1,8,540.1937999967672,2
1,5.66,488.7800000114553,2
1,2.83,564.8218999821879,1
1,8,579.8684000009857,0
1,16,611.5470999474824,1
1,2.83,557.8891999875382,3
1,5.66,483.3443000070006,3
1,2,426.52969999194147,3
1,4,386.7317000376247,3
0,1.41,388.54219997024165,5
1,28,537.2035999871046,3
1,4,634.3642999972403,5
1,2.83,548.328900008481,3
1,4,518.8910000114888,5
1,1.41,492.5437999745086,5
1,16,712.9668999668397,4
0,11.31,503.1749999588542,5
1,1,778.2238000044786,4
1,5.66,505.61409996312113,3
1,1,1042.6207000245527,3
1,2,549.9092999934405,4
1,8,499.1780999670923,5
1,4,491.0491000018269,5
1,28,1088.178800008744,4
1,4,605.7753000031412,3
1,5.66,435.7738000080176,3
1,21.17,476.4356000204757,4
1,8,655.7361999848113,5
1,28,775.8158999467455,4
1,5.66,525.338499978669,3
1,11.31,655.8024999657832,5
1,4,1072.229000038486,5
1,16,475.090199962277,4
1,5.66,413.78360002722593,3
1,21.17,493.82259999124335,5
1,1,849.309700014554,5
1,28,330.6575000141934,3
1,1.41,440.77669997654857,3
1,1.41,390.3254999867827,3
1,28,411.8942000176944,3
0,11.31,488.5820000171848,5
1,2,556.0498000094854,5
1,2.83,689.3416999927908,4
1,2.83,506.0019000056386,5
1,16,555.3916000034847,3
1,21.17,472.0710000228323,3
0,2.83,703.9985000128113,4
1,5.66,453.7444999995828,3
1,1,513.9610999585316,3
1,28,817.6234000101872,4
1,28,547.6307999897003,4
0,2.83,358.99959999091925,5
1,2,619.1393000162393,3
1,1.41,548.334599993676,5
1,5.66,437.656800027024,3
1,11.31,476.0364000075683,4
1,1.41,916.2254999946058,4
1,8,517.9435000145063,3
1,28,431.17799999613317,3
1,21.17,366.9868000406027,3
1,16,482.7252000076883,3
1,1,573.7167000160739,5
1,5.66,482.1885999962874,5
1,11.31,589.9265000452474,5
1,16,737.0317999711447,4
1,8,460.8642000211589,4
1,2,690.9330000025407,5
1,11.31,570.0323000173271,4
1,8,429.11329999055715,4
1,16,562.5078999991715,3
1,2,349.0194000159577,3
1,2.83,768.4792000190541,4
1,16,545.7312000189163,4
1,28,607.1008000262268,3
1,1,569.7772000539303,5
1,5.66,501.68450001815336,3
1,2,736.5192000260763,5
1,1,688.7838999945857,4
1,11.31,432.41889995710926,5
1,1,653.8920000284165,4
1,8,631.6755000124872,5
1,8,440.00010000031443,4
1,4,481.89450002696367,5
1,1,759.3930999837071,5
1,2.83,544.9347000075691,4
1,8,544.3011000142619,4
0,16,447.8879999923706,5
1,11.31,551.3091000002064,3
1,2,433.8374999906123,4
1,5.66,577.2209000396729,5
1,16,560.2378000011854,4
1,11.31,590.830099998992,5
1,11.31,547.2615999723971,4
1,16,507.9433000036702,5
1,21.17,628.5904000369087,4
1,1.41,591.4623000398465,4
0,1.41,441.1430999725312,3
0,11.31,523.024799997937,5
1,5.66,529.4910000493005,3
1,28,511.63830002492296,3
1,8,525.1177999861725,4
1,28,892.9590000161156,5
1,16,573.1511999592371,5
1,21.17,448.5719000194408,3
1,2,787.2122000525892,4
0,4,-96.02,4
1,4,509.89740004019814,3
1,2.83,488.61590004248546,4
1,2.83,539.8099000421539,5
1,21.17,536.0235000234284,5
1,11.31,465.880099972263,3
1,1.41,616.3700000005961,5
1,4,483.6642999989167,3
1,2.83,422.62199998090045,3
