Correct Response,Height (deg),Reaction Time (ms),Target
1,2.83,366.20789998816326,1
1,21.17,302.52070002863184,0
1,1.41,490.50640000170097,0
1,11.31,333.1843000454828,0
1,4,412.2967999977991,1
1,1.41,499.91050001373515,2
1,1,445.18630002532154,0
1,2,448.90600000182167,1
1,28,329.9233000110835,0
1,5.66,324.3972999593243,0
1,5.66,362.4984000311233,0
1,4,285.526100018993,0
1,28,451.15959999058396,1
1,1,559.5746000148356,1
1,11.31,462.9734999584034,1
1,28,348.15390000259504,2
1,4,441.4052999895066,1
1,4,406.7280000275932,1
1,5.66,367.32010001689196,1
1,8,347.52820001123473,0
1,8,384.5070000356063,2
1,1,455.3882999429479,0
1,5.66,361.4476000042632,1
1,5.66,397.44599995575845,1
1,11.31,234.40690000681207,0
1,16,492.8972000456415,2
1,4,445.88860001787543,0
1,28,417.1985000106506,2
1,11.31,225.76950001204386,0
1,5.66,411.47940000193194,0
1,5.66,266.3357999958098,2
1,4,351.5002000462264,0
1,4,445.83430001186207,2
1,1.41,428.9538999986835,0
1,2,405.0121000004001,1
1,5.66,331.72370004141703,1
0,1,429.28779998002574,2
1,1,532.382200003136,2
1,28,557.2561999983154,1
1,21.17,423.513200014364,2
1,16,379.6720000067726,2
1,1,392.9697999814525,2
1,2.83,244.92129997489974,0
1,21.17,362.4936999953352,0
0,1,566.1429999712855,1
0,1,593.1354999742471,0
1,1,485.12690001772717,0
1,4,364.3348999870941,0
1,16,450.3040999956429,1
1,2.83,311.67570000654086,0
1,1.41,509.14269999740645,1
1,1.41,336.88429998839274,0
1,8,341.9216999867931,0
1,5.66,327.1941999522969,0
1,1.41,472.6107999999076,1
1,11.31,315.30179996881634,0
1,16,450.7501000156626,1
1,2.83,483.87430002586916,2
1,11.31,286.6424000207335,0
1,2,415.32550000958145,2
1,28,479.4937000228092,2
1,2,475.898000000976,1
1,11.31,398.3217000463046,0
1,8,395.0644000400789,2
1,16,399.83449998218566,2
1,21.17,435.3022000254132,1
1,16,365.47509999619797,2
1,1.41,437.37400002684444,0
1,5.66,400.2673000181094,1
1,2,437.9641999807209,1
1,8,388.36010003834963,2
1,4,522.5692999633029,2
1,16,403.53429998178035,1
1,4,436.73079996043816,1
1,8,304.4759000153281,2
1,1,416.6989999907091,0
1,21.17,358.48750004917383,2
1,11.31,378.6588000333868,1
1,2.83,528.6148000126705,2
1,11.31,385.9575999635272,1
0,1,438.94969997601584,2
1,1,452.64829997578636,2
1,5.66,363.96129999449477,2
1,4,435.73239998333156,1
1,1.41,421.24870000081137,0
1,8,450.21969999326393,2
1,28,522.0328000108711,1
1,21.17,296.86729999631643,0
1,5.66,356.0733000016771,1
1,28,492.69520002091303,2
1,2.83,478.354899966158,0
1,8,402.28289999905974,1
1,2.83,379.7044000206515,0
1,8,354.26770004816353,0
1,1,386.98309997236356,0
1,8,365.2279999773018,0
1,2,391.0327000161633,0
1,4,467.8654000130482,0
1,1,410.70410003559664,0
1,1,370.35949999373406,0
1,21.17,494.6447000224143,1
1,4,358.6752999657765,2
1,2,505.81800000183284,2
1,16,406.97860001493245,2
0,1,496.8350999956019,4
1,1,445.1383000090718,3
1,2,414.41840002918616,3
1,2,353.43829996092245,4
1,5.66,469.8302000146359,5
1,2.83,415.78330000303686,3
1,2,330.0224000089802,4
1,16,459.52040003286675,4
1,2.83,399.27559997560456,3
1,2,389.1302000232972,4
1,8,519.7509999820031,4
1,2.83,377.8845999590121,3
1,11.31,487.47380001842976,4
1,21.17,481.8462000079453,3
1,8,501.9536000294611,5
1,4,408.7661000052467,4
1,8,566.8542000316083,4
1,28,758.3999999882653,4
1,16,364.65539998281747,4
0,1.41,448.5455999933183,5
1,1.41,362.48479998577386,5
1,2,426.6931000133045,5
1,4,382.7970999958925,3
1,1.41,436.02050002338365,3
1,16,467.4219000120647,5
1,11.31,370.0874000173062,3
1,8,405.35519999358803,5
1,16,360.9615999707021,3
1,11.31,422.79009997984394,4
1,1,610.3321999511681,4
1,28,301.86770000401884,5
1,16,291.99609998287633,3
1,8,421.49679996911436,4
1,21.17,465.48310003383085,5
1,28,351.33540001371875,5
1,16,395.79759997688234,5
1,11.31,351.03290003864095,3
1,1,691.3141999943182,4
1,28,513.3974999738857,4
1,4,349.84989999467507,3
1,2,412.3091000332497,5
1,2.83,413.4576999899,5
1,1.41,235.22979998635128,3
1,8,385.83340000733733,5
1,2.83,374.53769996901974,3
1,28,475.5147999934852,5
1,5.66,445.00090001057833,4
1,11.31,311.75970000587404,3
1,16,410.41519998945296,5
1,1,473.6269999961369,5
1,11.31,476.07259999169037,4
1,1.41,260.2358999978751,3
1,1.41,451.0127000361681,4
1,5.66,319.9094000123441,3
0,28,631.3995000058785,5
1,28,412.8399000004865,3
1,1.41,683.9891999810934,3
1,1.41,498.3128000134602,5
1,28,483.55130001110956,4
1,21.17,231.10380000108853,3
1,5.66,459.2914000353776,4
1,21.17,327.8335999897681,4
1,16,386.59360003331676,3
1,5.66,463.8092999779619,5
1,11.31,305.6469999686815,3
1,2,370.919700010214,3
1,11.31,444.5931000486016,5
1,2,292.3318999786861,3
1,2,337.5760999592021,3
1,28,434.4118999983184,5
1,21.17,348.6763999648392,3
1,2.83,329.6449999874458,3
1,21.17,401.9245000057854,5
1,1.41,598.3682000045665,4
1,16,436.2722000190988,5
1,2,231.29660001397133,4
1,2,539.4290999942459,5
1,16,423.2976000024937,4
1,4,394.79200000315905,4
1,1.41,464.50410002982244,5
0,1.41,342.260200003162,5
1,1.41,417.4178999932483,5
1,1,499.932500006631,5
1,21.17,298.83549996558577,3
1,21.17,307.6643999633379,3
1,11.31,336.76589995995164,5
1,28,409.4442999889143,4
1,5.66,381.9879000042565,3
1,1,488.3181999870576,3
1,2.83,367.7156000016257,5
1,2.83,359.678799981717,3
1,2,642.64400000358,4
1,2.83,339.67839996004477,3
1,1,668.464399987366,4
1,21.17,490.56289996625856,5
1,8,348.35789998434484,4
1,8,501.0680000381544,5
1,2.83,530.8852000129409,5
1,2.83,437.5560000156984,4
1,11.31,433.6852999953553,5
1,28,395.3047999497503,4
1,21.17,371.26019998360425,3
1,4,361.0734000070952,3
1,21.17,438.5465999916196,4
