Correct Response,Rotation (deg),Reaction Time (ms),Target
1,60,464.6488000256941,2
0,-120,498.1671999525279,1
1,-30,395.4192998902872,1
1,150,598.9044999554753,2
1,90,311.7421999890357,0
1,-30,510.03479997999966,2
1,-120,488.5530999712646,2
1,-150,486.30089993495494,2
1,-90,428.5215000240132,2
1,60,362.4596000267193,1
1,0,812.5209999820217,2
1,-90,392.5536999562755,2
1,-60,543.3385000182316,1
1,150,484.8438999000937,2
1,90,431.15050001908094,1
1,0,380.70500007271767,0
1,150,506.2942000189796,2
1,120,494.8686000974849,1
1,120,502.613699933514,2
1,-120,576.5567001039162,1
1,-30,481.4320999979973,2
1,-60,449.46870003733784,2
1,-150,559.7933999346569,1
0,150,475.62500001769513,0
1,-60,459.6977000441402,2
1,-90,459.2766999816522,2
1,-120,438.42780001834035,2
1,120,591.2206000033766,1
1,-60,449.2681999076158,0
1,150,593.2315000649542,1
1,-90,471.32680000178516,2
1,-120,538.5237999111414,2
1,120,488.3804999375716,1
1,-30,457.0951000172645,1
1,-120,511.6068000756204,2
1,90,648.6795000350103,2
1,90,623.4376999167725,1
1,30,445.71810000017285,1
1,180,445.0382999461144,1
1,-180,445.0382999461144,1
1,30,510.94440003763884,0
1,-60,316.6205999990925,2
1,-150,432.6831000475213,1
1,180,524.8229000102729,5
1,-180,524.8229000102729,5
1,90,550.6283001126722,4
1,120,499.3130999468267,4
1,60,554.7235999805853,4
1,0,233.42610004730523,4
1,120,488.54970006179065,4
1,-120,402.49429997894913,5
1,150,637.6331999748945,4
1,-90,489.30750001128763,3
1,-90,428.2895000036806,4
1,30,472.4641999313608,3
1,-30,498.3196999495849,4
1,30,517.3545999536291,3
1,30,414.96609995048493,4
1,150,527.3766000140458,4
1,180,460.53280000016093,3
1,-180,460.53280000016093,3
1,0,419.04689994081855,3
1,90,543.7010999852791,3
1,-150,440.48419996071607,3
1,60,469.93880002666265,4
1,30,381.19489996135235,4
1,0,417.55399998184294,4
1,180,548.2441000025719,3
1,-180,548.2441000025719,3
1,60,481.90609999839216,5
1,0,471.57640003971756,3
1,180,553.1761000715196,4
1,-180,553.1761000715196,4
1,30,389.5980000346899,4
1,120,531.6748000299558,4
1,-90,426.6982999946922,4
1,-60,503.8091000718996,5
1,0,397.2127000419423,4
1,-30,540.9927999684587,3
1,60,521.0590999890119,3
1,150,544.6005999660119,4
1,-30,517.9606000278145,5
1,-150,501.23109999950975,3
1,180,655.2408999381587,5
1,-180,655.2408999381587,5
1,-150,467.22449996415526,4
1,60,455.8183000739664,4
1,180,394.5870000720024,4
1,-180,394.5870000720024,4
