Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30,664.1278000034299,2
1,-90,584.6587999995472,2
1,30,495.55870000137014,2
1,0,534.3048000077624,1
1,-90,503.97899998739825,1
1,-150,594.8298000012664,0
1,30,572.9124000072852,2
1,180,750.2732000003243,0
1,-180,750.2732000003243,0
1,30,487.36240000386255,0
1,60,382.4212000045599,1
1,-120,595.1701999884472,2
1,120,507.86440000325905,1
1,90,537.8280999876233,1
1,-150,593.446400002963,2
1,90,962.1286000047485,0
1,150,623.3684000044968,2
1,-30,575.6850000044005,2
1,30,529.2731999953185,0
1,0,511.35200000232084,2
1,60,559.029400000386,0
1,90,617.8926000002912,0
1,-120,538.7550000023703,1
1,-90,489.05010000550186,1
1,60,518.0089999931306,0
1,-30,531.5186999951629,2
1,-120,570.5757999977004,0
1,180,548.5838999894122,2
1,-180,548.5838999894122,2
1,-90,507.22020000199785,1
1,-90,621.0201999938954,2
1,60,581.6404000079865,0
1,90,572.0474999989756,0
1,-30,451.0414999977592,2
1,90,494.4406000004755,0
1,-90,710.8620999943605,0
1,180,623.4947000057809,2
1,-180,623.4947000057809,2
1,-60,623.315299993069,2
1,120,618.3104999955185,0
1,150,761.9510999948625,0
1,-150,479.7430999906873,1
1,-150,664.7412999892049,1
1,-150,636.4713000085112,5
1,-120,503.117300003455,3
1,30,511.61509999752974,5
1,150,584.5642999930215,3
1,-60,337.0975000007683,4
1,150,653.7706999961893,4
1,30,506.193300011605,3
1,-30,545.3942000031611,5
1,-60,623.6032000024943,5
1,90,601.004600002002,4
1,0,436.9718999960832,4
1,60,424.6457999989297,4
1,-30,418.8474999983236,4
1,90,376.4968000041926,4
1,60,412.1841000024369,5
1,150,738.38369999527,5
1,-60,469.33980001000685,4
1,120,503.1317000112403,5
1,120,294.85769999252165,3
1,60,469.7630999881448,5
1,180,436.90070000690406,5
1,-180,436.90070000690406,5
1,120,495.46619999552144,3
1,0,331.85579998923,4
1,-60,380.5857999987574,5
1,150,497.484299995508,4
1,120,410.99700000001116,4
0,120,454.5643000029167,5
1,-150,642.1167000090145,4
1,150,493.3908999965433,5
1,-90,553.144100006707,4
1,-120,483.110799993542,5
1,-30,539.075800000378,5
1,-120,545.5825999970921,5
1,-60,539.6290000072122,3
1,-60,518.8046999983862,4
1,180,491.9827999993367,3
1,-180,491.9827999993367,3
1,0,438.0413000045018,5
1,30,404.38079999973064,5
1,0,422.5680999962287,5
1,120,502.4242000081949,5
1,180,504.66130000228526,5
1,-180,504.66130000228526,5
