Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,530.0237999735587,0
1,120,524.5834000497312,2
1,120,474.8196999980323,1
1,30,455.1668000030518,2
1,120,564.5491000004299,1
0,-30,472.4888000027463,1
1,-30,521.3439000044204,1
1,-60,436.22630001932384,2
1,90,611.154799987115,0
1,60,442.31049995591866,1
1,120,651.5313000390493,0
1,0,451.87609997533264,0
0,180,498.21049999168144,2
0,-180,498.21049999168144,2
1,120,512.4789000228234,1
1,150,670.9714999860339,0
1,90,681.7394000217505,1
1,60,477.57409995842727,2
1,-30,508.28509998695927,0
1,-150,598.897400018312,0
1,180,629.224399975054,1
1,-180,629.224399975054,1
1,30,618.4293000232615,0
1,30,513.9987000120059,2
1,-90,631.1966999755427,0
1,-120,535.3677999782562,2
1,-150,565.3885999899544,2
0,60,542.5094999927283,1
1,90,560.3256999720074,1
1,-60,441.12160004165025,1
0,-150,510.75559999749066,0
1,-90,537.035999991484,2
1,-30,427.42470005482437,1
1,-150,491.31100001700224,2
1,30,515.5713000539877,1
1,120,580.1530000143871,0
1,-120,488.73569996517153,1
1,180,473.3235000139289,2
1,-180,473.3235000139289,2
1,180,643.731500019338,2
1,-180,643.731500019338,2
1,60,532.3310999637656,1
1,-120,544.9776999857463,0
1,30,512.3493000255153,1
1,180,498.3796999994852,2
1,-180,498.3796999994852,2
1,-30,437.85779998593034,1
1,90,618.8003999968246,1
1,-90,488.6627999921516,2
1,0,451.7463999772631,5
1,-30,456.976099984739,5
1,-90,412.62950002869593,5
1,0,473.8728000056185,4
1,-120,504.18970000186937,5
1,-30,391.84390002351256,5
1,-150,460.1666000061855,3
1,-150,368.5104000005126,3
1,150,447.7793999803439,4
1,150,538.8223999734223,4
1,0,427.6639999561198,3
0,-90,527.3775000213832,5
1,-30,480.0538999815658,5
1,-60,398.8966000005789,3
1,-60,467.7693000384793,5
1,60,468.3258999693394,3
1,90,481.58349998716267,5
0,-60,487.685099998042,5
0,-120,428.03959996394815,5
1,-120,540.0166999870166,5
1,-60,429.7188000027277,3
1,0,405.5654999655858,3
0,90,428.9790000156686,4
1,-90,450.7084999904223,4
1,-120,563.6702000019327,4
1,150,508.6738000363298,3
1,90,465.24569997286426,5
1,180,398.0835000374541,3
1,-180,398.0835000374541,3
1,-90,475.91670002743604,5
1,180,524.1757000303082,4
1,-180,524.1757000303082,4
1,150,475.66689998798074,5
0,30,381.2241000095569,3
1,0,456.8147999788821,4
1,60,420.05519999379294,5
1,120,585.3777000419982,5
1,-90,446.5931999702193,3
1,30,459.970600027144,4
1,150,581.6128999549151,4
1,30,406.0263999826461,5
1,-150,608.2647000411712,4
1,-150,476.7164999474958,3
1,-60,462.73169998034837,3
1,180,380.1674999967404,3
1,-180,380.1674999967404,3
1,90,450.9918000521325,4
1,60,440.7209000173211,3
