Correct Response,Height (deg),Reaction Time (ms),Target
1,4,389.03780000365805,0
1,1,716.9676000016043,1
1,2,488.0184999896446,2
1,28,561.2369999984512,2
1,16,593.76250000461,2
1,28,550.6218999911798,1
1,4,484.79600000102073,0
1,2.83,581.2281000075163,2
1,2.83,617.4955999999074,1
1,28,604.7048000004143,1
1,16,570.2918999999529,1
1,1,603.1675000089454,2
1,28,698.9963999916799,0
1,16,556.3365999954985,1
1,28,465.13069999893196,1
1,2.83,520.3854999967152,0
1,2.83,561.5483999976423,2
1,5.66,538.1126999967964,1
1,2.83,597.5702999971109,0
1,4,468.8349000029266,2
0,5.66,850.2745999980252,0
1,5.66,526.2971000014804,1
1,1,984.9790999982506,2
0,21.17,513.7363000070909,1
1,21.17,578.430799996946,2
1,1,964.9587999996729,0
1,2,577.6781999997329,1
1,28,621.6548999913502,2
1,2.83,643.4510999937775,2
1,21.17,495.11139999632724,2
1,16,492.4138000027742,1
1,16,488.00739999243524,1
1,1.41,573.3563999932958,0
1,16,522.615199992666,2
1,8,451.60850000358187,1
1,2,477.591800005408,2
1,11.31,328.87200000952,2
1,8,312.4453000022331,2
1,21.17,557.9193999987328,0
1,1,620.4379999948433,2
1,11.31,506.71929999627173,1
1,1.41,537.0230999946361,1
1,16,574.33359999815,2
1,8,503.0299000031082,1
1,11.31,519.5056000051554,1
1,8,621.0979000137886,0
1,1.41,501.0309999892488,2
0,1,806.1183999929344,1
1,1,669.4603999898536,0
1,2,570.3714999948861,1
1,28,667.3955000118585,1
1,11.31,604.5854999942239,0
1,4,479.82780000567436,2
1,5.66,527.9531999953324,1
1,1.41,549.1928999949014,1
1,1.41,485.1187999997055,1
1,21.17,704.8182999973651,0
1,11.31,334.1521999940742,0
0,1.41,554.8845999987097,0
0,1.41,491.14849998697173,1
0,1.41,411.54990000033285,0
1,1.41,532.6551000002073,2
1,4,532.2086000054842,2
1,2.83,533.7073999948334,0
1,2,611.104199994239,1
1,28,591.8757000003243,2
1,1.41,575.6613000088837,1
1,28,561.1483000069857,1
1,5.66,589.7564000010025,0
1,2.83,447.4412999956403,2
1,2.83,681.5286000022897,0
0,2.83,515.2955000052461,2
1,2.83,544.3099999942351,0
1,4,465.3568000034429,2
1,8,534.9509999909205,1
1,5.66,526.9154999954626,2
1,1,529.8066000072286,0
1,1,492.8923000083305,2
1,2.83,356.35419998690486,2
1,16,378.4631999991834,1
1,4,388.5400000112131,1
1,4,337.59500000125263,0
1,2,392.6345999902114,1
1,2,395.4166000006953,2
1,21.17,366.17920000245795,2
1,2,533.287499998929,0
0,1,499.7439999973867,1
1,1,302.433199988096,1
1,16,526.3544000012334,1
1,5.66,400.3697999982396,1
1,16,513.6373999961652,0
1,4,499.62700000870973,2
1,11.31,402.53119999798946,1
1,16,474.7004000059096,2
1,4,688.5595000025351,2
1,4,345.64240000001155,2
1,1.41,378.21609999483917,2
1,4,383.57020000368357,2
1,2,558.5564999895869,0
0,1,510.87420001241844,1
1,1,662.033199998783,0
1,4,573.9473999969196,0
1,28,365.4829999981448,0
1,5.66,475.94559999962803,1
1,1,612.1271999985911,2
1,5.66,529.1672999996226,0
1,2,612.525599990855,0
1,2,621.4090999969048,0
0,11.31,437.80099998950027,1
1,11.31,396.4498999961652,1
1,5.66,532.3102000078652,3
1,1,641.0179999915417,4
1,11.31,394.0072000081418,4
1,4,428.074499996379,5
1,5.66,474.97940000577364,3
1,21.17,291.96359999733977,5
1,1.41,615.8208000091836,4
1,8,393.04690000100527,4
1,21.17,460.2620000045281,3
0,1.41,395.8086000024341,4
1,1.41,482.46379999583587,5
1,1.41,501.48550000123214,3
1,1,486.6848999921931,3
1,4,447.1152000009315,3
1,16,369.6449000093853,5
1,2,519.2638999982737,4
1,21.17,493.1270000055665,3
1,1.41,498.6308999909088,5
1,8,419.8589999981923,3
1,2.83,455.21620000037365,5
1,2.83,493.25670000363607,3
1,11.31,377.7635999980848,5
1,2,393.0112999918638,4
1,5.66,420.97319999849424,3
0,8,333.7677999919979,3
1,8,316.595799999428,5
1,8,408.3904999974184,3
1,21.17,513.3611000023084,3
1,16,390.8836000013398,5
1,1.41,520.4121999962954,4
1,8,398.3807000007946,4
1,16,514.5421000019414,3
1,4,535.5957000105409,3
1,8,342.9290999887744,3
1,28,299.25959999347106,3
1,11.31,517.9528999982867,4
1,21.17,480.9119999958202,5
1,2.83,483.0806999929482,4
1,16,407.1326000088593,4
1,21.17,400.3069000140531,3
1,5.66,457.91359999240376,4
1,8,414.15449999878183,4
1,28,522.87040000048,4
1,2.83,585.5948999928078,3
1,11.31,515.5634000079008,5
1,5.66,459.6058000137564,5
1,16,578.6629000034882,4
1,21.17,457.94119999883696,5
1,1.41,511.4624999954831,5
1,21.17,414.194199995487,5
1,11.31,372.280499996501,5
1,8,519.0444000003627,4
1,2,513.7899000077741,5
1,16,460.0589000005275,3
1,1.41,579.555799992173,3
1,21.17,450.8023999918951,5
1,2,584.6439000128303,3
1,8,354.14419999544043,3
1,2.83,463.88079999852926,3
1,21.17,474.26089999172837,4
1,28,584.5369999991963,3
1,11.31,272.81900000199676,4
1,21.17,465.6157999965362,5
1,5.66,502.0853000136558,3
1,11.31,368.3828000033973,4
1,4,438.8506999934325,4
1,2,508.2242000029655,4
1,28,423.59169998636935,3
1,28,526.856299995794,5
1,11.31,354.57460001308937,4
1,1,599.5463999974309,4
1,1,343.299700002186,4
1,28,463.2498999966774,3
1,8,391.0696000060998,5
1,5.66,487.7726999951992,4
0,2,431.49450000457,5
1,2,364.61249999084976,5
1,21.17,551.2637000032701,3
1,1,563.6936000050046,3
1,5.66,494.2507999916561,3
1,5.66,414.19290000014007,3
1,28,455.6952999959467,4
1,1.41,448.30849999235943,3
1,28,487.5633999876445,5
1,21.17,438.8304999996908,5
1,2,486.48410000570584,3
1,8,405.965199996368,4
1,8,466.8490000007441,3
1,5.66,361.57049999420997,3
1,1,384.342699992354,3
1,11.31,498.872699998552,5
1,11.31,440.2637999996077,3
1,8,544.5263999976451,3
1,16,423.2141999931773,5
1,4,411.8931999950437,5
1,1.41,485.3342999962624,4
1,2.83,513.0123999955831,5
1,2.83,493.6609999971697,3
1,11.31,424.9145999896573,3
1,4,470.9705000099493,4
1,5.66,483.9050999984611,3
1,1,411.70999999705236,4
1,1.41,396.4363000090234,4
