Correct Response,Height (deg),Reaction Time (ms),Target
1,4,567.5148000002932,2
1,1.41,377.23879999911645,2
0,21.17,463.47020000329707,0
1,4,475.85109999571927,0
0,5.66,570.0223000015226,2
1,21.17,430.1138000003388,2
0,1.41,608.7207000012254,0
1,28,699.2944000005932,1
1,5.66,559.6885999978381,1
1,2,572.9707000057656,0
1,8,417.8898000020976,0
1,1.41,476.21079999889247,2
1,28,633.5887999951351,1
1,1.41,773.6684999975237,0
1,28,624.4071999965795,1
1,11.31,490.81740000046324,1
1,11.31,516.4365000012308,0
0,11.31,597.7216000021995,0
0,16,593.1349000013993,1
1,21.17,656.9499999962259,1
1,28,738.8888999987953,2
0,2,714.7491999997269,1
1,16,521.6514000051516,1
1,8,374.8349000009452,0
1,16,555.6413000006555,0
1,4,571.4368999972917,1
1,28,493.0617999992077,2
0,11.31,654.5487999967859,2
1,2.83,632.5424000017788,0
1,1,528.5431000004733,2
1,28,537.148900002006,1
1,21.17,524.3926000032784,2
1,11.31,482.0042999993288,0
1,2.83,581.3531000015187,1
1,8,502.59579999628244,2
1,8,495.9475999997207,1
1,1.41,653.2177999973042,1
1,8,515.608599998171,0
1,5.66,430.70649999507935,1
1,21.17,541.7694999990031,0
1,11.31,378.317000001783,1
0,4,520.8503000024334,0
1,2,580.1371999980743,1
1,2,596.362900002799,1
1,8,376.17880000406643,0
1,1,653.9899999982422,1
1,2.83,494.96730000036536,0
1,4,513.2491000033892,1
1,5.66,478.59920000273036,0
1,4,645.9298999973666,0
1,11.31,505.1503999996325,2
0,2,836.3614999973775,1
1,2.83,484.1594999955245,2
1,4,579.9019000035455,0
1,5.66,594.5694999966631,0
1,16,476.49420000315644,0
1,2,568.0995999930869,1
1,4,533.5637999954029,0
1,11.31,430.41070000553503,0
1,11.31,501.56640000140527,2
1,21.17,427.87260000413283,2
1,11.31,511.64799999905284,0
1,5.66,491.27209999941755,2
1,21.17,492.47350000159116,1
1,1,718.1745999981044,1
1,8,463.0167999996897,1
1,28,494.5899999941443,0
1,16,501.8700000066869,2
1,8,457.0747999962745,1
1,1.41,574.4907999972324,1
1,5.66,483.78499999607214,2
0,1,553.5432000026899,0
1,16,471.34330000635003,2
1,2.83,493.41349999967264,0
1,11.31,474.0980999988946,2
1,2.83,472.1457000044151,0
1,4,568.965899997505,0
1,8,600.0014000012866,1
1,2,509.6836000005109,1
1,16,552.0002999976837,1
0,28,598.9345000046283,0
1,2.83,515.5851000011294,0
1,5.66,544.1223000009754,1
1,16,554.2945999980416,0
1,2.83,552.0117000044534,1
1,2.83,500.9461000002315,0
1,21.17,501.3881000043452,2
1,1.41,650.1803999993112,0
1,5.66,429.925199997609,2
0,1.41,585.1206000000216,1
1,16,550.0390999944043,2
1,5.66,566.044400001641,0
1,28,481.25509999890113,2
1,16,530.0381999980286,1
1,2,639.4586000017566,2
1,8,389.759500001031,2
0,1.41,507.8951000025822,2
1,8,474.8647000008472,0
1,11.31,435.22109999984735,0
1,4,424.02279999741353,0
1,5.66,499.1749999965518,1
1,2,416.92059999995166,2
1,8,494.29000000172294,2
1,4,469.32659999519586,1
1,11.31,530.1294000012545,1
0,28,483.9273999962583,1
1,4,526.4469999959088,2
1,21.17,481.55299999715993,2
