Correct Response,Height (deg),Reaction Time (ms),Target
1,2,729.9456000046712,0
1,2,903.1658999893489,2
1,21.17,858.9617999978736,1
1,5.66,655.1045999959251,1
1,8,661.4022000003979,2
1,2.83,601.6960999996309,2
1,2.83,506.24550000162793,2
1,11.31,550.9570000004396,2
1,16,534.8718000032613,2
0,2.83,569.4505000001891,1
0,16,843.5807999931649,0
0,2.83,909.5512999929861,2
0,4,-99.04,0
1,28,530.5186000051117,0
1,5.66,571.9023000138486,0
1,1.41,917.6757000105363,1
1,28,690.0827000072832,2
1,16,488.21140000751706,0
0,2,756.7925999911176,1
1,11.31,585.8438000005344,2
1,16,577.5284000129113,1
1,1.41,719.1356000121823,2
1,28,571.8071000019927,2
1,28,476.5729000073997,0
1,28,594.8284999913676,1
1,1.41,657.5868999944441,2
1,21.17,494.26760000739245,0
1,1,714.0260000024364,2
0,2,718.9436000053911,2
1,2,984.4210000019893,0
1,8,627.4373000060814,2
1,21.17,574.9892000031332,0
1,4,549.2584999893234,0
1,11.31,726.052399987625,1
1,16,682.8211999973655,1
1,11.31,515.7370000097808,2
1,11.31,552.8639999984671,1
1,8,830.5704000095511,1
1,2.83,573.1489000036754,0
1,16,846.1088000049722,1
1,2.83,585.7022999999253,1
1,5.66,587.1499000068661,0
1,4,603.6950999996998,1
1,21.17,668.1583000036562,1
1,21.17,576.2611999971932,0
0,1.41,790.4805000007991,0
1,1.41,559.0454000058025,0
1,1,783.8616999952728,1
1,1,753.686299999631,2
1,16,661.0113000070351,2
1,8,740.8695000058879,0
1,5.66,664.4705999943335,2
1,1.41,721.1066000027722,2
0,5.66,708.0187000111118,1
1,4,1011.452499996326,0
0,16,697.3130999986688,1
1,28,726.4043000041647,1
1,5.66,543.2135000019707,2
1,5.66,509.14419999850446,0
1,5.66,590.6796000063559,0
1,11.31,584.6622999970941,2
1,5.66,487.70810000229625,0
0,4,643.115100000673,2
1,4,1124.3004999860796,1
1,21.17,510.4415999967977,2
1,4,1048.26719999352,1
0,8,753.6569000085956,1
1,4,526.2191999946162,0
1,1.41,614.3469999961462,0
1,2.83,914.2270000020881,1
1,5.66,558.3581999972603,0
0,21.17,894.8654999995279,1
1,11.31,838.8026000039326,1
1,16,675.0727999906894,2
0,28,652.7864999962412,2
0,4,-99.04,2
0,11.31,-99.04,1
0,16,-99.04,2
1,2.83,525.9213999971189,0
1,1,656.932600003588,1
1,1.41,572.9399999991665,0
1,5.66,1123.1178000026057,1
1,4,709.9185999987321,1
1,2,847.8683000003593,2
1,1,623.9772999989009,2
0,21.17,531.6323000016064,1
1,21.17,603.6288999903854,0
1,11.31,685.1734999955306,1
1,28,633.5897999970848,2
0,8,487.53280000625176,1
0,1.41,644.690999995023,0
1,1.41,815.1646999913874,1
1,16,859.6679000048107,1
1,5.66,804.7274999999581,1
1,21.17,565.0707000032207,2
1,2.83,685.9637000025623,0
1,28,686.0329999918258,2
1,28,567.9348999993317,2
1,21.17,668.0942999965418,0
1,11.31,528.5593000017479,0
1,1.41,523.4704000041029,2
1,28,497.4519000107329,0
1,16,470.0359999997681,0
1,2.83,607.454300000486,0
1,5.66,555.5864000062365,2
1,1.41,918.4984000031045,2
1,5.66,543.2080000037467,0
1,2.83,577.3850999985962,2
1,1.41,734.0544000044838,1
1,4,518.023199999393,0
1,11.31,543.2708000017237,1
0,2,603.869899991937,1
1,21.17,672.9613999933144,2
0,28,733.0411000012327,2
1,21.17,527.1297000009008,2
1,11.31,486.32309999180956,0
1,4,690.9636000064575,1
1,4,624.257200005618,1
1,21.17,499.58160000193396,2
0,4,687.0361000047205,2
1,5.66,805.8842000037339,2
1,4,525.8592000037106,1
1,1,520.5502999897953,3
1,1,571.0155999996141,5
1,16,495.267099992875,3
1,4,484.0523000030452,5
0,1,769.715700008478,4
1,28,502.2505999959912,4
1,16,451.7365000074869,4
1,16,511.04899999433195,3
1,1.41,601.953100006599,5
1,16,580.7133000062686,5
1,11.31,456.4585999915516,4
1,1,703.15329999818,5
1,1,631.5279999990389,5
1,8,489.77070000643374,4
1,5.66,490.40670000346375,3
1,2,591.285399991707,3
1,11.31,549.3733000049042,5
1,11.31,471.28279999111777,4
1,1.41,900.2966999988212,4
1,21.17,460.7908999906294,3
1,8,604.9011000005203,5
0,2,613.8853000020981,5
1,21.17,461.70939999962224,4
1,2.83,646.2575000051083,4
1,21.17,451.09099999632684,4
1,16,579.6808000023384,5
1,11.31,439.12300000471527,5
1,8,457.5959999938868,5
1,1.41,632.6020999995899,3
1,11.31,522.4794999967935,5
1,28,531.6583000104083,4
1,1.41,628.0789000020968,5
1,1.41,658.6879999968596,5
1,1.41,578.9690999964159,5
1,11.31,510.307899997374,4
1,2.83,534.4583000124339,3
1,28,430.39409999716094,3
1,8,562.3245000034012,4
1,8,494.7841999974707,3
1,2.83,680.3267999940226,5
1,2,610.2260000053002,4
1,4,669.1259000081709,3
1,2.83,855.032400010773,4
1,1,534.0424999895413,5
1,4,498.1111000097962,5
1,28,473.7888000100292,3
1,8,536.326399990744,4
1,8,462.8123000011919,4
1,4,540.9813000015356,5
1,4,598.9380000110623,4
1,2,613.0436999965832,4
1,5.66,459.02099998881107,3
1,4,530.193400002704,5
1,16,524.1702999929339,4
1,11.31,486.14589999584945,5
1,28,500.1128000013204,5
1,1,653.8319999972964,3
1,2,575.9667999964813,4
1,21.17,417.9288999885693,5
1,16,481.8536999965226,4
1,2.83,547.8586000108999,3
0,11.31,978.8372000048776,3
1,2,532.8353000086872,3
1,2,476.4384000018844,3
1,21.17,506.0753000007616,3
1,1,746.1851999988221,4
1,16,590.0747999995156,4
1,2,760.9535000092956,4
1,2,563.7204000095744,3
1,1.41,530.8453000043892,3
1,4,343.6903000120446,3
1,1,667.5702000075626,4
1,1,542.8079999992997,3
1,8,497.9097000041883,4
1,2,624.2647999907285,4
1,2,578.4221000076877,5
1,28,510.67360000257844,4
1,11.31,434.2040000056522,4
0,2,576.7067999996152,5
1,2,473.574100005012,5
1,2.83,786.6909000013629,4
1,8,492.53709999999495,4
0,16,795.1866000085511,4
1,21.17,512.9680000109738,3
1,1,605.7558000039216,4
1,28,786.0702999906289,4
1,16,497.12669999377334,3
1,8,532.7320000079135,5
1,2,640.6710000019893,4
1,5.66,497.5764999990724,5
1,2.83,507.167999997423,3
1,2.83,588.0999999945425,4
1,1,567.1250000023656,3
1,2,544.337700005658,3
1,8,523.4585000008019,4
1,8,466.09339999946764,3
1,28,634.9973000042746,3
1,28,488.3227999972086,3
1,8,508.17880001074167,4
1,2,567.6479999975209,5
1,5.66,471.4714000011235,3
1,1,696.5169999903674,4
1,2.83,499.8993999916501,3
1,1,583.5487000013609,4
1,8,492.7649000028986,5
