Correct Response,Height,RT,Face
1,5.66,996.2354365943611,1
1,1,872.9441930527173,1
1,22.63,1041.766549282329,1
1,22.63,589.0522850722846,1
1,2.83,621.3441085383238,1
1,28,1366.1392045369212,2
0,2.83,739.5897653304928,2
1,4,712.4872298736591,2
1,22.63,636.0183623592093,1
1,5.66,786.9818263989146,2
1,5.66,776.2718158819553,0
1,4,730.020831562797,0
1,4,654.5807421880454,0
0,28,664.0486413407416,0
0,2,686.7073604053076,1
1,2.83,793.7436362699373,2
1,1,1063.3432422346232,2
1,16,717.0798675224432,1
1,2.83,787.5842794228447,0
1,1.41,655.1715898849579,2
1,16,749.5751255510186,2
1,28,977.1730036873123,1
1,28,1013.9147875424896,0
1,8,760.0847735038769,1
1,2,818.8043167720025,2
1,2,667.2698023576231,0
1,28,943.5339382434904,2
1,28,741.6968149182139,0
1,8,768.7201610815464,1
1,1,784.0084732542891,2
1,2.83,599.2758958373088,0
1,28,550.0235690551563,2
1,28,785.7772616816874,2
1,8,636.725945996659,1
1,1,694.8112922564178,2
1,16,709.2469541994433,0
1,4,617.6655610888702,0
1,22.63,876.868500376986,1
1,22.63,750.2011305641645,2
1,11.31,691.7403178285895,0
1,1.41,718.7227040139987,1
1,22.63,795.19600886033,1
1,2.83,746.3348498768028,0
1,1,770.4752961826671,2
1,2.83,793.078377943857,1
1,8,663.9557987209628,1
1,1.41,869.8930159480369,1
1,1.41,721.3400466744133,0
1,28,728.6445762674703,0
1,1,742.1163133703885,0
1,1,850.2069673613732,1
1,8,670.9306004840982,2
1,1.41,734.1523281138507,1
1,16,1053.478713952245,1
1,28,672.7519542173468,0
0,2.83,672.6294156133008,0
1,22.63,769.739381893487,0
0,4,869.4131015272433,1
1,1.41,881.618492610869,2
1,1.41,825.2483454725734,1
1,2,608.8888615822725,2
1,4,561.9671576068868,0
1,22.63,613.1408487381123,0
1,28,949.2191833323886,1
1,5.66,680.8210700855852,0
1,8,782.7479298994149,2
1,2,728.4558190303869,2
1,2.83,579.3734420267356,2
1,2.83,730.0658875392401,0
1,5.66,585.5170975482906,0
1,28,656.6301064722211,1
0,22.63,519.131552870931,1
1,16,622.3855160051244,2
1,11.31,770.5736001335026,0
1,22.63,806.4576137603581,0
1,2.83,635.6108105674139,1
1,11.31,817.5277307591386,1
1,8,604.8741009708465,2
1,16,620.1719704722564,1
1,11.31,622.3575266858461,0
1,2,727.7042034147598,0
0,22.63,895.4049388867134,1
1,2.83,805.1830757467542,2
1,22.63,748.0206943464509,0
1,11.31,660.6011764388313,2
1,5.66,679.0799296441037,1
1,8,718.9725598855148,1
1,2,767.431969741665,0
1,28,678.7874071269471,2
1,4,705.2605242397476,2
1,2,793.4231244335024,0
1,8,663.3318417070768,0
1,2.83,639.2494220381195,1
1,4,705.3622415214704,1
0,2,554.4905961014592,2
1,5.66,785.5516404642913,1
1,2,825.0892842206667,2
1,11.31,686.0311794189329,0
1,2.83,726.5600546670612,1
1,4,729.2733119456898,1
1,5.66,697.2173496915275,2
1,22.63,844.7616794819623,1
1,5.66,788.9045560805243,2
1,8,681.4706270870374,0
1,22.63,714.2829836202509,2
1,1,906.9204956567773,0
1,2.83,698.7376475799465,0
1,28,682.5772291867906,0
