Correct Response,Height,RT,Face
1,2,865.4402330348603,0
1,16,757.2675852406974,2
1,4,882.1771745579099,0
1,1.41,697.1161083074549,0
1,8,696.558710879799,1
1,28,1076.3706157013075,0
1,22.63,752.854144486264,2
1,28,939.142645613174,2
1,28,692.040139441815,0
1,11.31,878.4672219244385,2
1,5.66,663.5828332509845,2
1,11.31,632.6204813003642,0
1,2.83,734.2924346530708,0
1,5.66,1256.089131706176,2
1,1,880.0250675240022,2
0,4,664.8925294748551,1
1,1,786.2519101863654,0
1,5.66,944.702966562545,0
1,11.31,909.6173072412057,0
1,22.63,858.1937251319687,1
1,11.31,840.8123461649666,0
1,8,867.4005107031917,0
1,5.66,808.8847033823185,1
1,11.31,823.0357031316089,2
1,22.63,720.6503629904546,0
1,28,1147.0494970963045,2
1,1.41,3897.286979803539,1
1,2.83,759.4971749540491,0
1,28,951.6371544123103,2
1,5.66,743.4801055542266,1
1,11.31,614.1645848174448,1
1,2,637.7155648369808,2
1,16,789.9386521494307,2
1,16,704.6489949270835,0
1,5.66,696.8130042560006,0
1,1.41,960.7159399620286,0
1,4,785.0490513155819,1
1,1,830.7102431081148,1
1,22.63,729.0918790986325,0
1,11.31,641.7463708585274,2
1,1,887.3869461140202,1
1,11.31,800.6927019850991,0
1,1,788.8549186318414,2
1,1.41,872.7345276129199,2
1,16,701.4179330417392,2
1,1.41,987.899731268044,1
1,2,595.4441549565672,2
1,1.41,723.4527101354615,1
1,2.83,698.081057806121,1
1,1.41,787.0185449846758,1
1,11.31,743.9791349725056,2
1,22.63,1643.5492938326206,0
1,11.31,760.7587431693901,1
1,8,638.3869676183167,0
1,2,1025.716057722093,0
1,2,704.0864774980946,1
1,8,785.9877181417687,0
1,28,917.5082525880498,2
1,1.41,928.4810971275874,0
1,1.41,698.2954151762897,2
1,16,629.6160647871147,2
1,4,556.199348258815,1
1,1,682.3841591276505,2
1,1,649.7677055604072,2
1,1,657.5262135511366,0
1,16,647.6272038617026,1
1,1,660.0565179824116,2
1,16,702.7757572732298,0
1,11.31,936.3887678100582,2
1,1,1054.1211399031454,1
0,1.41,802.6294276487533,2
1,2.83,762.0936980647457,2
1,2.83,807.8289592031069,1
1,2.83,594.5843361423613,2
1,5.66,600.7587158628667,2
1,28,896.8647503988905,2
1,1,777.1328472972527,2
1,11.31,1262.4348607887441,2
1,28,943.803894409939,2
1,28,613.6577047309402,0
1,8,790.8377243038558,0
1,16,742.5735240658469,1
1,4,1033.7346617570802,2
0,2.83,740.1029529783045,2
1,16,647.4643878336792,2
1,11.31,658.4915043822548,2
1,5.66,884.2159589057701,1
1,4,649.7151402172676,2
1,2,786.1194728311602,1
1,1.41,1291.2345243703385,0
1,5.66,665.3970202278288,0
1,1.41,1689.8678937377554,0
1,22.63,724.6105129997886,1
1,1.41,1135.8629778542308,1
1,5.66,759.6122043069045,0
0,1,673.4784296077123,2
1,1,850.3700224637214,0
1,2,627.0178350114293,0
1,2,753.4944859298776,1
1,4,649.0956201123481,1
1,11.31,1287.0255423185881,1
1,11.31,661.3477822029381,0
1,2.83,1013.075799564831,2
1,11.31,791.2138737001442,1
1,4,1288.9411053129152,1
1,28,613.7232407418196,1
1,28,774.887214914088,1
1,2,721.1193550710959,2
1,1.41,658.5085710521525,0
1,1,698.1882364907506,2
1,4,610.5921895414212,0
1,8,671.5290746078608,2
1,1,881.8215051642255,1
1,22.63,673.801672328409,2
1,1.41,628.6350726204546,1
1,5.66,691.07109394281,0
1,16,613.9478381137451,1
0,5.66,810.8163090455491,0
1,4,671.514055939042,2
1,1,705.0360669927613,2
1,5.66,747.0890235035768,2
1,16,653.1994714796383,1
1,2.83,781.6326453985312,1
1,5.66,671.446130593722,1
1,1,633.4622094436781,2
1,1.41,691.8298780728946,1
1,22.63,820.8006520835625,0
1,1.41,675.3660032627522,0
1,28,632.0859532088434,1
1,28,991.8120946031195,1
1,8,656.2349493306101,1
1,11.31,672.358173415887,1
1,8,671.6109946219149,1
1,2.83,761.6748819928034,1
1,4,626.966635001736,1
1,2,626.2378882120174,1
1,16,718.1934452382848,1
1,1,645.4355021542142,0
1,2.83,563.0540054280573,2
1,22.63,611.5513363711216,0
1,28,549.2760830757106,0
1,28,511.31366593108396,1
1,16,614.2004248231387,1
1,4,572.2652283329808,0
1,8,527.4706820209758,2
1,22.63,602.4138414786648,1
1,16,514.7502105164676,2
1,8,620.9513166422767,2
1,5.66,561.0326290834564,0
1,5.66,816.8367474063416,0
1,2.83,603.1787696092579,1
1,8,601.8093400425641,2
1,2,707.4656780741861,1
1,1,705.4859444033355,2
1,2,634.1121082223253,2
