CorrectResponse,Height,RT,Face
1,1,1075.11031026843,0
1,1,1099.00532172151,2
1,5.655,823.449981585327,2
1,5.655,656.283205293676,0
1,11.315,612.550265539994,0
1,1,945.663894246536,1
1,1.415,941.023473124005,1
1,8,659.078721953847,1
1,11.315,1083.12719669084,0
1,2.83,742.983475049186,2
1,0.705,948.681277308879,2
1,2,754.931151442634,0
1,1.415,787.282003460405,0
1,14,878.460219866156,2
1,1,865.713824427075,0
1,5.655,581.978782062833,2
1,11.315,788.121682457586,0
1,0.705,1033.52674394637,1
1,0.705,811.100215005808,2
1,8,970.70646699558,0
1,2.83,781.627823548661,0
1,8,673.659099201814,2
1,2.83,672.560348514253,1
1,1.415,1029.33312762343,0
1,4,837.724183199043,0
0,5.655,562.371594819979,2
1,8,696.805226216838,1
1,4,642.096726241562,0
1,4,786.375423210302,0
1,2,645.916583011967,1
1,11.315,822.527358687239,1
1,14,792.370594714612,0
1,1,944.244631942638,0
0,2.83,862.76641461518,0
1,0.5,1124.46056597764,0
1,1,818.606808704772,2
1,0.705,786.264831342578,2
1,11.315,729.231171478659,0
1,2,617.504712954542,2
1,8,777.817524100556,1
1,4,870.147397797155,1
1,0.705,961.600728540816,1
1,4,801.115202934398,1
1,5.655,637.404081181103,1
1,5.655,588.177046658075,1
1,5.655,690.567367002132,2
1,0.705,1029.58639665394,0
1,1.415,793.551947970172,0
1,2,818.925272324122,1
0,1.415,697.693033155701,2
1,8,560.727052784841,0
1,11.315,746.634372021163,2
0,1,979.198830184032,1
1,8,565.327879288361,0
1,11.315,677.109633746568,0
0,0.705,1645.08612000373,0
1,4,784.628822630111,1
1,14,974.30548136299,0
1,14,941.979546648327,2
1,1.415,1304.88915042542,0
1,1.415,826.884814814548,1
0,8,1088.82677388192,0
1,5.655,946.205930932592,1
1,2,782.743299549566,0
1,4,920.21615931526,0
1,2.83,853.140484781306,2
1,1,890.668674614517,0
1,4,721.727649775858,0
1,11.315,960.640559021158,2
1,2.83,766.624193473035,1
1,2.83,610.880123535026,0
1,5.655,890.034136706163,2
1,11.315,762.163313469046,0
0,2.83,834.812272010822,2
1,11.315,699.53418295654,1
1,1,806.883729376295,0
1,2,661.40422317585,0
1,1.415,887.378907877974,1
0,0.5,1214.78920473191,2
1,11.315,719.339001962908,1
1,0.5,1237.50218026407,2
1,14,823.273171129586,1
1,1,838.555670205551,0
1,1,1308.1830131573,0
1,2,694.715927379548,2
1,14,663.339239530615,2
1,0.5,1191.94925335114,0
1,5.655,787.155368944696,1
1,11.315,648.221604257742,0
1,14,663.221821004299,2
1,5.655,790.903887133481,2
1,14,683.620217968382,1
1,1,946.911124756753,1
1,4,831.921182131737,0
1,0.5,1278.35256346134,2
1,11.315,874.215062271105,1
0,1.415,1294.87137039359,1
1,1,794.803957141085,2
0,4,1059.01851082581,1
1,5.655,907.488195854057,1
1,1,800.000068266854,0
1,8,1050.08719349598,2
1,0.705,999.896234790413,0
1,5.655,1056.48206585602,0
1,2,1041.31698530682,2
1,0.705,970.722850976472,0
1,5.655,1069.81282326342,0
1,8,736.740837173784,2
1,0.705,1038.10743180748,1
1,1,763.986713957365,1
1,4,747.501016318438,2
1,1,1388.13990963581,0
1,4,723.41349309545,2
1,0.705,954.403723805626,2
0,1,1123.23927677016,0
1,11.315,666.233060073409,1
1,4,481.985984187304,0
1,0.5,617.619059484241,1
1,0.705,796.896669307444,0
1,14,818.827309774406,2
1,1.415,824.487292346021,2
1,1,988.345869922796,2
1,2,661.983806483477,0
1,1,1026.35158451858,2
1,2,889.997955415765,2
1,0.705,842.712763905638,0
1,2.83,687.037984551807,1
1,11.315,649.802658369026,2
1,5.655,910.014742169096,2
1,1.415,730.742593672858,2
1,1.415,701.183162319921,1
1,0.705,700.654437618141,2
1,2,745.889242244175,2
1,2,625.440703473487,0
1,0.5,1044.29511508215,2
1,2,769.19135840626,0
1,0.705,1074.58295089828,1
1,0.705,1309.98115500961,0
1,14,823.18578990089,2
1,2.83,753.047676359074,2
1,5.655,620.965487486501,0
1,2,610.666449123983,2
1,11.315,525.308983097602,0
1,14,509.95855876954,1
1,1,1034.15616186157,2
1,1.415,813.250953769511,1
1,5.655,651.995381082543,2
1,8,451.944590743551,1
1,0.5,903.53282991282,1
1,4,666.266510700552,2
1,2.83,716.568061273392,0
1,2.83,713.50289160182,1
1,1.415,874.174784985826,1
1,4,713.352363781723,2
1,2,915.690426055335,2
1,1.415,797.081330420497,0
1,1.415,647.147770874199,0
1,4,717.365414987398,2
1,4,832.41099487941,2
1,4,785.713237334676,1
1,0.705,1025.01799677839,1
