CorrectResponse,Height,RT,Face
1,5.655,812.797535847722,1
1,5.655,915.891072397244,2
0,0.5,1276.92427421493,2
1,1.415,749.184981750659,1
1,14,1109.96730369675,2
1,0.705,1395.44880019685,1
1,0.5,750.249941205311,1
1,5.655,723.195533723811,1
1,5.655,942.0740563246,0
1,2.83,671.357266931864,0
1,1,862.680646307581,1
1,0.5,1227.79755803435,2
1,0.5,1034.37327306756,0
1,4,1064.54712428535,2
1,0.705,1074.0665647445,1
1,2.83,789.786902295646,2
1,11.315,970.995556183652,0
1,0.5,1309.13315372368,0
1,4,886.706746005984,1
1,8,668.770985589163,1
1,1,793.395817781175,2
1,8,914.774571635462,0
1,0.5,1024.9292672363,0
1,5.655,788.567318920286,0
1,2.83,981.39836685732,1
1,2.83,568.893490059963,2
1,0.705,1076.56956079654,0
1,14,661.487618651563,2
1,5.655,612.746267607235,0
1,11.315,1188.86202596923,2
1,2.83,717.616101913791,1
1,11.315,738.251398015109,2
1,11.315,797.508199675804,1
1,2.83,670.67152861614,0
1,2,705.973910541388,1
1,2,589.673511420642,2
1,2.83,646.220127802053,1
1,2,601.192140189823,1
1,0.5,1346.72451581037,1
1,14,724.70081295296,2
1,2.83,733.832157611232,2
0,1,851.280460144608,1
1,4,733.474099127761,1
1,1.415,939.299017745498,2
1,2,1022.10883134694,1
1,1.415,840.433916364418,1
1,0.705,636.46789812833,2
1,2,613.63236848706,2
1,11.315,846.587129214186,2
1,0.705,937.440800030345,0
1,0.705,774.176371621706,0
1,11.315,1608.11847264335,1
1,2.83,1313.89372728631,2
1,8,682.302114661297,0
1,2.83,1384.00663005518,0
1,11.315,696.404635440786,0
1,1.415,907.848580514838,0
0,0.5,657.801903205382,1
1,14,1659.54645697889,0
1,0.5,856.969459898437,1
1,0.5,1123.83669392898,0
1,0.705,1170.60309131784,1
1,5.655,908.032900420494,2
1,11.315,908.46263886715,0
1,1,1376.09009010862,1
1,1,777.76992711506,2
1,4,1011.66915669205,0
1,1,1122.10545214862,1
1,5.655,882.865382639466,0
1,1.415,933.627425982877,1
1,2,800.824251311269,2
1,2.83,1103.08363788795,1
1,5.655,904.887174031046,2
1,1.415,892.764726904488,1
1,2,1574.63266578816,0
1,0.705,1029.21948370636,0
1,8,1795.58376332761,0
1,1,1123.63633136488,0
1,8,1000.85060223114,2
1,8,955.855382602067,2
1,2.83,850.310732640764,2
1,1.415,947.429914916029,0
1,0.5,1387.43156696842,1
1,2.83,779.643163489482,2
1,5.655,906.236805340086,2
1,4,1120.32301039471,0
1,8,910.232109961271,2
0,8,617.035118744752,1
1,5.655,945.797659751634,2
0,0.705,1086.89181684463,2
1,5.655,827.111683185649,2
0,1,1563.02017040048,2
1,2.83,1579.54206060776,2
0,0.705,1467.29977140922,0
1,5.655,1733.05289401037,1
1,11.315,760.641146551734,1
1,2,976.083809578313,2
1,2.83,778.371356140497,0
1,0.705,1052.61514106087,0
1,8,1119.21436029547,0
1,1.415,732.404361009003,1
1,11.315,1019.90245380989,1
1,14,899.487966128845,1
1,1.415,934.881825340653,1
1,0.705,1295.32383812762,0
1,1,1131.98226842519,1
1,1,1542.49956224021,0
1,5.655,1031.46238389127,0
0,2,1219.31269837842,2
1,4,776.373191830317,2
1,0.5,2050.09780901673,2
1,0.5,990.339588945972,1
1,8,1297.70224757613,2
1,8,796.855912009505,1
1,1,1011.96952987129,0
1,0.705,1068.88273806544,1
1,2,956.694038172827,0
1,1.415,699.264324643536,2
1,0.5,693.476679606192,1
1,1,1197.07859776236,2
1,0.5,1659.99769941436,2
1,0.5,1070.84881705896,1
1,11.315,1019.51606467446,0
1,14,666.274816200712,1
1,5.655,1134.29957923881,2
1,4,727.829472684334,0
1,11.315,976.942945138489,2
1,1,1012.94574270514,1
0,0.5,1225.24779933974,0
1,2.83,659.470681017865,2
1,8,846.275833373511,2
1,4,816.544349929245,0
1,0.5,1330.92044923524,2
1,1.415,837.597779150201,1
1,2,1898.66979054796,1
1,1,751.45484725499,2
1,0.705,1388.3866171459,1
1,1,1051.90038942737,1
1,5.655,640.833890559861,0
1,2,1270.80144001638,2
1,0.705,1002.95082515595,1
1,0.705,708.606271859935,2
1,2.83,666.719231973275,0
1,14,702.690626889307,2
1,1.415,936.018123425583,1
1,8,825.788334529534,0
1,1,1205.78259330568,0
1,11.315,941.541576597501,0
1,4,670.669821950469,1
1,1.415,1314.58424426637,0
1,1,777.083847466656,2
1,2.83,694.533447065623,0
1,0.705,1300.89473660883,1
1,2,947.90027200861,2
0,1.415,669.15362005966,0
1,2,875.783060932463,0
1,11.315,541.049237649531,0
1,1,1196.93523783599,2
1,5.655,1221.03916149445,2
1,1,968.882362598833,0
