CorrectResponse,Height,RT,Face
1,8,751.999445674301,1
1,1,797.877042838081,0
1,2,750.658346778437,0
1,0.705,968.408570608517,2
1,14,945.879884096939,1
1,2.83,587.229284220484,0
1,2.83,691.055392606359,2
1,8,703.066573323667,1
1,8,870.685161929941,2
1,2,772.10876110712,1
1,8,656.652400068197,2
1,5.655,576.095671654002,1
1,11.315,707.022968665115,2
1,0.705,915.229169532722,2
1,0.5,809.261194113787,1
1,5.655,587.334756238306,1
1,11.315,745.791273948271,0
1,0.705,949.624994069382,2
1,1.415,609.227197308428,2
1,1.415,703.94960280737,1
1,11.315,630.743830313804,0
1,1,804.03674522222,0
1,2.83,602.249660117195,0
1,0.5,982.678695711002,2
1,14,808.47988198002,0
1,11.315,624.750698625576,0
1,0.705,817.715680890615,2
1,14,603.094460262582,2
1,0.705,613.027603290902,1
1,4,625.210133368455,0
1,2.83,514.252546432544,2
1,14,620.054975157473,2
1,0.5,986.03093094971,0
1,5.655,674.261107073107,2
1,1.415,913.127579840875,1
1,4,621.579370083055,0
1,1,914.510662742032,0
1,1,565.761803223722,1
1,1,929.823220021717,2
1,11.315,667.802737971215,0
1,14,550.575197965372,1
1,0.705,803.650697154808,2
1,5.655,731.95771425344,0
1,1.415,722.195237920459,2
1,0.705,782.279130842653,2
1,1.415,608.11069578449,0
1,1.415,695.769548077806,1
1,5.655,817.444662177877,1
1,1,762.770220846505,2
1,1,606.749799551835,0
1,1,910.005061974516,2
1,14,695.657932057657,2
1,2,906.747034750879,0
1,1,760.747479167549,0
1,11.315,636.40382061385,0
1,0.705,927.591240973925,2
1,2.83,595.244474921856,2
1,2.83,594.45258145206,0
1,14,777.01850061203,1
1,5.655,654.606789054014,1
1,2.83,680.264478765821,2
1,0.705,857.076199608855,0
1,14,800.31621125454,2
1,1,769.271939288956,1
1,4,636.867692692249,1
1,5.655,625.500266753079,0
1,0.705,979.700561869322,1
1,1.415,918.149276696568,2
1,8,647.088238436481,2
1,1,770.163843440969,0
1,0.705,801.073971382721,1
0,0.5,784.059184477883,1
1,0.5,903.567514209499,2
1,5.655,818.692918390298,2
1,0.5,796.031453188334,1
1,0.5,935.3118609597,2
1,1,870.908735301782,0
1,2.83,497.610154257927,0
1,2.83,585.280611887356,0
1,11.315,584.426937075477,2
1,2,707.475576742581,0
1,1.415,690.102389778986,0
1,5.655,582.884451478094,0
1,2.83,687.923317405875,2
1,0.705,821.768332249121,2
0,0.5,786.229382183592,0
1,0.705,1322.6532390654,1
1,2,647.309763808153,2
1,4,595.196688245778,2
0,0.5,818.499041024552,1
1,2,661.230704850823,1
1,1.415,658.863899112475,0
1,1.415,573.879735275113,1
1,0.705,1025.54197769314,0
1,0.5,758.716204152734,0
1,1,749.261610540998,0
0,0.705,778.062298122677,2
1,2.83,588.672100466283,0
1,0.705,840.802106164119,0
1,0.5,974.180176926893,1
1,14,618.303934857977,0
1,5.655,571.587340216865,1
1,5.655,707.011363330821,1
1,0.705,888.303426270795,1
1,14,793.616519444186,1
1,5.655,595.826789687635,0
1,14,544.960605006054,2
1,1.415,805.436212127461,1
1,0.5,970.880165696144,0
1,0.705,970.408784281972,2
1,1,779.050458291749,0
1,11.315,643.11989642556,2
1,2.83,619.05998831935,0
1,1,771.788931719129,1
1,8,614.4765635363,0
1,4,545.903367834399,0
1,11.315,600.34331312454,2
1,1,649.56700152652,1
1,1.415,883.833324174702,1
1,5.655,669.38481824036,0
1,8,534.503856555602,2
1,1.415,650.142148289888,0
1,8,606.656274201669,2
1,5.655,582.450616737333,0
1,1,814.767243053211,1
1,4,577.672290588453,0
1,11.315,523.521454681031,1
1,0.5,861.61456838272,1
1,11.315,579.998136319773,0
1,0.705,747.818452960928,2
1,8,574.396514030013,1
1,11.315,602.461628153833,1
0,0.5,808.117385919104,2
1,1,762.883884866824,1
1,2.83,522.689625204293,1
1,4,643.186115103163,0
1,14,659.378288533844,2
1,1,824.79869009876,2
1,0.5,818.267275650214,1
1,0.705,706.508579245565,1
1,1.415,704.824781623756,1
1,14,542.491399251958,1
1,1.415,678.866718526479,0
1,5.655,602.089916090335,0
1,11.315,518.146136430005,1
1,2.83,680.59045215341,0
1,1.415,552.052488883419,2
1,0.705,656.55238938416,1
1,11.315,695.186891978665,2
1,8,569.649931887398,2
1,0.705,649.540036187318,1
1,1,736.218237647336,1
1,0.5,840.608911463278,1
1,2,593.12581856102,0
1,8,566.000053930111,2
