CorrectResponse,Height,RT,Face
0,0.705,713.95613251525,2
1,14,681.564276320387,1
1,5.655,534.503515221786,1
0,2,662.444145056952,2
0,0.5,724.646353006392,1
1,2.83,655.284335835177,1
1,5.655,594.300346760519,0
1,11.315,463.447801761731,2
1,11.315,616.727998588203,1
1,0.705,838.147897710542,1
1,14,588.915129841553,1
1,14,572.848908432888,0
1,0.5,1247.47217023514,1
1,14,604.133479105258,2
1,1.415,713.479289767292,0
0,11.315,510.468865786606,0
1,0.705,831.981027324673,1
0,14,647.545625181237,0
1,1.415,684.344436794845,1
0,0.5,879.659840795284,2
1,14,558.182836596643,2
1,8,573.319948513245,1
1,8,628.982208679645,1
1,4,661.344027535961,1
0,1.415,659.627461909849,1
1,14,551.748019498291,2
1,2.83,706.985080658797,1
1,2,652.548548701589,0
1,5.655,578.180194676179,0
0,0.5,875.415360070747,0
0,11.315,539.318364043538,1
1,2,835.63090528105,0
1,1,829.869880297792,1
1,1,694.386123841923,1
1,4,574.304012681296,0
1,4,551.760307500444,1
0,8,500.625493440111,0
0,0.705,654.692122400775,2
1,11.315,617.93290546052,2
1,11.315,548.258226902817,0
1,2,556.987828392494,2
0,1.415,571.782924250783,2
1,11.315,568.646753049052,1
0,0.705,679.066057227146,2
1,1.415,598.383718124296,1
1,1,718.388687938386,2
1,0.5,878.868629993576,2
0,0.5,856.750226218537,0
1,11.315,582.307256713875,0
1,0.705,736.597459046152,2
1,5.655,560.827487714505,1
1,1,790.938417653479,0
1,1.415,591.161103558079,0
0,0.5,794.683186292559,1
0,0.5,722.693584673152,0
1,5.655,573.047564466833,0
1,2,663.432305225797,2
1,5.655,641.492418814778,1
1,4,564.119989609708,1
1,0.5,689.154848282442,0
1,0.5,710.758521302751,2
0,2.83,565.902091247381,2
0,11.315,558.547721992227,1
0,8,538.103899836187,0
1,8,574.657292741449,2
1,2,598.961595556148,1
1,0.5,894.690456693752,1
1,8,587.165796209547,1
1,1.415,690.039925766769,2
0,1,506.684161141038,0
0,1.415,552.832435683285,0
0,8,404.675311730898,2
0,0.5,860.271762820048,2
1,1.415,950.195703499958,1
0,14,539.111516008688,1
0,8,543.193522038564,1
0,1,556.013321559931,0
1,4,631.011777025833,2
0,2.83,625.237440040564,0
0,0.705,651.293124487438,2
1,0.705,869.835583118402,2
1,5.655,540.407558896277,0
1,1,698.946679287019,1
1,11.315,564.553824350696,0
1,0.5,692.65761154702,2
0,8,639.165207750921,1
1,11.315,626.755008299824,2
0,0.5,700.780663599744,2
0,0.705,656.36841068681,1
1,8,552.577800973268,0
0,1,532.597509563402,2
1,8,562.954677410744,1
1,1.415,759.169836231649,1
1,8,556.330761613935,1
1,11.315,605.354087314026,1
1,1.415,726.516518658627,0
1,2,622.452159565,1
0,1,787.10148899836,1
1,8,579.62744825636,1
1,2.83,536.043270151367,0
1,1,608.415506502752,2
1,2,606.395836824504,0
0,1.415,515.213058596146,0
1,2.83,654.486981032278,1
1,4,563.131488107956,1
1,14,528.203866146669,2
1,1.415,680.547102813307,0
1,1,636.472428624529,1
1,0.705,634.938817695911,0
1,4,556.718175012975,1
0,11.315,526.725892561444,0
1,11.315,677.49728895933,1
1,2,600.18254509805,0
1,5.655,504.901035502826,0
1,0.705,742.640084076811,0
1,1.415,746.396799384911,2
1,11.315,578.859106791697,2
1,4,460.364537235364,0
0,0.705,506.576641122592,1
1,8,603.328273634816,1
1,2,679.167433244402,2
0,0.5,755.059840863396,0
0,0.5,731.613991528775,0
1,4,619.1531723357,1
1,4,554.203571917242,2
0,14,534.171739165231,1
1,1.415,622.000575488073,1
1,8,567.268790146954,1
1,11.315,598.549606152574,2
1,8,568.856331751704,2
1,8,599.928934388117,2
1,1,635.839596516689,0
0,0.705,718.12005855918,1
1,8,520.248067455668,2
0,2,622.376042219003,1
0,0.5,941.772278062672,2
1,11.315,561.208074446313,1
1,2,604.836284559042,0
1,2.83,595.197370913866,0
1,14,672.743538814757,1
1,14,587.030969520129,1
1,5.655,537.026310319106,2
1,14,509.25986291395,1
1,1.415,625.569216097119,1
1,0.5,559.276127449721,1
1,11.315,536.997979647822,0
1,1,622.978495655389,0
1,1,634.091969551719,1
1,1,594.677520158257,2
1,2,563.252320128413,2
1,2.83,568.141238295993,1
1,2.83,536.782256944207,2
1,8,564.334346979649,0
1,2.83,530.450181197011,0
1,2,544.995421012572,2
1,2.83,580.182115018033,1
1,2,568.660065051063,0
1,0.705,539.175686685667,2
1,11.315,507.656278639843,0
1,2,534.423984541263,2
1,11.315,499.822335969839,2
1,4,531.758512086981,1
1,1.415,546.262791895515,2
1,11.315,532.454149538808,2
1,2.83,513.169495580769,1
1,4,559.889844887493,1
1,14,554.645939992952,2
0,0.5,858.296807815805,2
1,4,536.89353162963,2
1,4,557.083401742148,2
1,14,506.43259843082,2
1,5.655,580.717325775822,1
0,0.5,688.497781503884,1
1,1.415,588.243727060217,2
1,14,582.413752732009,1
1,4,640.632941334843,2
1,2.83,641.007384065233,0
1,2.83,560.510730327223,2
1,11.315,521.346136976263,0
1,2.83,609.619389374984,2
0,0.5,563.120906772838,1
1,14,615.900606447212,1
0,2,627.430507081499,1
1,4,574.457954040554,1
1,2,553.608286482813,0
1,8,517.204056269748,0
1,11.315,527.103748625905,1
1,0.705,604.65401252759,0
1,1,628.079381858697,1
1,1.415,574.911927451922,1
1,2,598.407952794787,0
1,4,538.294363869227,2
1,0.705,633.437974773642,2
1,1.415,615.295763676841,2
1,1,641.238466771483,0
0,0.705,569.318497163749,2
1,11.315,482.926674419559,0
