Var1,Var2,Var3,Var4
1,1.41,708.934199982192,1
1,8,569.191800008863,1
1,2.83,745.004199955016,0
0,0.5,755.137599990573,0
0,0.5,-91.86,2
1,0.5,981.214000014458,0
1,2,846.425399985034,0
1,0.71,552.979800021145,0
1,1.41,884.582399958614,2
1,2.83,530.003899985328,1
1,14,373.955700008534,1
1,4,615.86709994344,2
1,10.58,570.288299976252,2
1,2,807.063300032038,0
1,10.58,817.127800008617,0
1,5.66,809.353199947961,2
1,1.41,624.712100005578,1
1,8,380.219900035169,1
1,2.83,536.036099991631,2
1,2,538.465599981006,2
1,4,536.074799995273,2
1,2,695.448799976017,0
0,0.71,659.168600032441,2
1,0.71,635.478800032157,1
1,2,604.696899987627,1
0,0.5,1025.80499996884,2
1,0.5,850.102099983357,2
0,0.71,861.020800003186,2
1,0.71,630.651300002225,1
1,8,639.025500030126,1
1,8,550.107999981716,2
1,4,657.165499972049,0
1,0.5,732.483699961901,1
1,1.41,398.556300017387,1
1,4,483.842500005718,1
1,0.5,1009.05420001118,2
1,0.71,438.639999993481,1
0,4,653.59390001731,2
0,4,607.4580999998,0
0,4,650.406499961261,2
1,4,518.734900033902,1
1,8,395.714400031008,2
1,2.83,704.986500015818,0
1,1,652.352399993557,1
1,10.58,670.649000021964,2
1,14,583.711600033436,0
1,5.66,948.756200014483,0
1,5.66,561.410400012843,2
1,2.83,870.806500010528,2
0,4,549.080899960697,0
1,4,662.718299995046,0
0,0.5,-91.86,0
1,0.5,618.142100036945,1
1,0.71,926.102799989618,2
1,4,645.367300007362,0
1,10.58,855.711400029119,0
1,8,600.341600002591,0
1,4,552.701599998269,0
1,5.66,880.020400029477,0
1,14,494.817699990105,0
1,4,767.494399959557,2
0,0.71,-91.86,2
1,0.71,686.494900015984,0
0,2.83,1069.21989999,1
1,2.83,558.429100012742,1
1,10.58,449.601699991487,2
0,1,628.201099971645,1
1,1,639.269699968733,0
1,1,744.240799962878,1
1,10.58,682.436700023115,2
1,2,709.066600000821,1
1,2,870.337499989998,2
1,4,408.834299989846,0
1,0.5,1137.1066000288,1
1,0.5,644.411500005387,0
1,10.58,833.114299967289,1
1,1,649.344299964011,2
0,0.71,947.98570002649,2
1,0.71,650.73759997949,0
1,1,828.249900005627,1
1,2.83,737.405000007581,1
1,2.83,514.015200009905,0
1,0.71,644.570299992207,0
1,10.58,542.126600034405,0
0,1,1021.97159999968,2
0,1,913.204699973445,2
1,1,449.128399996422,2
1,2,869.644300008528,1
1,10.58,500.2074999943,1
1,5.66,889.264600046314,2
1,5.66,835.674300019033,1
0,0.5,646.109000008889,1
0,0.5,-91.86,1
0,0.5,662.071999963243,2
1,0.5,1027.08039995968,0
1,14,601.889399972148,1
1,10.58,519.474700020961,1
0,8,454.353599969633,2
1,8,588.76270001974,2
1,1,678.216999964658,1
0,10.58,531.557099996004,2
1,10.58,597.755499984939,2
1,8,597.90089998614,1
1,0.5,1025.5645000002,1
1,2.83,676.252700025085,2
1,2,731.512900020331,1
1,2,665.039799976964,2
1,2,762.647000010926,2
1,8,502.622899992727,2
1,1.41,622.062300026752,1
1,0.5,901.789299954995,0
1,5.66,762.079499997068,2
1,2.83,639.451800016556,0
1,2.83,704.396999950856,2
1,5.66,461.058499975931,0
1,14,530.542000008151,2
1,10.58,538.687699984163,1
1,0.5,873.718400006052,2
1,14,620.19720002763,0
1,1.41,709.758200028315,1
1,0.5,899.099300019313,0
1,0.71,728.282399985343,0
1,4,641.824699982405,0
0,4,508.665000016205,2
1,4,474.338299988173,0
1,4,543.838499972932,0
1,5.66,642.73730000468,0
1,2,596.115000008009,0
1,5.66,541.73759998275,2
1,10.58,502.410700006746,2
1,2,660.283300021999,2
1,0.71,619.832299984861,1
1,1.41,445.192699946798,1
1,0.71,646.515300017651,2
0,1.41,573.160499960519,2
1,1.41,487.749700012952,1
1,0.5,819.581000003833,2
1,2.83,529.99449997196,2
1,1.41,570.229199991897,0
1,5.66,565.271299958564,0
1,2.83,516.479899976272,1
1,14,546.103200046215,0
1,4,545.855099961497,2
1,1.41,904.830100000706,2
1,1,980.451299969442,0
1,1,580.863299998324,1
1,14,840.68089995753,2
1,0.71,905.711000014432,2
1,14,532.040300008245,1
1,1,554.097200031262,1
1,5.66,458.467899982221,0
1,1,1078.41070000768,0
1,14,626.263700004071,2
1,0.5,669.157699958757,1
1,2.83,561.198800031431,0
1,8,506.218300012276,1
1,1,584.579600007143,1
1,8,473.853200019672,1
1,5.66,503.174199999645,2
1,14,546.936299987007,1
1,1.41,653.811799988486,0
1,10.58,524.143800008912,1
1,8,383.308799981475,1
1,14,834.145400018767,2
1,1,696.035700021181,1
1,1,562.049799992107,0
1,1.41,468.084099979475,0
1,0.71,952.33919999782,0
1,14,525.079399973489,1
1,1.41,591.451600005254,2
1,8,521.125500018112,0
1,5.66,536.314600016791,0
1,1.41,495.485500010997,1
