Var1,Var2,Var3,Var4
1,5.66,586.653800100125,0
1,2.83,648.090500036292,0
1,5.66,558.121599956453,0
1,5.66,470.816500020251,0
1,14,837.603599998206,1
1,0.5,871.519499925002,0
1,0.5,853.169900016896,1
1,2,657.466999954581,0
1,1.41,633.157699951939,1
1,5.66,584.105700022578,2
1,8,622.381600086615,0
1,2.83,761.918100063726,2
1,0.5,1119.27089991611,1
1,10.58,662.081900053695,2
1,0.5,1066.39429996818,2
1,10.58,646.196199931242,1
0,14,-99.04,2
1,14,576.520700008646,2
1,2.83,737.374800025523,0
1,0.71,753.478699946813,1
1,0.5,854.346700013652,0
1,0.71,793.824800058305,0
1,8,505.722899922207,1
1,14,633.51119996611,2
1,0.5,923.569200095758,2
1,10.58,609.653700027652,0
1,2.83,583.358400036618,0
1,2.83,536.382799969092,0
1,5.66,545.419799979813,1
1,4,592.040400021747,0
1,8,516.449299991168,0
1,1.41,780.192999985106,2
1,10.58,461.129699951075,0
1,0.71,833.3353999779,2
1,0.71,900.153100025877,1
1,8,546.050800011531,0
1,1,582.806200022846,0
1,10.58,721.990899998732,2
1,2,513.85309989661,0
1,1,612.762400066517,1
1,0.71,651.457899949551,2
1,4,763.903399930373,2
1,10.58,610.307500000149,1
1,10.58,621.304200031832,1
1,10.58,614.59640006166,1
1,4,690.882600029968,2
1,4,567.215600051954,1
1,0.5,832.779999939762,2
1,2.83,587.109399960414,1
1,10.58,513.481399976686,1
1,0.5,935.526499991342,0
1,0.71,950.772200013548,0
1,1,758.351700032167,0
1,14,637.174399919845,0
1,2,644.530799939334,0
1,10.58,845.565599972419,2
1,5.66,515.07510000471,0
1,2,1197.0724998983,1
1,5.66,963.938900037706,1
1,8,572.194700013883,0
1,2.83,743.449100061357,2
1,14,722.803500016257,2
0,0.71,-99.04,2
1,0.71,673.30059991315,0
1,0.71,597.93809999343,1
1,2.83,512.711099932008,1
1,0.5,566.25829998035,0
1,4,569.990099990778,2
1,8,510.251700064205,0
1,2,537.45299996905,0
1,8,548.939600005783,0
1,2,647.931899992786,1
1,1.41,565.085500014052,0
1,8,653.044100036882,2
1,0.71,665.786199971139,1
1,0.5,745.424499969035,2
1,0.71,836.389699951783,0
1,4,424.398600008376,0
1,8,532.560200082175,0
1,1.41,602.682600031644,2
1,4,756.04440004196,1
0,5.66,560.533700046167,1
1,5.66,598.797700019591,0
1,1,598.443199997805,2
1,2.83,617.350399960801,1
1,1.41,632.416100009382,1
1,0.71,728.493100033179,2
1,1.41,630.802499946244,1
1,0.5,757.118199952915,2
1,10.58,625.171000022478,2
1,4,527.133300086521,2
1,0.5,590.449000011236,2
1,10.58,640.448700055517,0
1,0.71,928.133300040886,0
1,4,545.720099938139,0
1,5.66,531.796999975145,0
1,2.83,487.484900048971,0
1,14,524.413399981372,2
1,1,655.823300011493,1
1,14,552.274800023101,2
1,14,551.250199904703,2
1,2,655.433499953747,2
1,5.66,565.901600058228,1
1,1.41,700.646999991536,0
1,14,698.247900000811,0
1,1,593.517099973783,0
1,1,885.111800046675,1
1,1.41,521.596400068179,0
1,1,625.711699948683,0
1,8,570.364000043869,1
1,10.58,500.457699993663,0
1,4,555.93030003462,1
1,4,548.467499903441,0
0,2,961.468500086144,2
1,2,501.812699950337,2
1,14,699.594100006893,1
1,1.41,744.987800019831,1
1,0.71,639.287200058848,1
1,1,673.034899985455,0
1,2,588.024299941994,1
1,1.41,665.947000031397,0
1,4,583.720399999097,1
1,2.83,768.003899954297,2
1,2,661.928699934892,1
1,14,660.172599950843,0
1,5.66,564.13389998585,0
1,14,771.984899999611,2
1,1,678.923500004262,1
1,1.41,621.440800024234,0
1,1,620.265400038138,1
1,1.41,560.464899987951,1
1,14,738.148600096852,2
1,2,843.448400032744,2
1,2,602.013300057538,2
1,0.5,746.166399913877,0
1,1,580.352800084315,1
1,5.66,603.825500003099,0
1,8,526.750199963376,0
1,0.5,802.063700045496,0
1,2.83,535.299999989606,0
1,8,585.577299935781,1
1,0.71,735.606499948576,0
1,1.41,633.175299969539,2
1,8,596.227700008117,2
1,2,1058.28480003498,0
1,2.83,582.06229994636,0
1,1,632.029099972956,0
1,5.66,441.986799939573,0
1,1.41,639.963600087017,1
1,14,592.548299931027,1
1,4,544.905000017993,0
1,10.58,795.033999952525,2
1,8,573.056799942665,1
1,1,588.369999896772,0
