CorrectResponse,Height,RT,Face
1,1.415,1531.89540855055,1
1,5.655,840.84022685056,2
1,5.655,687.962357727884,0
1,4,465.194380965841,1
1,1,788.07516849065,2
1,8,818.670266598019,0
1,14,1121.07786331944,1
1,2.83,962.546485372513,1
0,2.83,1035.58129969588,1
1,1,885.711603807067,2
1,11.315,830.435012638191,2
1,5.655,741.612494176479,2
1,2,847.760083422145,0
1,2,772.913470219464,2
1,0.705,884.734024306454,0
1,8,641.357688625249,2
1,8,756.674523028778,0
1,8,967.619044367893,2
1,11.315,1031.61295497648,0
1,2,751.27052908374,0
1,1.415,1161.40028706104,1
1,4,618.191034190204,1
1,0.705,907.752539948888,2
1,0.705,805.320708540421,2
0,1,656.390021453262,0
1,8,967.50845227325,2
1,8,923.439892001625,2
1,8,1089.09899869741,0
1,8,594.550950016128,2
1,8,800.77789932966,2
1,0.705,1166.67559822963,0
1,2,810.221918055504,0
1,14,867.461860234471,1
1,1,893.373178345428,0
1,11.315,803.58673372757,2
0,4,741.253752536977,2
1,14,826.883094940058,2
1,8,1470.20993724527,1
1,1,798.754473604276,2
1,0.5,1467.13144928526,0
1,5.655,922.315880376118,0
1,1,908.719879441378,0
1,1.415,888.947787901998,0
1,8,884.549704149322,1
1,1,1081.87398986593,2
1,8,902.09527645402,1
1,1.415,1238.47444349849,1
1,0.5,1249.70500241488,1
1,1,868.301540950597,0
1,11.315,734.873544425682,0
1,2,764.375350933733,0
1,8,698.688766880878,0
1,2.83,677.822359742095,2
0,0.705,1268.80159471057,2
1,2,1046.19814075613,0
1,8,1052.17455118873,0
1,4,819.593574053215,2
1,8,769.535974003702,2
1,2,813.078197826144,2
1,1.415,733.988125003634,2
1,2,1101.05728090275,1
1,11.315,733.739975458775,0
1,14,764.409825629627,0
1,8,733.438919201035,2
1,2.83,947.402536449772,1
1,1.415,841.955705135661,0
1,1.415,635.986462708388,1
1,8,725.656171226547,0
0,0.5,1455.07998300218,0
0,8,1110.8579932652,1
0,1,1047.23272297178,1
1,5.655,737.635616115767,2
1,11.315,899.555754287576,2
1,2.83,1021.47398099078,1
1,0.705,1289.94141008297,1
1,5.655,588.740086391226,0
1,1,880.541423395698,2
1,0.705,1314.91508472755,0
1,4,918.239332897429,1
1,8,736.842015438924,2
1,1.415,966.078947053575,0
1,11.315,687.170122385396,1
1,4,752.937261173429,2
1,4,748.735444254635,0
1,11.315,677.368727355315,1
1,11.315,601.537366645061,0
1,2,647.518077882523,0
1,5.655,718.161508831145,2
1,1,1447.75701141953,1
1,4,811.94292219152,2
1,5.655,681.843611173463,2
1,14,777.073644435404,0
1,0.5,913.497184850712,2
1,1.415,934.113394443557,1
1,14,1165.42222116004,1
1,8,834.429981379799,0
0,1,1434.68837093405,2
1,1.415,1203.1812293817,1
0,0.5,1257.94820944975,2
0,0.5,1998.53328941481,0
1,8,1045.39122806727,1
0,5.655,767.37191882421,2
1,1,1099.51411158545,2
1,11.315,732.893126735689,2
0,0.705,1872.26340033067,0
1,5.655,748.131966405708,2
1,0.5,991.10621107684,1
1,14,674.300820736789,1
1,8,533.023857513399,2
1,2,1060.89972130121,2
1,1.415,786.508105819848,1
1,5.655,1360.29675545342,2
0,0.5,1611.11655348577,2
1,14,894.39342454898,2
1,1.415,1035.29150744816,0
1,0.5,1746.40993826961,1
1,2,806.680240367314,2
1,0.705,1467.46527357118,2
0,14,2361.92423417469,0
1,5.655,1007.32604358473,0
1,1.415,1079.41092643068,2
0,1.415,1386.81257541339,0
1,2,964.38217760624,2
0,0.5,1197.2430483147,0
1,0.5,948.46954536024,1
1,2.83,696.285778163656,1
1,11.315,1293.80667204805,2
0,0.5,1550.92168612009,1
0,0.5,2726.20128102517,1
1,0.5,932.231963504819,2
1,2,1924.20208998647,2
1,2,1140.55572527377,0
1,1,733.811655519276,1
1,0.5,1205.3203672067,0
0,0.705,1439.01818796166,1
1,4,1510.65421709245,2
1,4,886.843466107166,2
1,2.83,967.501625600562,0
1,2.83,714.44438565868,1
1,2,1702.77248236562,0
1,1,995.703975000652,2
1,5.655,872.656616666973,1
1,0.705,1010.1246379736,0
1,8,1489.60519646334,2
1,8,3708.8236448626,0
1,8,655.788932939686,2
0,1.415,876.443030564587,0
1,0.5,1045.49943082657,0
1,0.705,780.761754250307,1
1,4,864.929847406529,2
1,11.315,680.667716836069,2
1,4,2883.79774617351,2
1,4,638.866294499167,1
0,11.315,770.071185127563,0
0,1.415,691.735459614392,1
0,1,1035.65127308957,2
1,5.655,1083.0758255579,1
1,8,1266.47096872148,2
1,2.83,738.784886430039,2
1,11.315,947.686526025791,2
1,0.705,1171.41091960366,0
1,2,810.129075310215,0
1,1.415,4470.47788414147,2
1,4,898.842025678277,1
0,0.705,2738.84461981379,2
1,2.83,2628.29962948217,0
1,1.415,640.991096312973,2
1,1.415,2071.3889035851,2
1,4,897.356541743648,1
1,2,4392.43331621037,2
1,11.315,923.108798386238,2
0,2.83,858.014086838921,0
0,2.83,3250.85222472717,2
1,5.655,800.507563099927,1
1,0.5,5687.72820286085,1
0,1,1436.30697498247,2
0,0.5,1499.51377025172,0
0,0.5,1022.41913379748,0
1,0.705,1450.78771267254,0
