Correct Response,Height,RT,Face
1,11.31,656.4884532108408,1
1,5.66,598.5959601857758,1
1,5.66,586.4755610582506,1
1,2.83,1770.8179946748714,1
1,16,632.9047212857404,0
1,8,704.6304232289913,1
1,2,899.1937369464722,0
1,28,636.7409646554734,2
1,4,619.2394482823147,2
1,16,695.6226411748503,1
1,8,677.8702449300908,0
1,22.63,646.8836794620074,2
1,8,654.360240967435,2
1,5.66,620.8273301363079,0
1,1.41,1006.2378634729612,1
1,2,559.1153190662226,2
1,4,637.731172148051,1
1,22.63,753.4523288995842,1
1,2.83,973.5681841993937,2
1,22.63,728.6370669380631,0
1,16,900.2242217520688,0
1,1,991.4267350559385,0
1,5.66,644.4844486904913,2
1,22.63,633.6669182292098,0
1,2,813.9495352579615,0
1,8,616.9409107933461,2
1,11.31,569.6758256599423,1
1,2,539.3889931665399,1
1,22.63,580.9210465686192,0
1,11.31,504.9733947862478,1
1,1.41,657.3356421113203,1
0,1.41,491.70952957865666,0
1,5.66,679.2038335806865,0
1,11.31,631.5509939786352,0
1,1,1003.5611288431028,2
1,2.83,908.7104467398603,1
1,1,948.8850181714952,0
1,11.31,840.46668434803,2
1,28,899.0421850230632,0
1,1.41,787.2746902494328,2
1,28,553.2918340477408,0
1,2.83,705.179969614619,2
1,4,561.3244272690281,2
1,22.63,678.0886981514413,1
1,11.31,913.0388925241277,2
1,11.31,597.3818381407909,0
1,8,570.6988011352223,2
1,16,644.1861235107353,0
1,4,752.9447664928739,0
1,28,707.6484910176077,0
1,5.66,658.82760934619,0
1,8,547.8980874759145,1
1,8,559.377804264841,0
1,8,562.9160637872701,0
1,2,726.5539106711003,1
1,2.83,622.9545183805385,0
0,22.63,828.565421107669,1
1,2.83,781.4628105579686,2
1,16,597.917048533418,0
1,5.66,613.6931257897231,0
1,8,643.8632223416789,2
1,2,1460.084671102777,2
1,8,757.1305350156763,0
1,2.83,559.8997026654615,2
1,4,638.9268622024247,1
1,8,588.8843491584339,2
1,1.41,868.5556726331924,0
1,1,1096.3320680120887,2
1,28,740.4485595570804,1
1,1.41,913.1085244889618,2
1,1,925.0951210178755,1
1,11.31,657.3455407724396,1
1,1,1682.4867759005429,1
1,1.41,1574.7965057043984,2
1,11.31,588.4208187280819,2
1,4,657.7435352355678,2
1,11.31,744.86029063155,1
1,11.31,676.288165740516,2
1,2.83,820.6638998199196,1
0,1,859.9083383933248,1
1,1,1027.8582470700712,0
1,1,860.1684342602312,0
1,16,639.1883234027773,2
1,1,963.5213840110737,1
1,1,734.909405059625,2
1,2,667.6268368419187,0
1,1,857.6268675615211,0
1,11.31,461.29333181761467,0
1,1.41,602.7394033972087,0
1,4,679.2352362317615,2
1,28,624.9407360310215,2
1,1.41,1139.8086964181857,0
1,5.66,749.2518830495101,1
1,11.31,648.7084465279622,0
1,1.41,1233.7029630107281,0
0,28,1551.76300282983,0
1,28,632.1578843353564,1
1,2.83,867.9846222585184,0
1,4,619.5500614567209,0
1,22.63,564.4817589854938,1
1,28,516.8937726839431,0
1,2.83,711.6878276156058,0
1,16,1011.6466287036019,2
1,8,647.5356257951717,0
1,11.31,805.9107980407134,1
0,1,1275.4678056271587,0
0,11.31,671.1074110598929,0
1,28,612.1574679091282,0
1,5.66,629.0282006038979,2
1,1.41,644.6271259510468,2
1,2.83,605.0492048816523,2
1,2,1739.4590347303165,1
1,22.63,645.5326828208854,2
1,5.66,595.3334978557905,1
1,16,542.0114558237401,2
1,1,1230.7951458333264,2
1,4,588.0357949254176,0
1,16,637.8199187693099,2
1,1,1317.3865894978007,0
0,2,712.4718698805736,1
1,28,560.1082572247833,1
1,2.83,967.1801341373794,2
1,1,796.9746959488475,0
1,22.63,688.0447037210615,2
1,8,699.7322924034961,0
1,4,848.01253648493,0
1,2.83,701.9021472924578,1
1,2.83,603.614581616057,1
1,5.66,594.1043571519913,1
1,2.83,739.4337760770213,2
1,5.66,723.4982962363574,1
1,1,938.5494501293579,1
1,11.31,856.3253642287236,2
1,16,636.2835782219918,1
1,5.66,626.15554074182,1
1,8,598.044024468436,0
1,2.83,854.3046719296399,2
1,28,677.663397035758,1
1,2,923.4382898666809,2
1,1.41,698.7113649265666,0
1,1,746.2447379220976,0
1,8,609.1923067597236,2
1,5.66,559.1887056953055,0
1,5.66,637.2376044009798,0
1,2.83,634.5096697978079,0
1,8,585.3058123238952,0
1,8,783.9634172769365,0
1,1.41,1652.2470473828434,2
1,11.31,570.4827372455838,0
1,11.31,614.7130292665679,1
1,2.83,731.5373747860576,2
1,1.41,725.1131434086346,1
1,4,734.3984293211179,0
1,11.31,593.9285705753719,1
1,22.63,562.3972373859942,1
1,5.66,1407.758639226813,2
1,28,646.3904530482978,2
