Correct Response,Height,RT,Face
1,2,1075.1103102684283,0
1,2,1099.0053217215063,2
1,11.31,823.4499815853269,2
1,11.31,656.2832052936756,0
1,22.63,612.5502655399941,0
1,2,945.6638942465361,1
1,2.83,941.0234731240052,1
1,16,659.078721953847,1
1,22.63,1083.127196690839,0
1,5.66,742.9834750491864,2
1,1.41,948.6812773088786,2
1,4,754.9311514426336,0
1,2.83,787.2820034604047,0
1,28,878.460219866156,2
1,2,865.7138244270755,0
1,11.31,581.9787820628335,2
1,22.63,788.1216824575858,0
1,1.41,1033.5267439463678,1
1,1.41,811.1002150058084,2
1,16,970.7064669955798,0
1,5.66,781.6278235486607,0
1,16,673.6590992018137,2
1,5.66,672.5603485142528,1
1,2.83,1029.3331276234312,0
1,8,837.7241831990432,0
0,11.31,562.3715948199788,2
1,16,696.8052262168385,1
1,8,642.0967262415616,0
1,8,786.375423210302,0
1,4,645.9165830119673,1
1,22.63,822.527358687239,1
1,28,792.3705947146118,0
1,2,944.2446319426381,0
0,5.66,862.7664146151801,0
1,1,1124.4605659776425,0
1,2,818.6068087047715,2
1,1.41,786.264831342578,2
1,22.63,729.2311714786592,0
1,4,617.5047129545419,2
1,16,777.8175241005556,1
1,8,870.1473977971546,1
1,1.41,961.6007285408159,1
1,8,801.1152029343975,1
1,11.31,637.4040811811028,1
1,11.31,588.1770466580747,1
1,11.31,690.5673670021315,2
1,1.41,1029.58639665394,0
1,2.83,793.5519479701725,0
1,4,818.9252723241225,1
0,2.83,697.6930331557014,2
1,16,560.7270527848414,0
1,22.63,746.6343720211626,2
0,2,979.198830184032,1
1,16,565.3278792883611,0
1,22.63,677.1096337465679,0
0,1.41,1645.0861200037252,0
1,8,784.6288226301112,1
1,28,974.3054813629897,0
1,28,941.9795466483265,2
1,2.83,1304.8891504254243,0
1,2.83,826.884814814548,1
0,16,1088.8267738819195,0
1,11.31,946.2059309325923,1
1,4,782.7432995495656,0
1,8,920.2161593152596,0
1,5.66,853.1404847813064,2
1,2,890.6686746145169,0
1,8,721.7276497758576,0
1,22.63,960.640559021158,2
1,5.66,766.6241934730351,1
1,5.66,610.8801235350256,0
1,11.31,890.0341367061628,2
1,22.63,762.1633134690455,0
0,5.66,834.8122720108222,2
1,22.63,699.5341829565405,1
1,2,806.8837293762954,0
1,4,661.4042231758503,0
1,2.83,887.3789078779737,1
0,1,1214.7892047319147,2
1,22.63,719.3390019629078,1
1,1,1237.502180264073,2
1,28,823.2731711295855,1
1,2,838.555670205551,0
1,2,1308.1830131573042,0
1,4,694.7159273795478,2
1,28,663.3392395306146,2
1,1,1191.9492533511402,0
1,11.31,787.1553689446955,1
1,22.63,648.221604257742,0
1,28,663.2218210042993,2
1,11.31,790.9038871334815,2
1,28,683.6202179683823,1
1,2,946.9111247567525,1
1,8,831.9211821317367,0
1,1,1278.3525634613397,2
1,22.63,874.2150622711051,1
0,2.83,1294.8713703935937,1
1,2,794.8039571410845,2
0,8,1059.0185108258083,1
1,11.31,907.4881958540573,1
1,2,800.0000682668542,0
1,16,1050.0871934959832,2
1,1.41,999.8962347904126,0
1,11.31,1056.4820658560166,0
1,4,1041.3169853068212,2
1,1.41,970.7228509764718,0
1,11.31,1069.812823263419,0
1,16,736.7408371737838,2
1,1.41,1038.1074318074752,1
1,2,763.9867139573653,1
1,8,747.5010163184379,2
1,2,1388.139909635811,0
1,8,723.4134930954497,2
1,1.41,954.4037238056262,2
0,2,1123.239276770164,0
1,22.63,666.2330600734094,1
1,8,481.985984187304,0
1,1,617.619059484241,1
1,1.41,796.8966693074435,0
1,28,818.8273097744059,2
1,2.83,824.4872923460207,2
1,2,988.3458699227958,2
1,4,661.9838064834767,0
1,2,1026.3515845185793,2
1,4,889.9979554157653,2
1,1.41,842.712763905638,0
1,5.66,687.0379845518073,1
1,22.63,649.8026583690262,2
1,11.31,910.0147421690963,2
1,2.83,730.7425936728578,2
1,2.83,701.1831623199214,1
1,1.41,700.654437618141,2
1,4,745.889242244175,2
1,4,625.4407034734868,0
1,1,1044.29511508215,2
1,4,769.1913584062604,0
1,1.41,1074.5829508982752,1
1,1.41,1309.9811550096092,0
1,28,823.1857899008901,2
1,5.66,753.0476763590741,2
1,11.31,620.9654874865009,0
1,4,610.6664491239826,2
1,22.63,525.3089830976023,0
1,28,509.9585587695401,1
1,2,1034.1561618615742,2
1,2.83,813.2509537695114,1
1,11.31,651.9953810825427,2
1,16,451.9445907435511,1
1,1,903.5328299128196,1
1,8,666.2665107005523,2
1,5.66,716.5680612733922,0
1,5.66,713.50289160182,1
1,2.83,874.1747849858257,1
1,8,713.3523637817234,2
1,4,915.6904260553347,2
1,2.83,797.0813304204967,0
1,2.83,647.1477708741986,0
1,8,717.3654149873983,2
1,8,832.4109948794103,2
1,8,785.7132373346758,1
1,1.41,1025.017996778388,1
