Correct Response,Height,RT,Face
1,1.41,1281.1412000182827,0
1,1.41,1173.0655277970072,1
1,1.41,612.4416661432406,1
0,1,909.6436207537408,1
1,16,751.5933437280182,1
1,2,879.6161912123353,0
1,5.66,751.2721491166303,0
1,2,703.2383653140641,1
1,22.63,942.5501964715295,2
1,4,727.6358438166426,2
1,2,836.8246038489815,2
1,4,688.0169492451387,1
1,4,955.7952928771556,1
1,2,713.9825128133452,2
1,16,764.7892881432199,2
1,1,858.1132188819538,2
1,22.63,714.1019794598833,2
1,2.83,611.4992449702186,1
1,1.41,882.0324894668374,0
1,16,604.2582008731188,1
1,22.63,564.7830076104583,2
1,1,924.7011968509469,2
0,4,586.5204759011249,1
1,1.41,924.2915969207388,0
1,8,691.5108366483764,0
1,28,678.1732389245008,0
1,11.31,582.7931165358677,2
1,1.41,1502.4866129087968,0
0,1.41,899.1861932054235,1
1,11.31,602.0303185869125,1
1,11.31,614.1793938468254,2
1,1,1170.4570589090508,0
1,8,610.5175704715293,0
1,5.66,630.9279349889039,0
1,1.41,912.9275881932699,2
1,4,624.5600214078877,2
1,1,893.7586527981694,2
1,11.31,751.1810131318271,0
1,2,727.6873851415075,0
1,5.66,568.9206495708277,1
1,1,904.8212642437647,1
1,22.63,711.0026733225823,0
1,4,754.2031779494209,2
1,1,1080.1088716616505,2
1,2,669.6996403716184,2
1,16,625.791551864495,2
1,2,785.6932205750127,0
1,11.31,747.0379098394915,0
1,11.31,897.2839428643056,2
1,2,713.0110783127748,2
1,8,620.872939371111,1
1,22.63,660.6843459094307,1
1,2,758.380073236367,2
1,5.66,894.4512180132733,0
1,2.83,701.4962002785978,2
1,2.83,595.119002433421,0
1,22.63,611.8972395688616,0
1,4,665.6190010680803,2
1,16,523.6595159622084,0
1,16,675.9794899653571,1
1,5.66,600.9018707791256,2
1,1,2173.2409731002917,2
1,1,955.2023969790753,0
1,22.63,986.2442690146054,1
1,28,646.3992070139284,1
1,8,562.2346133786778,0
1,28,625.2979839491672,0
1,28,670.1208456333916,0
1,1,1395.943185759279,2
1,8,666.6942008841943,1
1,8,947.0240517084676,2
1,28,689.3321063535041,0
1,1,1485.9886103913595,2
1,2,1558.1014087501899,2
1,2.83,743.2088331588602,2
1,11.31,667.7738380330993,1
1,28,2205.790855545274,2
1,28,621.3893766162073,1
1,28,999.246677461997,0
1,28,697.3421743205108,2
1,8,653.5054244686762,2
0,2,764.789970809943,0
1,4,684.3104112112997,1
1,2.83,1886.7643926587334,2
1,11.31,613.2130793448596,2
1,1.41,849.6908203196654,2
1,16,3221.542362190121,0
1,28,650.656998287559,0
1,22.63,554.6962679991339,1
1,16,619.8096862190141,0
1,8,1821.4219398105342,2
1,28,591.8022669984566,2
1,8,690.0076049050767,2
1,16,626.1007998118657,0
1,2,1030.060880203564,1
1,8,632.2086174359356,0
1,1.41,2427.1386577684098,0
1,22.63,728.326019699125,1
1,28,780.4052854780821,1
1,22.63,579.0961358343338,1
1,1,1810.4624110137593,0
1,2,2134.1398811073304,2
1,8,806.9828596089792,1
1,28,792.3775501012642,0
1,11.31,1420.6345522125048,2
1,5.66,584.7247215406242,1
1,16,654.4092749809352,2
1,1,1331.946610014711,1
1,16,758.207017265704,0
1,1,5853.833923612001,0
1,8,708.2109084658441,1
1,28,767.7373836395418,2
1,1,1735.2363118525318,0
1,4,644.859111277583,2
1,1.41,1004.8390818410553,2
1,22.63,885.4451395509386,2
1,28,918.1237046404931,2
1,2,730.2955126970119,1
1,11.31,659.6651247509726,2
1,2,695.9881052180208,1
1,2.83,934.0479259226413,0
1,1,1775.0371370602807,2
1,2,884.7935343283098,2
1,28,798.0525571319959,1
1,16,893.7453408007059,0
1,2.83,638.5724350175224,1
1,16,545.0331229812946,2
0,22.63,528.848464409748,0
1,2.83,634.016659793815,0
1,22.63,733.5252081447834,0
1,16,633.5408412087418,2
1,28,476.4555133515387,2
1,8,822.8237955718214,1
1,1.41,2292.8830646815186,1
1,11.31,692.1245538778749,2
1,22.63,952.5580880981579,0
1,2,2769.2378847168584,2
1,22.63,645.446204509426,0
1,5.66,735.5469251324394,2
1,1.41,1478.3413796976674,0
0,1.41,909.6367940892378,1
1,1.41,847.1338927556644,0
1,22.63,1178.28895090679,2
1,2.83,2762.2142699146934,0
1,22.63,637.4716352038376,2
1,2.83,932.5296755159798,2
1,2.83,818.8493109173578,0
1,5.66,933.1246194124105,0
0,5.66,1011.7544939948857,1
1,28,609.7069039442431,0
1,22.63,589.8658833302761,0
1,5.66,749.0456321629608,1
0,8,977.6559824804281,2
1,1,989.0705085326772,0
1,2,1391.6567224896426,1
1,16,968.369328064,1
1,28,1042.5362700734695,2
1,2.83,6826.351133635399,1
