Correct Response,Height,RT,Face
1,28,675.0023722679543,2
1,1,984.9390002882501,2
1,2.83,665.790463551275,0
1,5.66,639.173617923916,1
1,2,805.790449898268,0
1,22.63,714.5830645331444,2
1,1.41,749.3786023487701,2
1,2,752.7246947283857,0
1,1,811.6951782549222,0
1,2.83,633.3320362664381,2
0,1,684.190728971771,1
1,1,703.6300135914644,0
1,1.41,985.3796618472188,0
1,28,535.7034849475895,2
1,2,686.7121595969365,1
1,2,740.9135313473598,1
1,8,555.230833610949,2
1,11.31,424.84928418980417,2
1,11.31,582.7692797111013,1
1,2.83,599.7666644143465,0
1,11.31,626.7828702466431,0
1,22.63,436.04775392304873,2
1,28,541.9010774530761,1
1,4,557.4628134218074,1
1,2,602.4720737987082,2
1,2.83,726.434505267207,0
1,4,760.468869360011,2
1,16,617.7573296254195,2
1,11.31,537.7791340088152,0
1,16,554.5304172528631,2
0,5.66,584.5759579697187,2
1,2,762.612102456842,0
1,22.63,617.4146307830597,2
1,1,829.0629098137288,1
1,2.83,539.1526600460566,1
1,1,1333.3985280332854,1
1,4,675.946500750797,2
1,8,626.5572487973259,0
1,8,550.8249006888946,0
1,2,736.3294223341654,2
1,8,515.7160187136469,2
1,4,686.826506322177,1
1,22.63,717.6690607793716,0
1,1.41,744.5733092217779,0
1,8,655.1490501033186,2
1,4,674.0568784507559,1
1,16,603.6950717589207,2
1,1.41,794.5278094648529,2
1,8,465.64546507761406,1
1,22.63,622.8838175829878,0
1,4,709.8928007990253,2
1,1.41,858.3117781217879,0
1,2,958.4644907336042,2
1,1,802.6542776260612,2
1,11.31,610.2630111217877,0
0,28,671.8597146582397,1
1,8,613.7381275666485,0
1,11.31,541.8799147755635,2
1,1.41,866.0146513993823,2
1,28,624.3006929753392,1
1,2,663.3314969594721,1
1,8,570.710990869884,0
1,16,576.324220411152,0
1,8,513.8352710837353,2
1,16,612.359481528074,1
1,2.83,669.1563532749569,0
1,4,1028.0391823553146,0
1,28,471.3501719979831,2
1,5.66,624.2279889384008,2
0,1,861.0837475407607,2
1,11.31,523.2301345604355,0
1,1,737.5933803141379,0
1,5.66,629.5906796831332,2
1,28,723.6140664899722,2
1,2,909.200849510853,2
1,11.31,688.7802993223886,1
1,1.41,984.3860400051199,0
1,28,648.57394273713,1
1,22.63,538.5396250658232,0
1,1,1034.1446148158866,1
1,1.41,974.470642929191,1
1,1.41,851.5605426655384,2
1,2.83,715.4183076272602,0
1,2,697.3044210199077,1
1,8,567.4731012131815,1
1,11.31,568.3728563408295,2
1,8,670.0072977100717,2
1,4,668.9812491849807,0
0,2.83,676.2390235680868,2
1,2.83,722.3900445305844,0
1,5.66,685.0177800624806,2
1,4,763.1254680536586,2
1,8,623.4412152016375,1
1,28,643.2242226646849,0
1,22.63,784.3024815629178,2
1,5.66,573.7014137357619,1
1,5.66,676.4120796569841,0
1,16,614.9570295247031,2
1,2,819.7117370264095,2
1,5.66,713.3208132199798,1
1,5.66,641.6663765330668,1
1,22.63,607.7149564835054,1
1,1,981.5147425351824,0
1,8,729.5665815381653,0
1,2.83,657.0574457464318,1
1,4,629.9357678599335,1
1,16,579.5225153824504,2
1,1.41,651.2284934287891,2
1,4,592.5781807336534,1
1,8,617.617724219599,0
1,2.83,768.335241387831,1
1,2.83,680.9791219948238,1
1,16,636.1316536995218,0
1,1.41,797.4704456382824,2
1,28,593.7312053238202,2
1,5.66,628.5540498192859,0
1,1.41,656.5126774676173,1
1,16,455.9273587674397,0
1,1.41,757.5624145383699,0
1,2,683.3906432293588,1
1,5.66,622.8278388871331,1
1,16,647.0662726314913,1
1,28,735.7293580262194,0
1,22.63,677.1281973569785,2
1,11.31,659.3812442697526,2
1,2,704.5099713759555,2
1,16,656.6635468780078,0
1,2.83,644.014409735064,0
1,11.31,505.3985307640687,0
1,1,783.7679532894981,1
1,4,642.5152729680121,0
1,8,574.1270566195453,1
1,28,636.8453820650757,1
1,1.41,907.6866940686159,1
1,2,656.8782456552071,1
0,1.41,826.6739165901527,0
1,1,732.8884392381951,1
1,2,797.0983921150037,0
1,28,600.5534381492907,0
1,8,614.2132638096882,0
1,2.83,597.6906740170307,2
1,16,624.8376105831994,1
1,11.31,621.1546220310993,0
1,16,585.8221666076133,1
1,5.66,611.7720465608727,0
1,1.41,883.0236414414685,1
1,28,698.4898722939761,2
1,8,854.8639683567671,1
1,28,597.12406039489,0
1,11.31,461.6211430166004,1
1,2,629.60365035633,2
1,11.31,650.7178585006841,2
1,8,679.1540117274053,1
1,2.83,1043.0680967183434,2
1,8,553.2466619288243,2
1,1.41,821.1187137458182,2
