Correct Response,Height,RT,Face
1,11.31,648.1500254803905,1
1,1,1233.8429096053005,2
1,2,883.564432948333,0
1,28,1024.727880672799,2
1,2.83,660.3895498810743,2
0,22.63,855.2515301116728,1
1,22.63,1024.146248971192,1
1,2.83,782.5755566545922,1
1,1,887.9765053552546,0
1,28,1170.2760941516317,2
1,5.66,870.3507437139706,2
1,22.63,1122.4280119831747,1
1,5.66,988.419589928526,2
0,11.31,884.8386296294848,0
1,1.41,1176.1825231278635,2
1,8,685.8082888666104,2
0,5.66,1092.750800511567,2
1,16,800.6337874085148,0
1,2,987.6901609686684,2
0,1.41,1370.0385945403468,0
1,1,1059.8421880276874,0
1,22.63,961.0692465994362,0
1,11.31,699.1953753449707,0
1,4,800.2825555886375,0
1,4,1300.9118032668994,2
1,1,977.0992757248678,0
1,16,807.5420292052513,0
1,4,843.0550136890815,0
1,22.63,810.7761608825967,2
1,8,652.3146313484176,2
1,1,987.0194413124409,2
1,8,500.110421276986,1
1,2.83,561.7954670269683,1
1,16,519.7032859114188,1
1,2,629.1135338942695,1
1,22.63,1202.5085256491366,1
1,1,1080.3996601689505,0
1,5.66,788.7161401777121,1
1,5.66,641.872908694495,1
1,5.66,708.2878080236696,1
1,1.41,1058.6263593168042,1
1,2,822.7060961071402,0
1,22.63,804.796345277282,2
1,5.66,645.1097710378235,1
0,1,896.9719994174739,0
1,1.41,1006.1723275057375,2
1,1.41,780.9142881715161,0
1,28,1181.8380722324946,1
1,28,789.226433249496,1
1,2.83,1133.1397291651228,2
0,5.66,633.5525716212942,2
1,16,627.8799558585888,2
1,5.66,760.5169012813349,1
0,1,968.4389708263552,2
1,4,622.078316162515,2
1,2.83,1130.5841678076831,0
1,2.83,1035.605144436886,0
0,1,1095.0694766579545,2
1,8,681.9515655070063,0
0,1.41,1083.1381760999648,1
0,1.41,906.6289971397055,0
1,5.66,867.9491236098329,0
1,4,827.7455388615635,1
1,8,849.3461251346162,1
1,28,935.9225501402761,1
1,28,774.1630596292453,1
1,1.41,912.5432767777966,2
1,1,1084.6482339929935,2
1,22.63,803.0565701683372,0
1,2,1148.8256944676323,2
1,2,1059.9582413015014,2
1,1,1228.7519255451116,0
1,16,973.6268935030239,2
1,28,557.9906263092198,2
1,22.63,775.0542805051737,0
1,28,951.5453688090929,2
1,2.83,797.9082421370549,0
1,11.31,849.0379012928315,0
1,11.31,663.5509775951505,1
0,1,794.4648732336645,0
1,5.66,627.6959772867485,2
1,8,687.8125971734335,0
1,4,678.5351619228095,0
1,1.41,826.3802062265313,2
1,8,698.4430770635299,1
1,2,758.6358142443714,0
1,4,1167.7130234647848,2
1,28,975.3557459507647,2
1,28,666.1789015834074,0
1,28,1212.2590486569607,2
1,28,877.0125429691689,0
1,1.41,1237.5173610580532,0
1,8,1197.1164857422991,2
0,11.31,1038.101996491605,2
1,1.41,1749.697322821703,2
1,5.66,953.7520876792769,1
0,16,800.0678570324453,1
1,16,830.930518563946,1
1,5.66,1139.5584992123986,2
1,16,1699.6769964316627,1
1,4,767.6364283033763,2
1,1.41,1195.4480492640869,1
1,1,936.4669765291183,0
1,1,806.5415817172834,2
1,22.63,871.7266576759357,0
1,4,697.3808482744062,0
1,1,1060.7197555782477,2
1,2,971.0785001407203,2
1,5.66,615.4769328759357,0
1,2.83,1093.4788641388877,1
1,22.63,837.1383447192784,0
1,4,756.6997725698457,2
1,16,729.8870289650949,2
1,1.41,976.4992120317402,2
1,11.31,790.4972165988511,2
1,5.66,779.2745236783958,1
0,4,978.130101863826,0
1,1.41,1100.8274257092125,2
1,11.31,742.1364520259885,1
1,16,825.8873211452737,0
1,5.66,843.0952910011911,1
1,16,710.2238496991049,0
1,22.63,658.7426173900894,0
1,5.66,759.6888270400086,1
1,22.63,677.1152159835765,1
1,4,1516.396108938352,2
1,1.41,1801.8857974348066,0
0,1.41,967.8228644743285,0
1,8,803.6211352118698,2
1,11.31,712.7463017404807,2
1,11.31,931.7115229632691,2
1,2.83,1094.75715681765,2
1,11.31,711.7919342299501,0
1,1,1829.4774633077395,0
1,11.31,1114.8268638753507,0
1,1.41,1216.228753291034,2
1,4,1035.4262858618313,1
1,1.41,923.9489242718264,0
1,2,1032.8560471780293,1
1,2,937.1247255248818,0
1,8,749.7461334633044,0
1,22.63,984.242354734306,0
1,22.63,715.2370097992389,0
1,22.63,842.637904568619,1
1,2.83,1035.6822857311272,1
1,22.63,1001.95720433112,1
1,5.66,1146.9302714385776,2
1,8,954.0254955390992,1
1,8,1085.112447089159,1
1,28,927.0393546894411,2
1,4,725.9070843356312,0
1,11.31,879.7503762343695,2
0,1,1036.813805150814,1
1,16,709.3411621499399,2
1,11.31,665.6153605381405,1
1,4,783.519684170642,0
1,5.66,632.5958147772326,0
1,22.63,1035.0388727274549,1
1,2,1422.4100237261155,1
1,11.31,713.3627494249595,0
1,1.41,792.4530555974343,2
1,1.41,674.4538413468035,1
1,4,621.8830735961092,1
0,1,1722.4070541278707,2
1,1,883.1964758037429,0
1,5.66,730.8014604959681,2
1,2.83,1729.3398719111792,0
