Correct Response,Height,RT,Face
1,1.41,1219.2807627579896,1
1,28,831.596344592981,2
1,8,721.0995577352151,1
1,4,560.0202342429839,0
1,28,602.5288708315202,1
1,2,575.0406101396948,1
1,28,697.3314896786178,1
1,8,671.2194852207176,1
1,8,729.0966577656945,0
1,16,686.5443305032386,2
1,5.66,596.1967950843245,2
1,1.41,712.3453802414588,1
1,4,810.6753383544856,2
1,1.41,794.6726049576682,1
1,11.31,975.4809984824533,2
0,2,644.9774327429623,2
1,8,641.6600135107728,0
1,16,764.9762585551798,0
1,5.66,954.17496817754,1
1,28,717.6834931506164,0
0,2.83,620.5410339061928,0
1,1,714.6278766304022,0
1,28,657.539184219786,1
1,4,714.3281859116541,1
1,2.83,635.2415804140037,2
1,4,849.6402516720991,2
1,28,719.764944173221,0
1,22.63,814.2613869658817,1
1,1,853.3467909710453,2
1,8,590.3033327449521,2
1,22.63,631.569174454853,2
1,28,714.4855406040733,2
1,11.31,838.6745751340641,0
1,1,1023.2823506394197,0
1,11.31,751.3147308909538,1
1,16,866.4498972084402,0
1,28,1290.144988184693,0
1,5.66,743.5265268941293,1
1,5.66,622.9313916464889,0
1,8,646.3373049737129,2
1,28,670.5917731142108,0
1,2.83,741.890857283579,2
1,8,604.6744925315579,1
1,2.83,599.423419635059,2
1,2.83,736.0086589469574,1
1,1,745.4468685573374,1
1,16,740.7654810904205,2
1,11.31,712.0658281928627,2
1,8,646.4028409864113,1
1,11.31,663.3046465376538,0
1,2.83,759.0633402141975,0
0,4,879.6786141319899,0
1,8,655.8803039370105,0
1,4,929.3149746026756,1
1,16,733.9207225886639,2
1,2,954.7903922830301,0
1,16,620.8963619665155,1
1,2,601.9779587368248,2
1,11.31,534.8602086160099,0
1,4,637.748332841511,1
1,1,698.0766204724205,2
1,2,776.2665431509959,1
1,8,625.7975681364769,1
1,8,527.474095355501,1
1,8,696.3638095130591,2
1,8,530.2962398382078,0
1,16,508.3450894235284,0
1,5.66,691.3711259949196,1
1,28,633.1877773973247,2
1,28,918.4431647481688,0
1,16,726.7155160261609,0
1,1.41,683.8624740448722,0
1,5.66,607.854013074757,2
1,1,610.471016187148,0
1,8,680.9188148781686,2
1,1.41,502.109269693392,0
1,4,706.3952565586078,2
1,4,600.8546305456548,1
1,5.66,880.2571742307919,0
1,5.66,577.4770478892606,0
1,4,601.2191746085591,1
1,28,758.2001080663758,1
1,28,557.5056311463413,1
1,8,600.0644437444862,0
1,1,912.2018836824282,2
1,2,569.0269984461338,0
1,28,623.0413009980111,2
1,4,633.2157667366118,1
1,1.41,736.8176190830127,2
1,28,616.8085532681289,1
1,8,814.7471043830592,0
1,5.66,697.2799483373819,2
1,1.41,818.5372703646863,0
1,1,761.377921942767,0
1,4,778.0039301123907,1
1,2.83,720.5257763034751,2
1,1,641.8071282023448,0
1,11.31,726.4892119874276,0
1,2.83,621.7370661088353,0
1,11.31,655.3119838390558,2
1,8,588.7195458071801,1
0,11.31,630.347883579816,0
1,1,735.6086162108113,0
1,5.66,680.6491614970582,0
1,22.63,864.4326168632688,0
1,5.66,682.708767182703,1
1,4,686.6655038575118,2
1,22.63,554.7807666825975,1
1,1,1173.5779282898875,0
1,1,625.1783893640095,2
1,1.41,622.7003089406935,1
1,2.83,648.6423293681582,0
1,22.63,672.5162107759388,1
1,4,700.3693568640301,0
1,28,689.2517869655421,2
1,5.66,702.0541784841043,2
1,8,502.2673070543533,0
1,22.63,687.5423893416155,2
1,4,628.5354032697796,1
1,16,615.4282010338648,2
1,28,641.3210694518057,1
1,1.41,775.6989057197643,2
1,22.63,652.6854233907216,0
1,2,602.1776387715363,1
1,2,503.08855519324425,0
1,2.83,535.3353446971596,1
1,1,688.6851735362143,2
1,2,568.3747103357746,2
1,1,608.467047844897,2
1,28,822.6400977309822,0
1,4,614.5093315426493,0
1,5.66,455.1151710074919,1
1,8,613.0808512989461,0
1,2.83,668.8465354818618,0
1,5.66,728.4907909961476,2
1,2,704.0147974839783,2
1,8,609.6524987133307,2
1,5.66,574.6948394153151,0
1,2,632.6634893084702,1
1,1,785.7177234291157,2
1,5.66,584.9973051736015,0
1,16,531.5694133878424,0
1,5.66,450.1579861607752,2
1,28,550.2488832426025,0
1,1.41,1061.4195304824534,0
1,22.63,595.8383950237476,0
1,5.66,635.9727165381628,2
0,28,528.606298215891,0
1,22.63,729.847591226644,2
1,1,763.1323755740596,2
1,1.41,610.1508454648865,0
1,11.31,703.3154053642647,0
1,22.63,665.9943536633364,1
1,16,512.0816660619312,2
1,8,652.4963246920379,0
