Correct Response,Height,RT,Face
1,2,903.9474838455135,1
1,8,920.7407339144993,0
1,1.41,822.246320342856,0
1,2.83,729.1081066960032,2
1,8,656.4263305763234,1
1,2,744.2656882694791,2
1,11.31,790.8365017583492,0
1,1.41,662.2836075766827,2
1,11.31,623.5532167402198,0
1,5.66,667.0192638193839,0
1,22.63,889.2783500232326,1
1,22.63,671.025149768866,1
1,22.63,733.206493930993,0
1,5.66,763.2509798822866,1
1,4,776.0550693265031,1
1,5.66,730.6553699045253,2
0,28,961.329342465433,1
1,8,800.6392487395715,0
1,28,853.0154565887642,0
1,16,669.6161264899274,0
1,1.41,847.4547981031719,0
1,16,757.3701508927115,1
1,5.66,706.4029663215479,1
1,22.63,655.8822455217523,1
1,11.31,657.3062874585958,2
1,1,733.4894591194825,1
1,2.83,746.1641832978785,1
1,28,919.4143132599493,2
1,1,711.8765848526891,0
1,2.83,544.4212679230986,2
1,1.41,727.3365876035314,0
1,5.66,770.0616003949108,0
1,22.63,1243.8880031295412,2
1,2,692.529821424614,0
1,16,991.5834069761331,1
1,2.83,790.0312968376966,1
1,22.63,860.9483805275886,0
1,11.31,745.5190636283078,1
0,5.66,732.3988996786284,2
1,11.31,751.0841594448721,2
1,2.83,710.9037853506379,2
1,16,1327.1476938334672,0
1,11.31,865.7693700588425,2
1,5.66,1439.0984845149433,0
1,2,865.2802396436527,1
1,1,890.9102638544937,2
1,16,846.1143827898923,0
1,2.83,787.1559063096356,0
1,4,689.0789431918165,0
1,1.41,1371.5858577479594,0
1,5.66,713.1815015172833,0
1,16,693.8521460815537,0
1,28,1146.5169169832734,0
1,5.66,1064.4515510002748,1
1,1,943.7076768217594,0
1,1,680.3199930100163,2
1,1.41,786.7254851971666,0
1,1.41,912.4163008427786,0
1,8,849.5164503810884,0
1,8,768.9167689813985,1
1,22.63,1690.790728981483,1
1,5.66,829.7249298475435,2
1,11.31,769.4205767229505,1
1,2.83,816.3692460184393,1
1,5.66,682.6820184669486,1
1,1,866.2905857927399,1
1,8,721.5653265584479,1
1,11.31,808.7882365671248,0
1,22.63,928.7071085018397,0
1,1.41,790.0067208502151,1
1,1,795.180307533883,0
1,11.31,808.7346472611898,1
1,11.31,773.83640379594,0
1,1,775.9270693914004,1
0,11.31,681.1391925903081,2
1,8,885.1553867998518,2
1,1,913.4771642993655,2
1,2,1256.6531805932755,0
1,5.66,863.4844858961515,0
1,16,645.8282773355677,2
1,2,843.3526562039333,2
1,2.83,704.8492177837034,0
1,2,794.7584197499964,0
1,11.31,760.294352062374,2
1,22.63,782.079599575809,2
1,1,701.0781690478325,0
1,4,761.297871548777,1
1,8,599.5277997089943,1
1,16,1059.4578468908367,1
1,22.63,955.9574412160146,1
1,5.66,852.521888841693,1
1,16,949.7619030553324,2
1,4,1050.3606355487136,0
1,4,736.9843693304574,2
1,4,712.8886376676746,2
1,1,801.6127309074363,2
1,16,862.2990358362586,0
1,8,795.5178860283922,0
1,16,740.6830554364205,2
1,22.63,714.9537032773878,0
1,1.41,949.1891460156694,0
1,8,802.3930185081554,1
1,8,1055.3877903075772,1
1,11.31,1200.5540519830902,1
1,8,819.520092406492,2
1,22.63,848.6156721755833,2
1,2.83,1013.4137104651018,1
1,22.63,630.009533435441,0
1,1,1117.0636200631634,2
1,8,674.3121880854233,0
1,8,608.9608828788187,1
1,2,704.8649191092409,0
1,11.31,824.8977963194193,2
1,5.66,671.0172991051877,2
1,2.83,713.0552082489885,0
1,8,632.0585563862551,2
1,22.63,609.1503227817157,2
1,2,813.4068155350178,1
1,1.41,720.8806122425813,1
1,28,766.6588501369915,1
1,11.31,676.9595680634666,0
1,16,669.3307719697259,2
1,28,656.2406453376752,2
1,5.66,937.5527573065483,0
1,11.31,766.6680661322971,0
1,11.31,906.7013597687037,1
1,4,807.0037468132796,0
1,1,881.5311113230564,2
1,16,879.7998695426941,2
1,28,643.8488863495877,0
1,1,808.6267859825966,0
1,11.31,663.9557987218723,0
1,1,661.7436185206316,0
1,2.83,666.2939308580462,2
1,1,891.4413782486008,1
1,28,702.6571762389722,0
1,5.66,902.9623963497215,2
1,4,632.5149188196519,0
1,16,704.2873834052443,2
1,2,714.9216179604991,2
1,2.83,728.3356697589625,1
1,4,808.9121405037076,2
1,2.83,786.7224131987314,2
1,2,586.0502599416577,1
1,8,1177.2959518912103,0
1,1.41,1185.8914034901318,1
1,2,673.2462046311412,1
1,8,599.8650368692324,2
1,16,772.8209376482482,1
1,16,881.4037940546768,2
0,5.66,554.3919508181716,0
1,2.83,703.7958636565236,2
1,5.66,697.3740216117221,0
1,2.83,720.2737218867696,1
