Correct Response,Height (deg),Reaction Time (ms),Target
1,2,1120.2299120071577,2
1,1,993.8510889936472,0
1,1.41,1096.1566170029575,1
1,2.83,715.7315109965159,0
1,1.41,750.0748109908775,0
1,8,837.3180710062618,1
1,5.66,1028.1801090044203,2
1,21.17,761.0631020091707,1
1,11.31,1151.6618810004322,2
1,21.17,552.2548579923343,0
0,21.17,807.5097790009343,0
1,21.17,617.4182070120471,0
0,28,973.5999809948728,2
0,28,716.531929009175,1
1,28,840.6502549936297,0
1,16,558.0295479906956,0
1,16,811.75518599262,2
0,1.41,724.1708800014342,2
1,1.41,570.3534509978956,0
1,1,837.9733970090049,2
1,1,793.7141260066303,2
1,1,945.9067769952119,0
1,4,903.64972499297,1
1,8,1019.0930679985788,1
1,28,789.5585219979287,1
1,2,667.6500740016811,0
0,1.41,-12.3,2
1,1.41,867.2987519988558,2
1,8,623.195353009901,2
1,5.66,917.3166290005204,1
1,2,783.5835430035834,4
1,2.83,906.7006190037821,3
1,2,649.4779299995164,4
1,1,771.8536959895166,3
1,5.66,659.7964539999841,4
1,28,800.2349909969373,4
1,2.83,603.2759520042921,5
1,4,846.6188649930293,4
1,8,876.7584400069202,4
1,11.31,1002.4609790001298,3
1,2,876.1142239985522,3
1,8,670.8863109982806,4
0,11.31,1168.7732669982827,3
0,11.31,-12.3,3
1,11.31,493.2671010049991,3
1,4,943.0377260017442,4
1,21.17,682.3761920116842,4
1,1.41,887.7715520087397,4
1,5.66,623.3228340009694,5
1,2.83,510.80987999953794,5
1,21.17,1006.5564670097549,4
1,28,642.3386880072533,4
1,16,657.0997780093924,5
1,11.31,839.2830310061574,5
1,16,705.6081479989691,4
1,4,591.9722370038974,5
0,28,683.2829229991651,3
1,28,656.7529490006157,4
