Correct Response,Height (deg),Reaction Time (ms),Target
1,11.31,368.5932999327779,1
1,8,475.1006999835372,2
0,16,359.14310015179217,1
1,16,348.3104998562485,1
1,21.17,411.762600004673,1
1,21.17,466.7577000185847,2
1,8,577.7140999529511,1
1,4,316.8729999419302,0
1,2.83,333.74870003573596,0
1,1.41,504.4232000913471,2
1,5.66,359.75010011717677,0
1,28,325.24139986746013,0
1,28,484.4842999558896,1
1,16,415.2119999602437,2
1,16,430.4679999444634,0
1,1.41,437.3629998266697,1
1,11.31,439.16229990683496,1
1,2.83,335.6626000571996,1
1,2.83,443.6318000629544,2
1,21.17,303.5970001332462,0
1,11.31,424.3531000651419,1
1,2,365.9326000455767,1
1,4,392.957600004971,1
1,4,439.1003997847438,1
1,5.66,473.02189998701215,2
1,16,488.62590005993843,2
0,28,600.7650999203324,5
1,28,393.95330001972616,5
1,11.31,937.5470999479294,5
1,8,429.96729997359216,3
1,2,436.8519998937845,5
1,21.17,446.05189998075366,4
1,16,324.3506999537349,3
1,2.83,480.8575000464916,5
1,1,578.3034001328051,5
1,4,463.2904000431299,3
1,28,511.14609994366765,5
1,16,482.3397998083383,4
1,21.17,357.9516000431031,5
1,8,518.1893000230193,4
1,11.31,313.5368001498282,3
1,2,477.03619993664324,4
1,1.41,455.05290006659925,5
1,1.41,390.41169982776046,3
1,2.83,423.2519999463111,3
1,8,474.0357000231743,3
1,2,433.1709001529962,4
1,1,544.3278001006693,3
1,5.66,487.86089982278645,5
1,21.17,475.4761000480503,5
1,8,588.1297999843955,5
1,5.66,480.8041999898851,5
