Correct Response,Height,RT,Face
1,1,1107.2538515236374,0
1,2.83,542.9358446390324,2
1,4,553.4103495765521,2
0,2.83,495.32663067839167,0
1,28,601.7476281576819,1
1,8,568.4146930470888,1
1,5.66,488.14838455291465,0
1,1.41,552.2211432280528,0
1,2,537.8847896618026,1
1,1,642.8018711912955,1
1,5.66,544.6865447993332,2
1,2.83,551.7292814756729,1
1,2,503.0643226145912,1
1,11.31,544.9483476886599,1
1,1.41,846.348668884275,2
1,1,520.4204547580957,2
1,28,551.6173240466742,1
1,1.41,463.4276381248128,1
1,2,535.9374813333488,2
1,2,704.0480461209881,2
1,2.83,501.07980892153137,0
1,22.63,538.9272225511377,2
0,2,604.7093800189032,0
1,8,440.52005591038323,1
1,16,499.0277111701289,2
1,16,544.9824810521022,0
1,4,579.3953957509075,1
1,8,566.3916086541576,2
1,11.31,533.1405936130977,0
1,22.63,526.4548919085428,0
1,5.66,428.91403000703576,1
1,22.63,448.87044170354784,1
1,11.31,482.8928707356681,1
1,1.41,518.9216588132695,0
1,5.66,530.1587030689916,0
1,2,489.192182777515,1
1,1,537.7827309075656,0
1,28,495.8847111556679,2
1,22.63,418.45454374742985,2
0,8,491.7607183024302,1
1,1.41,438.7362463885438,2
1,8,418.63715723684436,0
1,1.41,498.0603716785481,1
1,1.41,594.2812964531186,2
1,5.66,498.76863894951384,2
1,4,471.09638066922344,0
1,1.41,616.427704684611,2
1,11.31,486.19049488206656,0
1,2,417.0557585548522,0
1,4,561.7385486830244,2
1,22.63,644.2347897473155,2
1,1,475.36168564147374,1
1,11.31,470.67449230871716,2
0,1,502.54208216847474,1
1,22.63,551.7251854726055,0
1,4,539.6856658644538,2
1,2.83,968.0269380496611,2
1,2.83,704.2695716436356,2
1,8,503.4210162521049,0
1,11.31,389.5859111134996,0
1,11.31,394.9571370294507,2
1,2,574.1688952912227,1
1,22.63,587.7645548916917,0
1,22.63,456.3337014051285,1
1,5.66,531.8493285112709,2
1,28,465.00357546938176,1
1,2,478.8702539699443,0
0,1.41,788.200096597393,0
1,11.31,570.9757192325924,0
1,5.66,471.4397622956312,1
0,5.66,543.4232690540739,1
1,11.31,509.6489895668128,0
0,28,758.4204445183786,1
0,16,518.9025441304693,0
1,2,626.3031691123615,1
1,22.63,571.3467488831157,1
1,28,506.80704580827296,2
1,8,824.0384205128066,1
1,8,496.4943330087408,1
1,16,494.6275794154644,1
1,1,580.4391939745983,1
1,2,562.3532905419779,2
1,16,549.0457165187763,1
1,22.63,612.9966190901541,1
1,16,575.3874563306454,2
1,1,443.3944263637386,0
1,16,525.8507313928931,0
1,4,475.16439480659756,2
1,5.66,424.83441052536364,0
1,28,632.0457660121974,0
1,5.66,668.6251252267539,2
1,28,639.2786255173633,2
1,8,573.5029533889247,0
0,1.41,552.6133355633647,0
1,22.63,580.8603996674719,0
1,5.66,586.0568627686007,0
1,22.63,554.2824569874938,2
1,4,827.2578792602872,1
1,28,550.8496647253196,1
1,8,639.1810041013741,0
1,28,478.48454697395937,2
1,1.41,566.5540834597778,2
1,5.66,487.7418562064122,1
1,2.83,689.649228500457,0
1,1.41,607.6144704975377,1
1,1,560.5708463535848,1
1,2,570.0414891016408,0
1,1,544.4114298979912,1
1,5.66,465.40157047638786,0
1,4,499.81687451054313,1
1,16,469.3808378724498,0
1,11.31,551.9429563246376,2
1,2.83,675.8678834075909,1
1,2,400.1396054527504,0
1,5.66,584.7693523364796,2
1,28,385.1898753619025,1
1,1,655.5991514442212,0
1,5.66,569.7404328448101,1
1,1,584.1918158430417,2
1,28,569.0584482636041,2
1,5.66,423.4083186420321,2
1,1,560.223027390748,2
1,1,474.690282402662,1
1,8,470.481980144541,1
1,1.41,552.3679166872171,2
1,2,432.1440700969106,0
1,28,538.9808119298323,2
1,2.83,414.89136204108945,0
1,5.66,443.0384153920386,1
0,2.83,471.92616270967847,2
1,28,479.15560887940956,0
1,5.66,589.4312869813803,1
1,4,463.38019275117404,2
1,2,568.8894881195665,2
1,11.31,462.841568290969,0
1,5.66,382.8483266970579,0
1,8,519.0803789491838,1
1,5.66,518.3284209733756,1
1,8,462.8074349293456,1
1,16,413.0215364457399,2
1,8,426.8588602535601,2
1,22.63,441.34062194461876,0
1,22.63,462.8702403160787,2
1,22.63,493.7718560186113,2
1,28,499.9465812870767,1
1,1.41,570.6200495960729,0
1,1.41,449.2742393804292,0
0,22.63,426.1338676342348,0
1,4,507.7371799352477,0
1,4,512.4861546546526,2
1,4,515.284066375898,0
1,2,504.1661475543151,0
1,2,503.9087820023269,0
1,2.83,559.3079119425965,0
1,2.83,591.5038647499387,2
1,1,576.0800222551552,0
1,11.31,504.8849961685846,1
1,22.63,504.59486258750985,0
1,1.41,525.1011627524349,1
1,5.66,485.89421729593596,2
1,11.31,551.0401288875073,1
