Correct Response,Height,RT,Face
1,22.63,537.6847424313382,2
1,28,569.8728225916057,0
1,8,699.068193974199,2
1,1.41,528.5455408720736,1
1,1.41,481.43402349796816,1
1,16,557.9561912245481,2
1,22.63,565.1190724465778,0
1,16,482.5140023494896,1
1,11.31,540.8775749756387,0
1,1.41,541.7295431216189,0
1,22.63,620.7110179348092,1
1,16,562.0607252585614,1
1,2,667.3224818896415,1
1,5.66,604.0525830912884,1
1,4,432.1581110880288,2
1,5.66,555.9307188786988,1
1,2,537.8912491332812,1
1,8,490.30937434599764,2
1,4,464.2779245705242,0
1,8,492.5263347240616,2
1,4,656.2189066617066,0
1,2,512.9807382154468,1
1,2,497.71528494329687,1
1,22.63,603.0176602480424,1
1,1.41,534.6441445790333,0
1,11.31,452.47529855623725,0
1,5.66,381.8561505031539,1
1,1.41,554.5053106352498,2
0,4,520.9986595837108,0
1,8,538.5773292509839,1
1,22.63,515.3540292876642,1
1,28,459.61019044079876,1
1,2,576.8684504519115,0
1,8,672.8046374919359,2
1,8,623.1392636827877,1
1,2.83,519.7804407089279,1
0,11.31,519.0479392513225,2
1,16,580.9112031420227,0
1,5.66,649.8687402445285,2
1,2,472.89761670799635,1
1,1.41,498.56349842139025,0
1,5.66,472.5665233181644,1
1,2.83,531.0714079696481,0
1,4,490.0677103050839,0
1,8,553.3362437690812,2
1,11.31,638.3057302709858,0
1,28,638.8457196962918,0
1,2,592.4844531173221,1
1,4,737.0773737939089,2
1,4,537.2474943569614,1
1,8,615.7896730946959,2
1,16,620.4707192273418,0
1,1,552.139528898806,1
1,28,633.4424121068878,1
1,2.83,650.5555030280448,1
1,2.83,609.1599546298312,1
1,8,640.4008346289629,1
1,1,609.8279440775514,2
1,1.41,662.4482410579731,2
1,1.41,626.4433709129662,0
1,28,570.2919799969095,0
1,11.31,594.3358454333065,0
0,2,495.9144099693731,1
1,28,560.6639890202132,2
1,16,582.3895180610634,0
1,4,538.91149464107,2
1,11.31,622.7805222879397,0
1,4,552.2508035837745,1
1,28,672.0984187049908,1
1,1.41,581.0726538365998,2
1,5.66,617.061139978432,0
1,2.83,505.2300808929431,1
1,2,490.9869211287514,1
1,2,771.115822270076,2
1,28,662.298395698599,1
1,22.63,585.1290598620835,2
1,28,541.6517191088133,0
1,22.63,491.6822172472166,0
1,16,586.636046786225,2
1,2.83,546.4962639352962,1
1,1.41,466.46075160970213,0
1,28,473.16453942039516,0
1,11.31,536.3637822065357,1
1,8,495.61335391808825,2
1,1.41,559.6502288472038,1
1,2,520.5777955115991,1
1,2.83,584.7416464630442,0
1,28,607.5963063631207,0
1,16,732.7134263823609,2
1,2.83,644.8624033901069,2
1,11.31,553.4560517899081,1
1,16,562.6768320298652,2
1,28,492.2348360078104,1
1,2.83,560.5817276727976,0
1,1,914.1853720211657,2
1,4,530.4334558604751,2
1,22.63,620.2495351899415,1
1,2.83,508.4539747767849,2
1,22.63,476.8178307094786,2
1,2,548.4828242742879,1
1,16,543.5130100931929,0
1,8,469.25661341902014,2
1,28,670.2879863960334,1
1,2,430.2268467590693,0
1,1.41,526.8928045898065,2
1,28,650.8886444180462,0
1,8,432.64621783873736,2
0,4,680.668617500487,2
1,1,682.4735884747497,1
1,5.66,571.458657529547,2
1,1,546.8403279937775,0
1,16,560.4533863170218,0
1,8,466.01292219929746,0
1,11.31,790.4315375672013,1
1,5.66,510.9221565307962,1
1,11.31,560.1509649322907,2
1,2,573.4131325289127,1
1,2.83,600.5300224906023,1
1,2,527.7771994069553,2
1,8,601.7304920287643,2
1,4,527.6925487269182,0
1,22.63,763.7658903495321,2
1,11.31,636.8936340304572,0
1,5.66,567.1155314548741,1
1,5.66,705.4316723942975,1
1,11.31,560.4479249832366,0
1,22.63,512.0386580547347,2
1,8,579.1884935151757,2
1,4,446.2166094872373,1
1,1.41,564.91597907916,1
1,5.66,499.05058117110457,1
1,8,497.25175419735024,0
1,5.66,609.8764134194425,1
1,1.41,529.8275890909281,0
1,5.66,530.8765066029082,0
1,11.31,513.3189996067813,1
1,28,736.8299070858484,0
1,1.41,493.59641490718786,2
1,16,431.4945589749186,2
1,22.63,573.2325671651779,2
1,28,494.6350924174112,0
1,1.41,531.3291146803749,1
1,1,570.6210253856625,0
1,16,597.5867046545318,1
1,5.66,459.2999183878419,0
1,16,679.7197106725434,2
0,16,545.9747065124247,0
1,8,548.7432616528167,2
1,2.83,582.7980941303395,0
1,11.31,587.1415615383739,1
1,22.63,641.6279281711468,2
1,4,615.0575129695426,1
1,22.63,537.9294784734157,0
1,22.63,582.1027980118743,0
1,1,623.5556904202895,1
