Correct Response,Height,RT,Face
1,5.66,737.6956908328793,0
1,16,701.9372389868295,2
1,5.66,737.9615897270924,2
1,1.41,751.1828063425128,1
0,8,711.0658654428335,0
1,8,736.0477320935388,2
1,5.66,791.389517985408,2
1,22.63,737.1191783422546,0
1,2,558.3617351348948,0
1,22.63,640.983245638381,1
1,4,733.377137815296,1
1,11.31,744.0642936016957,2
1,2.83,691.3081099164629,2
1,2.83,601.581740016627,1
1,22.63,757.0049339774414,2
1,4,606.1521972496848,2
1,2,698.4829427046861,1
1,2.83,519.9750143792699,0
1,5.66,2706.9715686156997,2
0,5.66,835.4915289528435,1
1,8,542.3562601445155,0
1,16,643.1049754492051,2
1,11.31,738.8040011128396,0
1,4,652.8660931126069,0
1,1,691.2606645428241,1
1,1,888.2497606400648,2
1,16,645.952039212716,2
1,8,904.3910864138525,2
1,16,788.1997552640314,2
1,22.63,564.9303594063895,0
1,11.31,626.3605131607619,1
1,2,663.603766275628,0
1,1.41,1210.2314753974497,0
1,28,753.917912677025,2
1,2.83,647.1975656086215,1
1,16,669.9109289911576,0
1,28,692.4068628541136,0
1,5.66,588.2359366278251,1
1,2,873.9700684545824,2
1,1,954.1606008842791,0
1,5.66,544.369104528414,2
1,11.31,4430.666436835963,1
1,8,695.2880599783384,1
1,4,512.6121067623899,0
1,8,697.2066962835015,1
1,4,505.8417543177711,1
1,1.41,651.4659425838545,2
1,2.83,729.5890172490545,0
1,1,555.1378390509853,0
1,5.66,689.8028286314002,2
1,22.63,684.5555068202884,1
1,1,628.863853963594,2
1,16,645.055355779732,0
1,2.83,691.2241418440317,0
1,11.31,629.6110332677927,1
1,2,643.9374881601907,0
1,11.31,472.72795539447543,1
1,28,722.4858645213317,0
1,28,631.9495099296546,1
1,2.83,600.6130351897809,2
1,1.41,623.6817268754749,2
1,1.41,551.7671695079116,0
1,11.31,551.0926942652077,1
1,28,686.4761911265305,0
1,11.31,575.489856418244,1
1,22.63,622.4143551271482,1
1,1.41,555.0784470005965,2
1,5.66,960.8142172282896,2
1,16,686.7769060499995,2
1,1.41,971.0521779652481,2
1,1,625.7143686098061,1
1,28,1041.6502115413095,2
1,2.83,752.5911488774,0
1,1,753.9554593759021,2
1,1.41,1200.6113285215179,0
1,1.41,640.6798000462004,1
1,22.63,691.5709368076932,1
1,22.63,708.8966902592801,1
1,11.31,531.330160068137,0
1,1.41,598.1987824634416,1
1,1,719.3114618130494,2
1,22.63,493.08987143740524,1
1,8,467.7083031119764,1
1,16,579.7800787458982,1
1,2.83,507.2753555414238,2
1,4,561.9133114996657,2
1,5.66,527.1703271855586,1
1,2.83,915.1628929394064,1
1,2.83,643.4818077714226,0
1,2.83,528.8490059510877,0
1,2.83,527.9335491695747,0
1,8,505.5721007547618,0
1,1,776.4595852459024,2
1,1,657.8499053657652,2
1,4,810.5652996828212,1
1,11.31,742.1282492832688,1
1,1,592.4005481811037,2
1,11.31,517.7560044849088,0
1,22.63,801.8288655603101,2
1,2,470.9844232402247,0
1,16,462.18996240168053,1
1,4,673.9393484285756,2
1,1,706.5756216115915,2
1,2.83,458.23390569239564,1
1,1.41,498.06651568360394,0
1,5.66,520.6423216150142,2
1,2,520.7713457248246,1
1,8,737.0485222818388,2
1,4,616.6761955637412,2
1,2,583.9149942739823,2
1,4,491.30162457731785,1
1,11.31,609.0197410303517,2
1,1,688.6132809495393,0
1,11.31,647.06581082919,0
1,16,949.6041383281408,0
1,11.31,578.7567605384538,2
1,22.63,654.9840682528156,1
1,5.66,580.9976157843266,0
1,1.41,601.8111162120476,0
1,5.66,528.9268300175536,1
1,1,1439.8152019757617,1
1,2,1099.1734606277532,0
1,2.83,578.6823498083322,2
1,5.66,624.6565757073768,2
1,2.83,607.9629721289166,0
1,1.41,473.95300177322497,1
1,4,555.1979137680974,1
1,28,799.1145805772248,0
1,1,675.6330458738375,0
1,5.66,763.2274459547261,2
1,5.66,592.5992043521546,1
1,11.31,543.0225433792657,1
1,11.31,455.8954290305337,1
1,1,582.4749077119122,1
1,16,606.9393125881106,1
1,22.63,598.0745370234217,0
1,4,802.9071384798954,0
1,5.66,619.5246246606985,0
1,1.41,721.1171166864005,1
1,16,757.9033240781428,0
1,1,685.4102062170568,2
1,28,691.3449739477073,2
1,5.66,625.3938563359043,0
1,1,611.9890022300751,1
1,4,666.5822434833899,1
1,2,691.5688888047953,0
1,2,588.196000593598,0
1,2,553.5915977316108,2
1,22.63,570.4097880834524,2
1,16,607.5810198026375,2
1,28,580.1668097419679,0
1,2,503.1312240053012,0
