Correct Response,Height (deg),Reaction Time (ms),Target
0,28,607.1250999821723,1
1,8,539.5917000724376,1
0,2.83,588.7454000777007,2
1,4,558.2916003195942,0
1,2,663.8812001338601,0
1,2.83,668.3579001119733,2
0,8,526.2835000185669,0
1,4,618.7751002153755,1
1,8,609.1087001851201,0
1,1,775.8151001772285,2
1,28,609.0577000296116,2
1,1.41,749.6754003232718,1
1,28,555.1488997890056,2
0,1,1078.27780000031,0
1,1.41,868.6071999846399,1
1,1.41,804.8456001570821,0
1,8,611.6472000731528,2
1,2.83,683.8746999865771,1
1,2.83,578.7023000894487,1
1,16,1179.3895999445022,1
1,8,656.6136002084613,2
0,1.41,713.0751998639107,1
1,11.31,720.2792998878658,0
1,11.31,478.52899995729325,2
1,1,815.0641999682784,1
1,16,653.1721998481453,0
1,28,563.0862999251485,2
1,2,893.5352999261022,2
1,21.17,495.18479989007113,0
1,1,608.9580997368694,2
1,28,556.8566999873519,0
1,2,620.97689998433,1
1,21.17,653.3856999604404,0
1,1,633.7038998036087,2
0,28,577.2517004525662,1
1,8,602.7164997076989,2
1,4,603.2595003499091,2
1,1.41,506.26490009114144,2
1,1.41,762.6139002396167,1
1,21.17,892.7896998366714,1
1,11.31,412.29180037140844,0
1,28,572.3701997204125,1
1,2.83,694.6189000746608,1
1,11.31,527.3089997945726,1
1,21.17,871.467400110364,0
1,5.66,614.175499650687,1
1,8,613.593099872619,0
1,16,758.0508000692726,2
1,4,528.0057999780774,2
1,5.66,526.1235998487473,2
1,2,779.0978003768623,1
1,21.17,508.035999956578,0
1,11.31,525.1553000426293,0
1,4,577.5480002640188,0
1,5.66,413.50149992018936,0
1,1,883.169200039506,1
1,1.41,597.5019999323786,1
0,8,542.3512000134588,0
1,1,569.1818997739256,2
1,2,876.4306998355687,0
1,28,654.4949000245333,1
1,2.83,614.4497997602821,2
1,5.66,792.4437003685534,0
1,2,690.5145000210405,1
1,8,566.3393998993934,0
1,21.17,908.0745999245346,0
1,1.41,600.1354001937807,2
0,2,1045.0248003481329,1
1,1,792.2182001648844,1
1,21.17,842.9767999342084,1
0,28,-99.04,0
1,1.41,702.1465997686983,2
1,28,593.1674002213776,1
0,5.66,-99.04,0
0,1,-99.04,0
1,21.17,507.161299931854,1
1,1,643.826300046444,1
1,11.31,691.9484001128376,0
1,2,620.1599000497163,1
1,5.66,554.1109002670646,2
1,8,511.95590035155413,2
1,16,488.01889992415903,2
1,4,592.9097000053525,1
1,21.17,555.6731002880633,1
1,1,660.8780000834167,2
1,21.17,522.79429999277,0
1,28,376.9272000072896,0
1,11.31,487.8447002275288,1
1,21.17,505.8521002075076,2
1,1,530.0179000487924,2
1,28,534.15669989869,0
1,2,642.2286003372074,2
1,1.41,706.2051997064054,1
1,1,524.7346002152563,2
1,8,499.74089977428315,1
1,28,490.88989966645835,2
1,8,472.32239996179936,1
0,1,505.98920020371673,0
1,16,614.7495999476314,0
1,2,625.5146998456121,2
1,28,541.3698002240062,0
1,2.83,557.2540999865532,1
1,16,550.1689000530541,2
1,2.83,714.3465999989212,0
1,1,638.4258999033273,1
1,2,787.6338001815975,2
1,16,550.1337002506853,2
1,1.41,663.0349999769032,1
1,2.83,795.2457999354601,0
0,5.66,535.6009996040166,0
1,5.66,564.0609997799993,1
1,2,532.3534000208974,2
1,4,584.1256997092069,0
1,28,537.457300118208,4
1,1,626.0245998865366,4
1,1.41,543.1266000969708,3
1,16,466.8980001015961,4
1,16,503.0632999269664,4
1,11.31,429.7998000411689,3
1,5.66,466.48359974011777,3
1,28,662.1514002336562,5
1,5.66,466.882699868679,3
1,5.66,565.6410001693666,5
0,11.31,467.18750032693146,5
1,21.17,612.179800170511,5
1,5.66,580.5623999340833,5
1,16,477.08179964780805,3
1,1.41,591.6244999980927,3
1,2.83,393.8933999752998,3
1,28,484.2370001143217,3
1,2.83,608.2558000935614,4
1,21.17,528.300900246054,4
1,8,425.90990034028886,4
1,16,629.7156999363006,5
1,5.66,763.4106001360715,5
1,4,496.80309998899696,3
1,8,586.0446000015736,5
1,2,563.1738000093401,3
1,1.41,640.32349991709,5
1,11.31,466.52220026686786,3
0,21.17,516.5267002312839,5
1,11.31,516.2599000623823,4
1,1.41,648.6563996887207,4
1,4,406.1423002286255,3
1,8,555.9209997309745,4
1,21.17,639.139299980402,5
1,5.66,495.5940002119541,4
1,2.83,495.17649994328616,3
1,16,584.4437002679706,4
1,28,600.3627001783252,5
1,11.31,601.5799001334608,5
1,5.66,526.6914998656512,4
1,2,459.2599000325799,4
1,8,459.20499996379016,4
1,21.17,463.8249997524917,3
1,1.41,569.0207004091144,4
1,2,543.4892999483645,3
1,8,391.7091998746991,3
1,1,429.8540002210438,3
1,2.83,559.9179000137747,4
1,21.17,548.1545000812412,5
1,28,429.6999999797344,3
1,5.66,596.3421000643075,5
1,21.17,585.0409001587332,5
1,2,605.3246001257003,5
1,2.83,471.9144001147151,3
1,8,776.9962998582423,4
1,11.31,478.09499991223214,4
1,2,664.4813998146356,5
1,4,593.540099683255,4
1,4,620.7796998797357,5
1,11.31,854.683699785769,4
1,1.41,680.2446998199821,4
1,2.83,506.6019997476041,4
1,2,492.3377002133429,3
1,4,463.7320998600125,3
1,8,353.7826000256836,3
1,2.83,483.7994996933639,3
1,5.66,602.3252003370226,5
1,11.31,1070.7515997356177,4
1,4,678.5593999093771,5
1,16,666.724500014484,5
1,5.66,561.4809996923805,4
1,2.83,438.1779001569748,4
1,4,653.3024997925759,5
1,8,582.7176000466943,4
1,28,572.4926998382807,4
1,4,465.72780027151106,4
1,11.31,591.1185003361106,5
1,5.66,900.7352001509071,4
1,1,895.8455000548065,5
1,16,502.83109978869555,4
1,1,718.1042998573184,5
1,16,480.5130001632869,4
0,2,519.4113997286559,5
1,2.83,630.8969997344911,5
1,1.41,609.2561001433432,3
1,16,626.6656003436447,4
1,11.31,520.7893999768794,5
1,4,732.8480000151694,4
1,4,669.8367001964152,5
1,16,480.73199973538516,3
1,11.31,350.8808000488579,3
1,5.66,661.9675003467501,4
1,28,571.5149000762403,4
1,4,607.3410997642577,5
1,11.31,608.7568996018172,5
1,16,495.59920025154946,3
1,1,847.8316001138091,4
1,2,719.3365998110175,4
1,28,414.70159986153243,4
1,1.41,707.128899871409,5
1,1,543.5146002574265,3
1,11.31,470.7689003562927,4
1,2.83,516.019900097549,4
1,21.17,642.276500119865,5
