Correct Response,Height (deg),Reaction Time (ms),Target
1,11.31,428.47719998195765,0
1,2.83,947.4031000873447,2
1,16,578.8401999753341,2
1,5.66,924.3051999956742,0
1,1.41,1153.2075000005216,2
1,11.31,437.18080001514403,2
1,21.17,391.00369997419415,1
1,28,543.1210000543297,1
1,4,935.0075999983028,0
1,8,744.0788999675215,1
1,28,754.7636999525503,0
1,1,673.2538999067992,1
1,11.31,749.4327999893949,1
1,28,598.1334000835568,1
1,1.41,1000.8727000104636,0
1,1,807.5933998925984,2
0,21.17,1105.419400032647,0
1,2,549.8968000766263,0
1,16,937.5148001136631,2
1,2.83,578.4997999444977,2
1,21.17,459.7398999622464,2
1,11.31,424.15209999404846,2
1,8,605.1290000332892,0
1,16,507.13640009149907,1
0,2,614.5510000652075,2
1,8,394.26650002229957,2
0,2,835.8492000271008,1
1,28,416.57969995964316,1
1,16,723.8530999757722,0
1,4,668.9300000444427,2
1,1,937.0139000248537,1
1,5.66,592.0302999448404,2
1,1.41,966.2695999732614,0
1,21.17,506.5831000693515,1
1,4,1057.8123000460118,0
1,11.31,1180.366899935566,0
1,1,925.1846999405325,0
1,4,544.2072000597045,0
1,5.66,497.78330000214277,2
1,16,759.3005000390485,0
1,5.66,612.21050005503,0
1,1,894.6978999311477,1
0,8,1149.3641000716389,1
1,1,824.9115999797732,0
1,1.41,831.9771999968589,3
1,8,553.0306999581308,3
1,21.17,608.7518000286445,3
1,2.83,820.2099000346288,3
0,2,567.3764999965579,5
1,4,740.5105000371486,4
1,11.31,992.1467999238894,5
0,8,723.9223000370339,4
1,1,901.620700025037,3
1,11.31,1097.887099954337,3
1,16,527.5121999448538,3
1,1,910.3427000819147,4
1,1,950.4658000087738,3
0,4,894.5746000400186,3
0,2,-99.04,3
0,4,973.4360000593961,4
1,16,665.0549999913574,5
1,2,893.2372999852896,3
0,16,423.8997000512108,3
1,1.41,886.1782000176981,4
1,11.31,842.833399890028,4
1,5.66,514.2413000585884,4
0,16,620.1991999997199,4
1,1.41,659.4553999612481,4
0,1.41,767.8645000569895,5
1,1.41,761.6244000392408,4
1,2.83,706.7901000855863,5
1,21.17,1105.775199947916,4
1,28,712.6712000472844,5
1,8,625.6237999778614,3
1,8,815.4639001014084,4
1,2.83,592.5973999556527,4
1,16,475.5245000133663,5
1,21.17,960.0969000030682,4
1,8,803.0509999962896,4
1,1,1075.1423999909684,3
1,5.66,733.7254000604526,4
1,2.83,724.4355999874324,4
1,21.17,869.0937999645621,4
0,2,-99.04,3
1,2,898.8394000344351,5
1,28,651.6086000493169,4
1,1.41,938.3190000672266,4
1,21.17,471.695799963586,5
1,2,1077.4635999706015,5
1,11.31,864.5564999906719,3
0,4,894.9606999531761,3
1,2,760.5899999626354,5
0,1.41,1061.8383999690786,3
1,5.66,1079.5366000393778,3
1,4,653.0542999981344,5
1,28,394.3236999921873,7
1,2.83,616.2343999613449,6
1,11.31,484.07759994830934,7
1,28,689.8113000216335,6
1,2,972.0308000697196,8
1,21.17,506.93499995492397,7
1,5.66,492.88939999047665,8
1,1.41,919.0385999400542,7
1,2,907.2625000272319,6
1,4,607.9524999959767,8
1,2,445.38520008888094,8
1,28,536.8134999890253,7
1,5.66,593.3408000283316,8
1,2,870.2695999537036,7
1,11.31,565.3454000139982,6
1,2,594.9440000122786,7
1,2.83,623.8755000532046,8
0,8,542.6992999865115,7
0,4,1052.7568999687583,7
1,8,568.5589999203012,7
1,21.17,572.5538999550417,8
1,28,877.8396999705956,6
1,2.83,557.6382000008971,6
1,8,567.4240000090003,6
1,1.41,926.0032998873294,8
1,2,600.872799987942,6
1,1,588.0136000933499,8
1,5.66,837.2470000768453,8
1,4,623.6272000251711,7
0,1.41,894.8084999584034,6
1,16,720.9582000514865,8
0,2.83,770.3294999674335,8
1,16,586.7709999448061,6
1,28,537.8857000042126,7
1,8,704.7558999630064,7
0,2.83,-99.04,7
1,21.17,530.115799979344,8
1,5.66,386.3516000574827,8
1,16,611.1540999273211,6
1,4,484.5820999481156,6
1,4,572.489500046745,8
1,2.83,796.686399961859,6
1,8,655.2691999832541,6
1,1.41,749.3853999777139,8
0,4,753.7304000007362,7
1,4,356.0458000293374,7
