Correct Response,Height,RT,Face
1,16,964.9662233541676,2
1,8,940.5458671863016,2
1,22.63,778.5316315357704,2
1,11.31,732.6414050376115,0
1,5.66,871.8405754607375,2
1,4,786.8710889588328,1
1,8,903.9993009491809,1
1,11.31,759.4026256047073,2
1,1.41,2732.0334902669856,0
1,2.83,3271.4935076683105,2
1,5.66,1131.5024437762986,0
1,28,891.6870641814967,1
1,11.31,1013.2242795907587,2
1,2,2481.2148874607374,0
1,28,816.4947313489392,2
1,16,781.5640373873975,0
1,2.83,2150.1962496331544,0
1,8,1137.2177300854673,1
1,5.66,796.9926480200229,0
1,16,897.1852624526946,2
0,1,1253.5421019383648,0
1,5.66,997.2078928567498,0
1,11.31,851.4674093175927,1
1,2.83,1684.4895034855654,2
1,2.83,1222.0008485546714,2
1,11.31,842.1708530640899,2
1,28,880.8213983265887,0
0,1,1385.433324447149,0
0,1.41,3484.674301384075,2
1,11.31,832.3227020500781,0
1,16,797.9606695189432,1
1,22.63,1063.5026881709564,0
1,16,1008.6896654829616,2
1,1,1546.2044238856834,0
1,11.31,996.9778341510391,0
1,11.31,889.477954470749,2
1,2.83,781.6032907276167,1
1,11.31,712.5406229397413,2
1,4,938.897909572006,1
1,4,751.3379415622694,0
1,4,766.9829575652329,2
1,2,2691.628832704737,2
1,5.66,716.0884422119125,1
1,8,909.5295845600049,0
1,22.63,752.0096856760574,1
1,8,870.778687280108,0
1,22.63,722.7690193531089,1
0,1,3099.585040996317,1
1,1.41,1611.2311656497695,1
1,8,675.1642752278713,1
0,1.41,1228.1605509397195,2
1,11.31,747.7430182816533,0
0,2,2415.5321029174956,2
1,5.66,879.1468167082712,2
1,16,797.9285841802266,0
1,8,767.5024669879349,0
1,4,1415.4611055719215,1
1,1.41,1228.6223750179488,1
1,16,686.7136318660414,2
1,28,1625.1166080201074,2
1,28,788.4040172211826,2
1,4,802.4174596121156,0
0,2,815.4778991747662,1
1,8,884.3262095915634,0
1,5.66,833.1838861968208,0
1,22.63,716.3280582535663,1
1,16,738.1733953152434,2
1,16,901.1795458009146,0
1,11.31,797.5514107820345,0
1,28,893.7121951939844,1
1,22.63,793.77728747113,0
1,11.31,997.5321595793503,2
1,5.66,735.8871442575037,1
1,1,2038.077787831753,2
1,4,1107.4657463404947,0
1,8,738.3560086791476,2
1,2,1325.803746271049,0
0,22.63,1037.8344171240315,2
1,2,1847.9520167174996,0
1,2.83,1179.9055667033826,0
1,5.66,788.3828545509459,0
1,1.41,2237.7499712420104,1
1,4,789.7174681120305,2
1,8,796.1925625504591,0
1,11.31,842.2131784036537,2
1,1,1937.1670079435717,1
0,1.41,1319.0719691219783,2
1,8,855.5183540083817,1
1,8,785.0101393087243,2
1,4,946.148513476146,1
1,1,1338.8092311561195,0
0,1,1393.7912138735555,0
1,2.83,2690.358731154447,0
1,22.63,1111.5446803705709,0
1,2.83,831.6185312633024,2
0,1,2476.495270655505,2
1,8,812.8093547202297,0
0,1.41,1902.48582869026,2
1,22.63,900.3739989966562,0
1,2.83,2074.1679913244297,1
0,1,3088.1435457094994,2
1,2.83,997.2863995371881,0
1,8,757.4420066039238,2
1,22.63,770.4536354904121,1
1,11.31,733.2247438034756,1
1,2,1834.0754490154723,1
1,28,710.9967720098211,2
1,4,803.2936624285867,0
1,2,1199.0523219710667,2
1,1.41,3095.8709923625065,1
1,8,855.6111966909157,2
1,11.31,817.3511368277104,2
1,2,1188.3259201413239,0
1,2,2084.6540944476146,2
1,1,1592.8025758385047,2
1,2,2092.044303709372,1
1,16,822.4977617064724,0
1,1,1509.3451962611653,0
1,8,777.3844100074712,2
1,1,967.3681864305763,1
1,16,743.0909854874699,1
1,5.66,1025.787055067667,0
1,2.83,1240.0836676415565,1
1,2.83,1059.793076871756,0
1,8,822.8141777599376,2
1,22.63,941.0554779406084,2
1,1.41,2435.406580975723,0
1,1.41,2519.284141958451,2
1,5.66,1015.9798640606823,0
1,1.41,2370.0163191488173,1
1,16,718.7327519968676,1
1,4,1139.7408665161493,1
1,2.83,939.8195097292046,0
1,22.63,771.9278544091139,0
1,8,832.0550966700466,1
1,22.63,706.6082485944207,2
0,2,1217.5461064616684,2
1,28,1130.183872885027,1
1,1.41,1370.3207885346274,0
0,1,2094.3943841102737,1
1,4,981.5888181919945,0
1,2,2031.278768004995,0
1,22.63,745.9718393129151,2
1,8,840.124218048004,2
1,4,1015.7023600131652,2
1,16,701.0533889797443,0
1,4,736.5165630317279,2
1,1.41,1841.5646449602718,2
1,16,663.1882518513521,1
1,28,712.1562815409561,0
1,1.41,1050.479112614994,2
1,11.31,617.0375879746643,0
1,8,749.2544425394954,2
1,1.41,750.7805441337041,0
1,4,1033.631237739428,2
1,8,841.9947250340556,0
1,28,783.5468430585024,0
1,2.83,815.3287364830248,1
1,2,729.8086792206959,0
1,28,669.9514316715067,2
1,22.63,749.9398399895654,2
1,1,1700.886476951382,2
1,1,892.7120883563475,1
1,5.66,706.0689418358379,2
1,1,915.6206789330099,1
