Correct Response,Height,RT,Face
1,2.83,840.9394000050239,1
1,11.31,876.5594999863393,0
1,1,942.9748999978043,0
1,21.17,670.8010999577679,2
1,1,906.7836999752186,2
0,1.41,682.2642999909446,1
1,1.41,1082.7267999852636,2
1,4,691.9419999908283,1
1,11.31,550.6408000223897,0
0,2.83,874.1271000330895,0
1,2.83,857.4140000132471,1
1,2,642.0830000283755,0
1,1,914.2889000217989,0
1,11.31,706.1135999833792,1
1,28,1004.2452000056952,1
1,11.31,488.5270999952778,0
1,11.31,571.9079999694228,0
1,28,672.31430001311,2
1,21.17,523.1083999828994,1
1,4,897.473700039424,1
1,4,670.222300032489,2
1,5.66,735.9581999921799,0
1,4,595.6206000269018,1
1,16,518.6995000553876,2
1,4,691.2693999915942,2
1,5.66,572.2652000117674,2
1,1,987.0454000051692,1
1,1,1032.8801000000537,2
1,11.31,526.2018000216782,0
1,21.17,520.7389999854937,0
1,5.66,522.9956999978609,0
0,1.41,527.4307000076957,0
1,1.41,958.8117999815009,2
1,2.83,712.4646999732219,0
1,2,651.0993999986537,2
1,2,743.5329999866523,1
1,2,737.7996000436693,2
1,8,607.0197999802045,0
1,5.66,559.935600017067,1
1,16,515.5106999886781,0
1,16,689.0094000123069,1
1,1.41,702.6345999770425,2
1,11.31,519.9218999919109,2
1,28,477.09370001439004,1
1,8,537.4538999608345,2
0,21.17,509.0099999656528,1
1,21.17,736.6907999826223,1
1,28,439.4930000275932,1
1,11.31,535.6100000067241,0
0,21.17,534.0054000121169,2
1,21.17,591.1696999542042,0
1,28,523.1087999859452,1
1,4,559.6593000086583,1
0,1,928.7980000231042,1
0,1,828.1690000298992,0
0,1,743.5634999860637,0
1,1,1059.6082999695652,1
1,1,843.2238999962434,1
1,1.41,1075.6478999833205,2
1,1.41,925.3823999756574,2
0,28,-91.86,0
1,28,544.3781000071764,0
1,2.83,823.6857000015303,0
1,4,716.4906000111811,2
1,21.17,1155.602600003928,0
1,1,991.6998999983631,1
0,1,591.6561999915726,0
0,1,1082.3225999924914,0
0,1,704.3481000441685,1
0,1,-91.86,1
1,1,1164.8700000227989,2
1,8,741.1434000100568,2
1,2.83,676.8085000080615,0
1,2.83,911.0637000271678,2
1,8,515.4842999622784,0
1,16,506.1564999491535,2
1,2.83,821.3238000030257,0
0,5.66,524.5614999880642,1
1,5.66,521.2622000112757,2
1,4,573.999000000637,0
0,28,815.0163000541367,1
0,28,756.2316999978945,0
1,28,543.9242999859713,2
1,2,755.83269998651,0
1,4,776.3903000018187,0
1,11.31,507.97359999023377,0
