Correct Response,Height,RT,Face
1,2.83,907.6286989020446,2
1,2,712.092110863523,2
1,2,875.6723841142957,1
1,4,686.6422931871057,1
1,5.66,578.0337626511027,1
1,1.41,750.219392037252,2
1,2,685.629557012362,0
1,2.83,676.6002648055292,1
1,2,672.1144613729848,1
1,1.41,759.7132389910257,0
1,2.83,720.8469710240024,1
1,22.63,1060.290058288956,2
0,1.41,715.8921755108167,2
1,11.31,725.9225985562807,1
1,8,648.0340732650802,2
0,8,743.5736309034837,1
1,5.66,859.4535866814113,2
1,4,562.4655466617696,0
0,2.83,528.6342875533592,2
1,1,1124.8385919734574,2
1,5.66,657.5562508896837,0
1,1,976.3449132951791,1
1,1.41,604.5594631796121,2
1,16,692.2261661402445,0
1,5.66,568.2671903177834,0
0,2,760.4556391179358,0
1,22.63,612.6668138949753,1
1,28,732.3130423155817,1
0,1,570.625804053634,1
1,28,700.2601301774121,1
1,11.31,700.5048662194895,1
1,16,633.5666574614152,1
1,4,566.073099276764,0
1,8,640.8800667086325,1
1,2.83,526.0183084410528,2
1,1,903.895194265715,0
1,2,519.9599820734875,1
1,8,691.062219275409,1
1,28,794.7415543021634,2
1,22.63,648.1904039574147,2
1,1.41,875.7194881236501,0
1,2,903.1729328089568,2
1,22.63,960.5148945956898,1
1,2.83,593.3944479384081,2
1,8,647.4609745000635,1
0,11.31,660.2838460221392,1
1,8,632.7116173160903,1
1,5.66,774.7452202238492,1
1,16,640.2161732639797,1
1,2.83,538.0380224924011,1
1,22.63,657.5951628965413,1
1,22.63,483.5420985236851,0
1,1.41,670.8907811644167,0
1,8,810.0360209118662,0
0,1,596.6149284886342,2
0,1,560.3120742944157,2
0,16,613.6368833940651,2
1,22.63,722.168272583076,1
1,11.31,510.104321723702,1
1,2.83,651.7535832317662,2
1,16,471.82105119100015,1
1,2,521.3324836422544,1
0,2.83,452.5131865611911,2
1,2,658.764571095162,2
0,28,653.4421595206368,0
0,2.83,704.451362893451,0
1,4,745.8120952851459,2
0,1,834.8994278221653,2
1,5.66,660.7019794264488,0
1,2.83,722.9915687239554,1
1,2.83,693.9232757631544,0
1,22.63,760.6891111572622,2
1,4,716.5335409554245,2
1,22.63,600.6938625178009,2
1,2,837.0300308524747,1
1,5.66,710.7144892961514,1
0,1,618.0680734833004,0
1,1.41,748.4495784028695,0
0,22.63,661.0934888267366,1
1,22.63,669.1803595385863,2
1,2.83,667.0852551815187,1
1,4,719.0815947233204,1
1,4,746.6828367669223,1
1,16,771.8452517274272,0
0,1,604.2420231242431,0
1,2.83,652.8932954279298,0
1,22.63,738.9246701095544,2
0,11.31,545.0862156940275,0
1,2,695.6473507252667,2
1,28,568.617057044321,1
1,28,590.1528047197644,0
0,1.41,630.663616966558,1
1,1,852.201958776277,2
1,1,992.0923293175292,1
1,8,520.1603447749221,0
1,28,510.46135645265167,0
1,2,628.9142833356891,1
0,1,518.3925791388901,0
0,28,750.8791894833848,0
1,16,689.7228270463529,0
1,4,945.1941453135078,1
1,28,768.707715193159,1
1,22.63,601.4096386388701,1
0,28,640.8237467003346,0
1,11.31,852.4398681511229,2
1,8,718.2750239189772,1
0,1.41,952.7266905988654,1
0,1,1292.0776178489177,0
1,5.66,737.0927337979083,1
1,1.41,735.8495975840924,1
1,2,683.2037006006431,1
0,1,681.088116238243,2
1,22.63,660.1036219908565,1
1,28,698.7773779255804,1
1,1.41,718.605434642086,1
1,8,671.4324772583495,0
1,22.63,682.098121746094,0
1,2.83,658.9977018029458,0
1,5.66,790.7459056204971,0
1,22.63,735.1857041376206,0
1,11.31,594.6454348195402,1
0,28,579.4345948906994,2
1,16,619.0354123154975,1
1,5.66,635.3958631079877,0
1,1,666.4019057316182,2
1,1.41,649.1290707854205,0
1,1,766.1651227590482,0
1,5.66,652.0099246099562,1
1,1.41,741.0620998070954,0
1,1.41,644.3521099699865,1
1,5.66,628.2111365471792,1
1,2,652.2314499816275,0
1,2,727.7320068660629,0
1,4,805.9362655476434,2
1,16,497.47020756876736,2
1,8,641.864813545908,0
1,28,1050.683912650129,0
0,1,924.0270376994886,1
1,2,734.7167120587983,2
1,4,572.690871073064,1
1,2.83,567.73641689324,0
1,11.31,627.6161924452026,1
1,2,890.6255173333193,0
1,4,908.4161550363206,2
1,22.63,664.5713347534183,0
1,8,497.5012689064897,2
1,11.31,727.237756114846,1
1,8,605.4462473312014,1
1,2.83,665.0195054953656,1
0,2.83,609.3562213300174,0
1,16,636.0546365522168,2
1,8,586.6107881138305,1
1,8,614.535272879948,1
1,2,663.5732759168604,0
1,5.66,562.7478293754393,1
1,11.31,659.7100645903993,2
0,16,512.5086741336418,2
0,28,848.9562195554754,0
1,2,684.2447674443974,1
1,28,718.7327519968676,1
0,2.83,733.7019278857042,0
1,8,782.8269709352753,1
1,11.31,1333.8155236378952,1
1,1,856.9881355924736,2
1,4,690.569675191,1
1,16,607.2573623059725,2
1,4,754.143019374169,1
1,5.66,608.9367225922615,1
1,28,692.0623261121364,2
1,8,733.1551117913477,1
1,8,871.5828687509202,1
1,22.63,701.401207705203,2
1,1,762.333314103671,0
1,16,684.0853647499898,0
1,16,637.6537834912597,0
1,2.83,816.2486299734155,0
0,2.83,727.7859375426488,1
1,8,585.6581266198191,2
0,1.41,598.7762515251234,1
0,1,624.6073385991622,0
1,16,621.3615993783606,2
1,22.63,625.8521814797859,1
1,11.31,526.1831724692456,2
