Correct Response,Height,RT,Face
1,4,700.5443239877422,2
1,1.41,562.6941972341228,1
1,4,587.9634322955098,1
1,8,498.3733768331149,1
1,2,803.8546070929442,2
1,1.41,623.6064647137027,0
1,2.83,739.2535521685204,1
0,5.66,460.32394564736023,1
1,5.66,726.6218359691266,0
1,1.41,844.8033221275182,0
1,5.66,706.0967904781137,2
1,2.83,641.0584877785368,2
1,5.66,670.1622595437584,2
1,1.41,817.0662483280466,0
1,22.63,788.8489187762389,1
1,2,711.9482648158737,1
1,1.41,740.9888899464931,1
1,1.41,733.9355815583986,1
1,1.41,661.4418800081694,1
1,1.41,1034.2974971063086,1
1,2.83,806.7764189308946,0
1,11.31,701.1877369923241,1
1,28,970.8289856025658,1
1,1.41,818.3595596665327,0
1,2,664.6626996925988,1
1,11.31,701.7703926940158,1
1,8,756.805927181631,1
1,22.63,624.882709393205,1
1,16,608.2051712655812,2
1,1.41,723.3644936377459,1
1,2.83,624.5383042369212,1
1,4,610.6296606903925,2
0,22.63,570.0785987864947,0
1,16,669.8076143920844,2
1,2.83,852.6096114637767,2
1,28,770.4715415184182,0
1,2,741.0892418956792,1
1,2,1026.2693412169028,0
1,5.66,613.2432486865582,0
1,16,627.0334496257419,2
1,11.31,743.1993634818355,0
1,28,982.8814594311552,0
1,4,759.8260429695074,2
1,16,682.6932824606047,2
0,1,2026.9154848856488,1
0,1,997.3140493757455,0
1,1,610.3159755184606,2
1,1.41,958.8741330562698,2
1,2.83,685.6922355927964,1
1,1,1014.2008247294143,1
1,8,707.8973228899486,1
1,28,683.2380501818989,2
1,2.83,625.230527882195,2
1,11.31,718.177594959343,0
1,5.66,848.8208134031083,2
1,16,647.2420792788398,2
1,4,717.807589815493,1
1,2.83,669.4324892505392,2
1,1.41,1126.578281858201,0
1,16,686.6397764406429,1
1,11.31,547.2007438338551,2
1,2.83,922.092413221435,0
1,5.66,722.9088138710722,0
1,2,788.1420178046028,1
1,5.66,655.2821818286247,2
1,8,609.9572343682667,2
1,16,712.3414806146684,1
1,11.31,693.9258740439982,1
1,2,2314.5187083000565,2
1,22.63,654.6541288171284,0
1,22.63,878.1191450698316,2
1,16,763.586851709988,1
1,2.83,734.4165199792769,1
1,8,729.1490666757454,1
1,22.63,683.686561952527,1
1,8,917.7035514685485,2
1,4,627.5932360058505,1
1,1,1411.52081330074,1
1,2.83,748.7374939792062,0
1,4,790.9078403881722,2
1,2,625.7138556347854,0
1,1,755.65119710609,2
1,22.63,693.454834284239,2
1,1,926.5905015854514,0
1,8,676.3141070605343,2
1,1,726.857697181913,1
1,1.41,824.1086340567563,0
1,2.83,710.0873164354198,0
1,2,1222.090808955727,2
1,1,783.0500097452386,0
1,22.63,687.5961919504334,1
1,22.63,651.3029198658842,0
1,11.31,689.1359458295483,1
1,2,988.0390034568336,1
1,28,930.3042063511384,1
1,5.66,709.0670716243039,2
0,28,689.0782605260029,2
1,22.63,698.6123783108269,1
1,28,702.6162162601395,2
1,1.41,1094.6202822206033,2
1,5.66,726.2688974833509,2
1,1,1054.3364841796574,1
1,4,712.3213419581589,2
1,11.31,658.9259132970255,1
1,1.41,945.2607426937902,2
1,5.66,648.8183558049059,2
1,2,862.0942359411856,2
1,1,894.1355208689856,2
1,1.41,1365.4353755637203,1
1,1.41,766.1468504002187,0
1,2.83,678.8665964204483,1
1,5.66,603.523445663086,0
1,5.66,668.9757854846903,1
1,16,605.1891514771341,0
1,8,645.539850816931,0
0,1.41,3435.4114037359977,0
1,11.31,603.4534723648903,1
1,11.31,639.6958858085782,0
1,22.63,835.8201160608587,0
1,4,666.5335467350815,2
1,2,687.5712746304998,2
1,5.66,653.5294360592161,1
1,8,688.9946339015296,1
1,1.41,743.3655927306972,1
1,5.66,660.6731977353775,1
1,2.83,620.5921515893351,2
1,28,663.2297830929019,2
1,1,747.1182094750475,2
1,11.31,624.4823255983647,2
1,5.66,600.4500819026362,0
1,4,650.9004880726934,1
1,2.83,746.253612584951,1
1,16,670.164990208832,0
1,22.63,661.257218769606,2
1,1.41,876.3455779780998,0
1,5.66,691.7710378129414,0
1,2,914.397739828928,0
1,11.31,603.8245015079156,0
1,28,647.307615245154,2
1,1.41,1587.8982376634667,2
1,1.41,788.4423909836187,2
1,8,757.3619588974907,1
1,22.63,767.3957884271658,0
1,4,678.60206322257,0
1,2,690.866504942278,0
1,8,475.2364500118347,0
1,2.83,648.8504411217946,1
1,28,970.1067246387538,1
1,8,940.9654062255868,2
1,28,726.8024012100796,0
1,1.41,793.702334957743,2
1,2,670.035624942102,1
1,28,723.5959175186508,2
1,16,648.7825158237683,1
1,5.66,691.6751231956368,0
1,16,743.3905100506308,0
