Correct Response,Height,RT,Face
1,11.31,659.6332000194676,1
1,1.41,805.8965999957733,2
1,16,586.1082000051252,2
1,8,601.5267000043392,0
1,16,583.6641000209935,1
1,28,801.03329998428,2
1,28,496.47759999834,1
1,1.41,745.3807999704592,1
0,2.83,565.0182000103965,0
1,2.83,572.3693000477366,0
1,4,446.70169997015967,1
1,11.31,493.77310001045464,1
1,1,392.6101000256464,1
1,1,821.6101999719255,2
1,11.31,473.3064000470191,1
1,11.31,604.8556999744475,0
1,28,650.2622000266425,0
1,21.17,569.502300044857,2
1,2,590.3872999920137,0
1,1,621.240100052543,1
1,16,522.4244000132754,1
1,11.31,430.21509998697786,1
1,5.66,469.8291999961808,0
1,1,629.4792999838106,2
1,1,676.4241999921948,0
1,11.31,683.4589000068232,2
1,16,596.4104999879934,2
0,21.17,499.0316999469511,1
1,21.17,648.3117000175267,2
0,8,563.7434999666735,2
1,8,895.045800004024,0
1,4,717.9739999560267,2
1,21.17,605.9701999624818,2
1,4,584.8330999583565,2
1,21.17,556.951699997168,2
1,16,415.79460002003236,2
1,1,480.6066999885812,1
1,21.17,552.8072999882139,1
1,16,612.9253000112809,2
1,1.41,802.7858999998867,0
1,28,642.4981999884918,2
1,8,546.7070000454411,2
1,2.83,515.314800010398,1
1,8,569.113499994725,2
1,28,593.6005000116862,2
1,28,522.8271999953873,1
1,11.31,455.7299999728426,1
0,4,613.5303000196442,0
1,4,532.3842000075243,2
0,2,-91.86,0
1,2,609.4798000271991,0
1,21.17,498.73069998329504,1
0,21.17,457.2057000336796,0
1,21.17,474.64650000665335,0
1,2,511.988900005687,1
1,1,583.9945000338927,2
1,2,634.683299970217,0
1,5.66,506.2274000233598,2
0,1,593.9135000085085,2
1,1,645.4626000345312,0
1,1.41,995.7973999994434,2
1,2.83,696.4783000153117,1
1,4,476.7041999589279,1
1,5.66,506.87890003655104,1
1,2,485.7465999525599,1
1,28,632.1523000228777,1
1,16,408.2914999894425,1
1,2.83,443.655800002031,1
1,4,366.9860000231862,1
1,8,510.8819999591075,0
0,16,479.63550004396586,1
1,16,567.7915999990515,1
1,11.31,483.2930000125058,0
1,11.31,495.4010000078566,2
1,21.17,559.0607999915816,0
1,4,580.2574999838695,2
1,1.41,503.16200002316384,0
1,21.17,590.6819000233523,1
1,2.83,775.7594999716245,2
1,8,480.8906999974139,0
1,28,668.0473000019416,1
1,5.66,504.50699996190144,0
1,2.83,546.3806000047922,0
1,2.83,496.4804000196606,1
1,11.31,530.6531000392139,1
0,11.31,385.7323999841325,0
1,11.31,415.9543000137061,0
1,1.41,665.0119999981113,1
1,1,624.3960000433586,0
0,28,504.8503999573737,0
1,28,613.9116000126675,1
1,1.41,500.61410000534727,0
1,1,668.2051000393554,0
1,21.17,412.320499992799,2
0,1,635.801499986425,1
1,1,691.9762000184134,2
1,5.66,528.0880000068433,2
1,16,464.9059999942407,2
1,5.66,509.0290999946743,0
0,2,900.1847000185959,2
1,2,563.7542999907024,2
1,11.31,430.3629000064544,2
0,1.41,609.2345999645628,1
0,1.41,241.5353999681398,2
1,1.41,535.481500017792,0
1,5.66,550.7265999772213,0
1,2,584.0376000128314,2
1,5.66,486.48320003166793,2
1,2.83,623.4661000057682,0
1,1.41,669.4694000038877,2
1,2.83,516.4995000091009,1
1,4,646.4291000015661,1
1,2,535.01029998051,0
1,16,466.1301000019163,0
1,8,497.8521999878436,2
1,2.83,480.57370002834125,1
1,21.17,710.4039999981038,2
1,2.83,538.9607000256516,0
1,1.41,608.3651000376418,0
1,16,484.29640002768485,2
1,21.17,499.62530004313214,2
1,8,546.0821000019647,0
1,4,486.8150999977812,1
1,4,562.3889000130445,2
1,8,524.8163000073843,0
1,5.66,591.2256000306085,2
1,21.17,585.0295999994129,0
1,4,555.541699970942,1
1,1.41,682.428400018122,2
1,4,551.423799989149,1
1,21.17,573.3920999778062,2
1,16,435.51460000207646,0
1,4,472.10860000677405,1
1,28,504.7612999774143,1
1,8,446.86120002051814,2
1,8,447.83460004009305,0
1,2,430.70940002553164,1
1,5.66,595.4576000081003,0
1,2,672.6680000288039,0
1,16,542.9603999805264,2
1,5.66,360.01400002032517,1
1,2,566.9450000136718,2
1,28,458.90529999496414,0
1,2.83,480.9999000140093,0
0,5.66,386.680200041607,0
1,5.66,493.3090000272356,1
1,11.31,473.4350999792665,1
1,1,742.3473000385426,0
1,2,482.7297000306286,2
1,4,471.39780000770463,1
1,11.31,535.4523000282794,1
1,2,512.0490999984182,1
0,8,495.7376999523118,0
1,8,426.5415000122599,2
1,16,453.9334999722056,1
1,2,617.0503999896906,2
1,28,479.60629999624564,1
1,1,565.4330999682285,1
1,5.66,620.7296000070497,0
1,1.41,490.6057000484876,2
1,8,476.77550003618,1
1,28,462.8675000135414,0
1,28,540.5120999644138,2
1,1.41,599.1439999638684,0
1,1.41,765.5796999902092,2
1,2.83,513.5230999881029,2
