Correct Response,Height (deg),Reaction Time (ms),Target
1,0.71,422.9608999998309,0
1,7.0,369.25849999981074,0
1,7.0,399.10450000017227,0
1,0.25,412.7704000001504,0
1,2.0,488.528599999805,1
1,1.0,391.4463999998734,1
1,0.35,446.29189999970185,2
1,1.0,459.81730000031894,1
1,4.0,513.6956999998947,0
1,5.29,465.70469999998386,1
1,4.0,499.25859999977183,1
1,4.0,417.82229999982155,0
1,2.0,479.1988999999521,1
1,1.41,478.0366999997714,0
1,1.41,522.5365999998903,2
1,2.0,758.1845999997458,0
1,0.35,629.7963999999556,0
1,0.71,507.06669999991936,1
1,1.0,545.9291999999696,2
1,0.25,600.1757999996844,2
1,2.83,401.54089999979624,2
1,2.0,410.4823000001634,2
1,1.41,483.96720000020287,0
1,0.35,481.5616000000009,2
1,2.83,438.63469999988956,0
1,0.25,747.8178000000444,5
1,0.5,429.9423000001443,5
1,5.29,703.6443000001018,4
1,0.71,686.8460999998351,3
1,2.83,687.9491000003472,5
1,0.25,588.8848000003381,4
1,4.0,571.472699999882,3
1,5.29,524.065600000009,4
1,1.41,601.4049000004125,3
1,7.0,650.4951999999466,5
1,7.0,555.656300000388,5
1,7.0,631.543400000206,4
1,0.35,571.4889999998522,5
1,2.83,692.0057999999844,3
0,2.83,506.55029999999533,4
1,4.0,548.5706999997237,3
1,0.5,514.6536000001252,3
1,2.83,503.2494999999617,3
1,0.5,791.9455000000344,4
1,0.71,584.3414999998604,4
1,2.0,586.850000000064,5
0,0.35,734.2949999996708,4
1,1.0,550.5522000002347,3
1,0.35,366.0966999999946,5
1,5.29,519.9248000002772,4
1,0.5,729.5028000002421,3
1,1.41,532.5630000001329,5
