Correct Response,Height (deg),Reaction Time (ms),Target
1,1.41,373.2082999162376,2
1,5.29,371.80470017157495,0
1,4.0,401.33319998532534,1
1,1.0,316.5528000649065,2
1,1.41,319.6032000090927,0
1,1.41,410.67249996960163,0
1,0.35,393.5251000188291,0
1,2.0,310.9087000451982,0
1,0.5,338.1921999938786,0
1,0.25,305.30819989182055,2
1,4.0,342.79630001075566,1
1,1.41,390.0460001863539,1
1,4.0,385.8766001034528,0
0,0.25,803.3730000574142,2
1,1.0,398.3067001067102,0
1,2.83,414.2663999777287,1
1,0.71,478.13450003415346,0
1,0.25,403.73719989694655,1
0,0.25,354.69709982536733,2
1,0.35,418.7609000913799,0
1,0.25,406.958399977535,2
1,2.83,407.28899993374944,0
1,5.29,354.03280000574887,1
1,0.5,437.55430000275373,0
0,0.25,414.51030008867383,2
1,7.0,357.99079987592995,2
1,0.25,376.6019001454115,2
1,7.0,369.8993000984192,1
0,2.0,359.7473999802023,3
1,7.0,556.0313001591712,3
1,0.71,453.8372998908162,5
1,0.35,368.98149986192584,4
1,0.71,503.421200145036,3
1,2.0,441.8248000405729,4
1,2.83,416.0144999008626,3
1,5.29,533.1550000086427,3
1,0.71,512.9124000053853,3
0,2.0,411.4223000910133,3
1,7.0,408.34050014056265,4
1,2.0,454.6903999838978,4
1,0.35,437.481000026688,5
1,0.5,457.6181000415236,5
1,5.29,432.34550015442073,4
1,0.5,403.2644999064505,5
1,0.71,416.79149999655783,3
1,7.0,448.425000006333,4
1,1.0,412.36010001413524,5
1,0.5,471.2766000851989,3
1,4.0,409.0848999880254,5
1,2.0,442.0331999976188,3
0,2.83,411.9449001122266,3
1,1.0,397.1356001533568,3
1,1.41,381.7931999769062,3
1,2.83,460.1452999599278,5
1,2.0,413.65679999254644,4
1,2.83,423.922700047493,4
