CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,16,524.722600003239,1
0,8,776.806799982674,0
1,8,572.077899993397,1
1,16,933.619399959221,0
0,8,579.140999991447,0
0,8,290.402199953329,0
0,8,837.513399947435,0
1,8,593.199899998959,1
0,16,809.590600020252,4
1,16,916.442599959206,4
1,8,517.220600039233,3
1,8,525.083800017834,4
1,4,462.330900012981,4
1,4,449.872400026303,5
0,16,536.99960000487,8
1,16,541.730499997735,7
1,16,592.727300009225,8
1,8,616.223699992057,6
1,4,492.244399964344,7
1,4,479.717600039672,7
1,4,590.527799966745,8
