CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,16,623.3928999,1
1,8,512.9478,1
1,4,770.7441002,0
1,4,524.4396,1
1,4,645.3742,0
1,8,486.6391001,1
0,8,509.5963999,0
1,8,537.1116001,1
1,4,774.6014001,0
1,16,655.3939001,0
1,16,683.3457001,0
1,16,518.6024,5
1,4,508.4804,3
1,4,499.0437,3
1,8,490.7029999,3
1,8,587.2037,4
1,4,534.7149999,5
1,16,874.5613001,3
1,4,510.8435999,5
1,8,475.4891,5
1,8,549.0227999,4
1,4,696.8282999,4
1,8,500.4985,5
1,16,695.4998998,4
1,4,512.8638,3
1,8,506.2683001,5
1,4,599.4525,5
1,16,604.8742,4
1,4,502.6550002,5
1,8,851.3953002,8
1,8,492.9302999,6
1,16,535.5492998,7
1,16,575.6911,7
1,16,481.4930002,6
1,8,470.0453,7
1,16,508.8556002,6
1,4,525.7249,6
0,4,885.7292,8
1,4,738.8839,7
1,16,447.398,6
1,4,490.8610001,6
1,4,483.2569,6
