CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,16,648.916999980807,2
1,16,652.566200002562,2
1,16,621.354100000113,2
1,4,417.767900038976,1
1,16,644.316599992104,4
1,4,496.413100041915,4
1,16,436.297499978915,4
1,8,543.238700015005,3
0,8,466.941100018099,4
0,8,368.248599985614,3
1,8,602.311999999452,3
1,8,876.310999967624,4
1,16,719.283899987582,4
1,8,620.066999978386,7
1,8,504.15409996314,8
1,4,473.044599985238,7
1,8,500.183599997777,6
1,4,531.230099961627,7
1,4,581.926000010222,6
