CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,0,623.3928999,1
1,150,965.2924998,1
1,-30,477.2916,1
1,-90,868.5275998,2
1,-180,770.8489,2
1,30,766.5341999,2
1,150,538.5366,1
1,-30,1080.5573,0
0,-150,809.7892,0
1,-150,608.5044999,0
1,30,541.6045,1
1,150,750.9176002,1
1,-120,941.6132999,2
1,90,864.0396001,1
0,180,632.1091002,2
1,180,517.6894001,1
0,120,716.2802999,0
1,120,589.4258001,1
1,180,519.3572,1
1,90,766.0791,0
1,60,828.8563,0
1,120,859.6179,2
1,-120,690.6939002,2
1,-180,927.6397002,0
1,0,655.3939001,0
1,-60,532.0991999,2
1,0,683.3457001,0
1,60,659.2127999,2
1,-90,777.7394999,5
1,0,518.6024,5
1,90,686.4805,5
1,-30,704.2941001,4
1,-150,820.2721001,5
1,-90,576.8181001,5
1,-60,663.0484999,3
0,-150,829.4907,4
1,-150,649.9840998,5
1,180,571.0946998,5
1,120,572.0721001,3
1,-150,680.1483002,4
1,-120,650.13,3
1,-60,640.0540001,5
1,-90,570.6225001,4
1,90,570.2979002,4
1,0,874.5613001,3
1,-30,939.9571,5
1,-90,1088.7773,3
1,60,876.8414001,4
1,90,543.0079,5
1,90,499.3298,3
1,90,445.4897,5
1,-150,563.1948,5
0,-30,790.7127999,5
1,-30,539.1543,5
1,0,695.4998998,4
1,-60,604.7240999,4
1,60,572.9538,4
1,0,604.8742,4
1,-30,563.3135999,3
1,30,526.4013,3
1,30,607.8276001,3
1,-90,649.2604001,4
1,-90,573.0999001,4
1,-150,648.8484,7
1,0,535.5492998,7
1,120,667.1376,8
1,0,575.6911,7
1,-60,538.2997999,6
1,-90,650.6061,7
1,0,481.4930002,6
1,120,614.0411999,6
1,120,528.9048001,7
1,60,482.4581,6
1,-120,795.7394999,8
1,-60,623.0476001,8
1,0,508.8556002,6
1,-90,512.0621999,7
1,-180,525.8088,6
1,-60,569.2768002,8
1,-180,668.3383,8
1,0,447.398,6
1,-30,475.9919001,8
1,-150,519.8048002,7
1,180,575.2758,8
1,90,481.6371,6
0,-150,492.9370999,8
1,-150,577.5688,8
1,150,486.2251999,6
