Correct Response,Size/Rotation (deg/deg),Reaction Time (ms),Target
0,"(4, -180)",500.7370000524074,3
0,"(4, -180)",820.6004998931289,3
1,"(4, -180)",810.0453000800312,3
1,"(8, 180)",752.1975999982656,4
1,"(16, -120)",650.1299999938906,3
1,"(8, 90)",660.0814999831468,4
1,"(4, 150)",785.1298000016809,4
1,"(4, 0)",534.7149998699874,5
1,"(16, -60)",640.0540001043678,5
1,"(16, -90)",570.6225000606478,4
1,"(16, 90)",570.2979001501203,4
1,"(16, 0)",874.5613000640274,3
1,"(16, -30)",939.9570999951661,5
1,"(4, -90)",783.2970000156761,4
1,"(16, -90)",1088.7772999988497,3
1,"(8, -180)",549.4983999808878,5
1,"(16, 60)",876.8414000799507,4
1,"(8, -30)",477.07320007547736,5
1,"(4, -30)",529.6476001670212,3
1,"(8, 120)",560.1494999421388,5
1,"(4, 0)",510.843599942103,5
1,"(16, 90)",543.0079000355304,5
1,"(8, -60)",475.72739983960986,4
1,"(8, 60)",559.2195999627561,3
1,"(8, -150)",556.2288998910785,3
1,"(4, -120)",538.3646001858265,5
1,"(4, -180)",566.6407000092418,3
1,"(4, 30)",499.0618001022935,3
1,"(4, -90)",527.3833999229223,3
1,"(8, 0)",475.48910000413656,5
1,"(4, -30)",486.2052998790145,5
1,"(8, -30)",435.7522998755425,5
1,"(16, 90)",499.3298000475019,3
1,"(4, -150)",523.927399917096,5
1,"(16, 90)",445.4896999807656,5
1,"(8, 0)",549.0227998518944,4
1,"(8, 150)",486.53730007871985,3
0,"(4, 120)",603.2463000440598,4
1,"(4, 120)",765.8782000938058,3
0,"(4, -60)",616.5898999018223,4
1,"(4, -60)",576.3975000293553,4
1,"(4, -120)",586.8222001293302,5
1,"(4, 0)",696.8282999289781,4
1,"(8, 30)",504.6588999969512,3
1,"(4, 150)",542.2171000675858,4
1,"(8, -180)",597.6632000231743,4
1,"(16, -150)",563.1947999639065,5
1,"(8, 120)",607.8515998372436,4
1,"(4, 150)",622.3464000789077,3
0,"(16, -30)",790.7127999053896,5
1,"(16, -30)",539.1543000289798,5
1,"(8, 0)",500.49849998258054,5
1,"(16, 0)",695.4998998256028,4
0,"(4, 60)",942.7193000731618,3
1,"(4, 60)",1169.3464000993968,4
1,"(4, -150)",763.0634000809491,4
0,"(8, 120)",662.5786999059469,5
1,"(8, 120)",561.4223999721557,5
1,"(8, 150)",626.5841999841482,4
1,"(4, 180)",860.8134000381083,4
1,"(4, -90)",552.0057999813557,5
1,"(4, 0)",512.8637999580801,3
0,"(8, -60)",647.6548000057787,5
1,"(8, -60)",564.6686000102759,4
1,"(8, 0)",506.2683001445234,5
1,"(16, -60)",604.7240998880566,4
1,"(16, 60)",572.9538000007719,4
1,"(4, 0)",599.4525000271947,5
1,"(4, -120)",736.1039999225736,4
1,"(8, -30)",763.940300122425,5
1,"(16, 0)",604.8741999832541,4
1,"(8, -120)",564.007899985239,5
1,"(16, -30)",563.3135999371857,3
1,"(4, 0)",502.65500022150576,5
1,"(8, 60)",955.7794998684526,5
1,"(8, -60)",530.2110000332445,3
1,"(16, 30)",526.4013000117243,3
1,"(4, -30)",600.2023998001218,4
1,"(16, 30)",607.8276001201571,3
1,"(16, -90)",649.2604001244158,4
1,"(8, 60)",559.4502999731899,5
1,"(8, -150)",501.6412998368591,5
1,"(16, -90)",573.0999000655115,4
1,"(4, -60)",634.8905999032409,6
