Correct Response,Height (deg),Reaction Time (ms),Target
1,2.83,405.3655277788639,2
1,2.83,548.4415629729629,2
1,5.655,398.154518738389,2
1,0.705,696.2935344167054,0
1,0.705,373.3249038308859,0
0,2.0,573.7104738913476,0
1,2.0,522.6551906056702,1
1,4.0,513.4961914122105,0
0,4.0,542.3019991107285,0
1,4.0,575.3966608867049,2
1,1.0,507.4033901877701,1
1,5.655,640.1592103615403,2
1,1.415,785.37608839944,0
1,14.0,710.1718091256917,2
1,1.415,600.102030377835,1
1,0.5,736.7241337746382,0
1,0.705,677.27819288522,1
1,1.0,611.9777017123997,0
1,2.83,617.2523267418146,2
1,4.0,363.50576596707106,1
1,0.5,678.9701824858785,1
1,14.0,734.325583729893,2
0,2.0,596.8938373811543,0
0,2.0,528.2465724125504,2
1,2.0,778.2162797488272,0
1,10.585,709.9885132014751,1
1,10.585,499.5581840015948,1
1,8.0,723.806371152401,2
1,10.585,400.5059643499553,0
1,4.0,435.9957619421184,1
1,2.0,686.5563170835376,2
0,0.5,865.260731600225,2
1,0.5,883.2660677693784,0
1,14.0,613.7980326861143,3
1,8.0,496.85072729736567,5
1,8.0,605.5067029632628,5
1,0.705,869.2898309640586,4
1,0.705,645.9929395318031,4
1,5.655,498.51609317958355,5
1,1.415,629.4164249524474,3
1,14.0,430.2869613133371,5
1,2.83,696.8768734335899,4
1,1.0,560.3145036697388,4
1,0.705,641.5730134434998,5
1,5.655,454.5175365023315,3
0,10.585,504.9375981874764,4
1,10.585,524.6909029632807,5
1,8.0,614.3458729460835,4
0,0.5,888.1720525063574,5
1,0.5,689.4023550525308,3
1,10.585,698.040820363909,4
1,8.0,540.4420738890767,5
1,14.0,507.99799355119467,3
1,1.415,654.9563544653356,3
1,4.0,449.9699512347579,3
0,0.5,751.8421310782433,3
1,0.5,754.1809470243752,4
1,1.0,726.7606120407581,3
1,1.415,678.8493503667414,5
1,2.0,679.8596975244582,4
1,5.655,598.4783076532185,3
1,1.0,744.5051695071161,3
1,2.83,539.3102119527757,5
1,2.0,553.9189397208393,3
