Correct Response,Height (deg),Reaction Time (ms),Target
1,2.83,568.5460997596383,0
1,4.0,634.2490228675306,0
1,10.585,569.2485637813807,0
1,1.0,728.1750973165035,0
1,4.0,525.9552017636597,0
1,0.705,919.6658606491983,2
1,1.415,661.4488565213978,1
1,2.0,520.1033821180463,1
1,2.0,724.4347666241229,2
0,0.705,737.0497660562396,2
1,0.705,702.1917758360505,2
1,8.0,570.2565211653709,1
1,1.0,749.5313037037849,2
1,14.0,624.6701834574342,1
0,0.5,808.2317725606263,0
1,0.5,826.7945062220097,2
1,2.83,505.1137261874974,1
1,1.0,712.2037668563426,2
1,1.415,762.2715725414455,1
1,4.0,527.9479061104357,1
1,10.585,412.9752141274512,1
1,14.0,618.5811373256147,0
1,5.655,723.0591929368675,2
1,8.0,698.0650547742844,2
1,0.5,829.9456962235272,0
1,2.0,567.6685312613845,0
0,0.5,695.6927880495787,2
1,0.5,775.5368125475943,0
1,4.0,770.5656329020858,2
1,0.705,652.5363006480038,1
1,2.83,639.3167997561395,2
1,4.0,744.0358360148966,3
1,14.0,676.6719847768545,4
0,5.655,779.9406956732273,4
1,5.655,689.2508027926087,4
1,2.0,631.3036570176482,5
1,2.83,523.7006947249174,3
0,1.0,806.684508625418,5
1,1.0,1170.6216798014939,4
1,1.415,1190.5275603607297,4
1,1.415,613.1716861240566,5
0,0.5,963.5842043757439,4
1,0.5,806.6353562138975,5
1,1.0,882.1912092939019,5
1,8.0,600.4027451239526,3
1,8.0,536.0132727622986,3
1,14.0,554.7784172780812,5
1,4.0,781.8180296421051,5
1,2.83,873.9616607166827,4
1,1.415,648.5689828954637,3
1,0.705,737.8194724991918,3
1,0.5,1155.9692613631487,4
1,8.0,501.68946961313486,3
1,2.0,812.1830478161573,5
1,5.655,838.3841404542327,4
1,5.655,553.009627558291,5
1,0.705,618.2292226552963,3
1,5.655,442.20495799928904,5
1,10.585,562.1174263618886,5
1,10.585,537.0502436384559,3
1,14.0,848.1315981447697,4
1,10.585,548.499248161912,3
