Correct Response,Height (deg),Reaction Time (ms),Target
1,14.0,613.9762086644769,0
1,8.0,745.9647112376988,2
1,4.0,532.2606537342072,1
1,2.83,589.1585407629609,1
1,5.655,546.2211889065802,0
1,1.415,612.1702135391533,0
1,10.585,770.8001287505031,2
1,2.0,511.5557114444673,0
1,14.0,660.9549472890794,2
1,1.415,914.4315134584904,0
1,10.585,478.97748712822795,0
1,14.0,623.7854475006461,2
0,0.705,853.3772096820176,2
1,0.705,695.5023242011666,1
1,4.0,955.2351899296045,2
1,0.705,994.0598152428865,0
1,0.5,762.1510822176933,0
1,1.0,534.7189364805818,0
1,14.0,622.1634314246476,2
1,2.83,646.5424859747291,2
1,0.5,758.5960949622095,2
1,1.0,583.1193287707865,2
1,8.0,439.07902686297894,2
1,4.0,554.2595905102789,0
1,5.655,628.9621099680662,2
1,0.5,748.127399649471,1
1,1.0,609.3129116892815,0
1,0.705,918.131225913763,1
1,0.705,965.6107008308172,2
1,1.0,821.5529906414449,4
1,2.0,497.0241246595979,3
1,2.0,696.9550388716161,4
1,1.415,513.1388154663146,4
1,0.5,1088.457612492144,5
1,14.0,527.9298156350851,3
1,8.0,512.7141966335475,5
1,1.415,559.1683058850467,3
1,5.655,539.7061586230993,5
1,1.0,561.3357729129493,4
1,5.655,459.0374731309712,3
1,2.83,496.41825788095593,5
1,0.5,716.0581035390496,3
1,5.655,498.45704220607877,5
1,1.415,465.88325564190745,3
1,4.0,434.0515273474157,3
1,4.0,577.1709114164114,5
0,0.705,588.5926095619798,4
1,0.705,651.0907534360886,3
1,10.585,504.05968882516026,3
1,10.585,390.73119981586933,3
1,10.585,580.8218137212098,4
1,8.0,470.3188828974962,3
1,1.0,776.6324926018715,4
1,2.0,535.4473420269787,5
1,8.0,510.48938574641943,4
1,2.83,436.1230797916651,3
1,2.0,836.3555960208178,5
1,2.83,515.5387308299541,4
