Correct Response,Height (deg),Reaction Time (ms),Target
1,21.17,463.28809781372547,1
1,8,596.0210484303534,0
1,11.31,491.59760650619864,2
1,1.41,561.8194422535598,1
1,11.31,581.6785606406629,0
1,1.41,738.7649660781026,1
1,16,667.7556738108397,2
1,1,566.2007980830967,1
1,5.66,534.5701153241098,0
1,28,500.1596130281687,0
1,21.17,655.1597888432443,2
1,2,603.8437268547714,2
1,2.83,516.5617067217827,2
1,21.17,347.8938594311476,1
1,16,446.13268150389194,1
1,2,603.8833215683699,2
1,1.41,534.6615926213562,1
1,5.66,490.8057131655514,1
1,2,722.4563976600766,2
1,4,490.41795840859413,2
1,5.66,538.638809401542,0
1,16,602.1571985296905,2
1,4,536.1467340812087,0
1,1,591.7192233577371,2
1,11.31,484.6521547846496,0
1,1.41,700.5762450248003,0
1,2.83,574.9706767350435,2
1,1,564.4678484499454,2
1,1.41,566.1168300397694,5
1,4,656.50122955814,4
1,2,659.4626379050314,4
1,5.66,579.666058704257,5
1,16,565.0860030986369,4
1,8,508.5161371938884,4
1,4,553.9889132454991,3
1,1,846.4962697438896,3
1,8,525.4486633315682,4
1,11.31,726.1578172296286,5
1,1,600.0795021504164,3
1,2.83,496.4605832323432,5
1,2.83,437.4849998243153,4
1,11.31,499.48547983914614,4
1,5.66,567.9716357812285,3
1,21.17,535.3582540377975,3
1,4,621.5309409275651,5
1,2,586.206006988883,4
1,16,550.5404222607613,4
1,28,522.6053560003638,3
1,1,671.4635781794786,5
1,2.83,549.0955577082932,4
1,8,689.4016719274223,5
1,28,523.3883743025362,4
1,21.17,399.45943624153733,4
1,28,537.5567825362086,5
1,8,535.9190648272634,4
1,28,501.393192153424,4
