Correct Response,Height (deg),Reaction Time (ms),Target
1,2.0,578.9373122937977,0
1,16.0,500.54668559134007,2
0,1.0,668.4083032272756,2
1,1.0,680.0419694595039,0
1,2.0,535.1213684156537,2
1,16.0,494.51225221529603,0
1,1.0,619.0119000934064,0
1,2.0,511.1529377140105,1
1,4.0,469.39489355683327,1
1,4.0,459.56517447158694,2
1,28.0,488.6409767754376,1
1,11.32,605.6633751690388,1
1,21.16,423.8193763270974,1
1,16.0,489.91483280807734,0
1,2.0,451.53974386304617,1
1,8.0,373.30817820876837,1
1,2.0,566.3823873586953,2
1,5.66,567.9204353913665,2
1,21.16,415.88132705911994,2
1,1.42,554.0721986293793,1
1,2.82,491.1484114676714,1
1,1.42,624.004242181778,0
1,5.66,503.30602487921715,1
1,8.0,467.89678110182285,2
1,8.0,437.44403979182243,2
1,28.0,392.9099307246506,2
1,28.0,374.01644530147314,2
1,11.32,473.4571019038558,1
1,4.0,507.0774170421064,2
1,2.82,600.2532413080335,5
1,1.0,548.6272482052445,3
1,2.82,525.7766844555736,4
1,1.42,609.8870348036289,3
1,1.42,660.8586913757026,4
1,5.66,499.9903120882809,4
1,1.42,522.2483209185302,3
0,8.0,436.98562931641936,4
1,8.0,595.9561953172088,4
1,4.0,575.2891410924494,4
1,11.32,485.2750880494714,5
0,11.32,536.385667681694,4
1,11.32,473.94554986059666,5
1,28.0,662.4059557765722,4
1,4.0,646.0379955209792,5
1,8.0,449.2237970083952,3
1,5.66,597.3095816411078,4
1,2.82,533.1778160147369,3
1,21.16,567.8200835213065,4
1,5.66,461.5135050229728,5
0,1.0,549.3102564327419,4
1,1.0,610.0696480683982,3
1,28.0,489.7165179103613,5
1,11.32,506.56712351739407,5
0,16.0,487.3763361796737,4
1,16.0,548.8419469296932,3
1,21.16,574.0016314052045,4
1,21.16,517.813034992665,3
1,4.0,480.2318873666227,3
1,2.82,609.5067893005908,4
1,16.0,628.1125314384699,4
0,1.0,613.9253500699997,5
1,1.0,576.8688318170607,5
