Correct Response,Rotation (deg),Reaction Time (ms),Target
1,15,624.268299838528,0
1,0,474.4083999507129,2
1,-22.5,664.1898999772966,0
1,-15,458.75749986991286,0
0,52.5,1111.6234000623226,2
1,-60,430.14450015872717,2
1,60,563.3458000924438,0
1,52.5,674.667900133878,1
1,22.5,764.1692999135703,1
1,0,1048.5708000455052,0
1,-7.5,523.2519001550972,0
1,7.5,569.5031999461353,1
1,-22.5,478.36769994720817,2
1,-7.5,818.8502000961453,1
1,7.5,595.0052998345345,0
0,37.5,613.3521999549121,2
1,15,537.4835000224411,2
0,-22.5,926.1409001741558,0
0,-15,614.6585000064224,1
0,-30,761.0418998487294,0
0,45,548.5104999355972,0
1,-30,363.45769994333386,2
1,-15,660.1328001674265,0
1,-60,602.0216000583023,2
1,-7.5,644.0726999975741,1
1,-30,411.88039997033775,2
1,45,1151.3690000250936,1
1,7.5,552.8015000130981,0
0,-37.5,481.7095998991281,4
1,-30,1030.4638998899609,4
1,-37.5,524.8671001140028,5
0,60,707.1468000616878,5
1,30,1108.4241999164224,4
1,0,489.6253002192825,3
1,30,709.5091000050306,4
1,-52.5,555.8339999374002,5
1,45,1037.534400060773,5
1,52.5,757.7766000144184,3
1,-7.5,604.9944999944419,5
1,22.5,532.639499925077,4
1,-30,774.4482999518514,4
1,-45,568.7085999492556,5
1,37.5,623.9928998369724,5
1,-45,401.1290000602603,5
1,-37.5,384.8972999807447,5
0,30,558.8112999070436,4
0,60,650.2120000626892,4
1,-52.5,1016.0746001023799,4
1,22.5,713.7884999942034,4
1,-45,497.3492998946458,5
1,-45,484.3280000463128,5
1,15,597.0998000670224,3
1,-15,737.9346000347286,3
0,60,1070.32750005275,4
0,-22.5,530.7190999705344,3
1,52.5,884.5204000212252,4
0,45,683.5603999756277,8
0,60,543.4805000517517,8
1,52.5,751.0880999583751,8
1,7.5,778.1863998938352,7
1,-52.5,589.6612998880446,8
0,45,918.7825000230223,7
0,45,493.39419993013144,6
1,45,535.4608001038432,7
1,-60,875.4810999929905,8
1,37.5,1106.8596001099795,6
1,-37.5,705.1030000988394,7
1,-22.5,677.143200006336,6
0,60,735.7958000469953,6
1,60,651.4038999415934,6
1,37.5,490.0637999493629,7
0,45,981.5200000852346,8
1,0,517.5245999675244,8
1,-52.5,615.4150000624359,8
1,15,569.2738999463618,7
1,-22.5,530.659299980849,8
1,30,554.4001000784338,7
1,22.5,688.6199998520315,6
1,-15,710.0828000660986,8
0,45,737.6803000774235,7
0,60,-109.0,6
1,30,637.5343999210745,7
1,60,705.5451999735087,8
1,37.5,668.1026000846177,6
0,60,663.8821998462081,6
1,60,831.013499930501,7
1,45,695.3023999780416,8
