Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-52.5,491.0864999993145,1
0,-15,485.9341999991238,1
1,15,480.49220000490544,2
1,15,632.4497000323981,0
1,-45,1036.4240000499785,0
0,52.5,498.8911999399215,1
1,7.5,459.2343999548256,2
1,45,657.9507999131829,1
1,-45,717.0761000607536,1
1,-7.5,611.8767000744492,0
1,-60,565.908599995114,1
1,-22.5,730.5105000278354,0
1,-7.5,544.7335999934376,0
1,60,772.7083999207616,0
1,-52.5,954.3765999852121,0
1,-7.5,920.2288000388444,2
1,-37.5,754.1333999261633,0
0,30,618.0615000203625,2
1,-45,551.8373000678048,1
1,52.5,539.4810000444204,0
1,-7.5,487.5129000293463,2
1,22.5,535.9955999311433,2
1,-15,480.91789998676626,2
1,0,443.0745000727847,2
1,22.5,658.0688999975473,1
1,30,836.3375000199676,4
1,-22.5,746.3098999588192,5
1,-52.5,994.7935000537336,3
1,-60,749.1169999130443,5
1,0,618.038399960883,5
1,60,682.1302000908554,4
1,15,531.1586000034958,5
0,52.5,859.7939000474662,5
1,7.5,567.2315000566095,5
0,-15,554.3397000302002,3
1,0,558.5387999900058,4
0,-37.5,850.5744000440836,4
1,-37.5,604.7117999997363,3
1,-15,486.9084999673441,5
1,52.5,991.6963999867812,3
1,-22.5,685.7154000327364,4
1,-37.5,696.4972000578791,4
1,-60,812.9992999611795,3
1,-60,1057.460600045547,3
0,-45,435.8773999857157,4
0,45,894.8719999762625,4
1,0,578.2913999874518,5
1,37.5,794.5129999434948,4
1,30,628.5843000524119,5
1,-30,933.877800010182,3
1,37.5,689.5286999652535,4
0,45,959.4564000154287,5
1,45,759.6838999316469,4
1,30,636.7224000869692,7
1,-15,673.4019999867678,7
1,7.5,478.4758000178635,8
1,-30,582.0584999174253,7
1,37.5,622.5024999594689,7
1,-15,582.7574000005052,7
1,60,881.8305999748782,8
1,-22.5,613.8561000125856,8
1,52.5,714.7356000505761,6
1,-52.5,435.4473999711126,7
1,37.5,593.0107000759244,7
1,52.5,911.0615000836924,6
1,45,587.9556000009552,8
1,15,666.7553000161797,7
0,-45,584.3291999781877,6
1,22.5,599.1822000369802,7
0,45,941.1032999642566,7
0,-30,946.6934999227897,7
1,22.5,526.765199961178,6
1,30,446.61079999156294,6
1,45,617.92729992982,8
1,-30,695.9401000067965,6
1,-37.5,542.2603999041394,7
1,60,464.3141999850422,8
1,-45,817.4366999892891,7
