Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-7.5,639.8577000955493,0
1,45,589.0615000399202,1
1,-52.5,914.7312999712676,0
1,60,744.8796000108496,2
1,-30,672.5925999936089,0
1,-30,523.8077000258863,1
1,-45,850.8169000279531,2
1,7.5,570.1647999240458,0
1,52.5,976.0264999941364,2
1,-45,619.2930999687314,1
1,7.5,591.2854999779165,2
1,-52.5,625.424200087823,2
1,-37.5,776.9527999926731,0
1,-45,774.0697000418231,2
0,30,694.2058999566734,0
1,45,663.7542999824882,2
1,-15,677.7675000494719,0
1,-37.5,595.2387999287248,1
1,-22.5,738.1267999308557,2
1,45,523.7743000043929,1
1,-7.5,484.8648000052571,1
1,60,823.5394000085444,1
1,-45,677.0161999166385,1
1,7.5,682.5607999936119,5
1,37.5,723.1349999793247,3
1,37.5,846.4736000178755,5
1,0,530.4437000314147,3
0,60,1194.8028999623284,5
1,15,735.7131999461353,5
1,30,648.4940999662876,3
1,30,882.0562999472395,4
1,0,909.2993000531942,4
1,45,558.2328001046926,4
1,30,600.3965999707953,5
0,22.5,715.1915999139101,4
1,22.5,523.7870999854431,3
1,0,536.8681000555307,5
1,30,641.1931000193954,5
1,-37.5,600.5228000004217,5
1,-15,665.1473999964446,4
1,-22.5,522.3807999873907,3
1,22.5,572.2358999783546,4
1,15,481.5475000078231,5
1,-7.5,562.2501999615133,5
1,52.5,963.9911999702827,4
1,52.5,804.1150999497995,5
1,15,534.1019999478385,5
1,-60,1096.074600006491,8
1,22.5,618.778700009957,6
1,52.5,868.9015000136942,7
1,60,755.6321999300644,6
1,60,745.1364999879524,6
1,-22.5,358.4890000066161,8
1,-60,381.53160002645103,8
1,-60,646.573000006415,7
1,7.5,773.4939999655262,6
1,-37.5,349.31810002405194,7
0,37.5,1072.5160999000445,8
0,-60,760.3861000398547,6
1,-30,519.0793999946118,7
1,-22.5,622.0230000336096,6
1,15,530.754399952516,8
1,-52.5,959.7336000306905,6
1,-52.5,380.231600022912,7
1,0,605.3904000446573,6
1,37.5,456.11679996460674,6
1,22.5,432.97450000051407,7
1,-7.5,333.65450007937847,7
1,-15,566.8248999873549,6
1,-15,484.49409997653214,6
1,-60,455.1023999238759,7
