Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90,616.8427999648825,1
1,-120,909.1008999669552,2
1,-90,695.1328000571207,0
1,-90,595.7652000063658,0
1,-60,412.9495999361947,1
1,180,643.0047999886424,0
1,-180,643.0047999886424,0
1,60,489.2606999776885,1
1,180,780.540499981083,0
1,-180,780.540499981083,0
1,90,604.0100999228284,2
1,-30,613.7392999656126,0
1,-120,481.881400016658,0
1,-60,608.0282000178099,2
1,90,613.0771999299154,2
1,-60,522.2017999324576,1
1,30,471.74460001342,1
1,30,456.13680002797395,1
1,0,504.6555999718234,2
0,150,796.5243000356108,2
1,120,588.1739999452234,0
1,-30,495.3490000037104,1
1,150,641.5557000139356,0
1,180,700.9434999484197,2
1,-180,700.9434999484197,2
1,0,538.0926999780909,0
1,-150,707.4854999366776,3
1,-60,672.2801999706403,4
1,-30,438.5028999816254,4
1,60,631.7581000323967,3
1,-30,828.7929999926687,4
1,-30,372.61750004772097,4
1,120,794.5990000437573,4
1,150,620.2649000618235,5
1,-120,521.7630999680237,5
1,0,579.9538999847696,4
1,-90,577.070000027828,3
1,-120,555.5775999376178,3
1,90,548.9462999678776,5
1,0,497.06889994494617,3
1,120,588.7942000111193,4
1,180,503.1072999402508,5
1,-180,503.1072999402508,5
1,120,643.4495999995247,5
1,-150,616.636799909696,4
1,90,801.7851000470669,4
1,-150,541.5777000883222,4
1,60,604.5971000851691,3
1,-60,549.1248000464961,5
1,150,651.2351999111102,6
1,0,352.3396000085026,7
1,30,573.9948000112176,6
1,0,441.2445000191778,7
1,-90,513.2616999610887,7
1,-150,533.578099944219,6
1,-120,511.2974000215158,6
1,60,521.1090999940038,8
1,150,555.5676999786497,8
1,-30,489.66230000887066,6
1,150,555.5668999725581,8
0,30,497.74450008343905,6
1,30,381.5460000471771,7
1,120,515.2468000590429,7
1,150,706.1436999640987,8
1,30,500.4134000330791,7
1,60,470.58420002512634,6
1,90,632.8595000370965,8
1,180,566.5131999697164,8
1,-180,566.5131999697164,8
1,30,513.2627000851185,8
1,90,496.86599991336465,7
1,-150,499.20890005823225,7
1,60,546.6469000378252,8
