Correct Response,Height (deg),Reaction Time (ms),Target
1,1.41,557.6205999832973,1
1,1,647.8346999511496,2
1,11.31,511.90629997387526,0
1,2.83,453.98650004159657,1
1,28,462.74500002715735,0
0,1,559.3403000394255,2
1,4,482.8708999567106,1
1,11.31,400.1143999640271,0
1,28,609.8407999389246,1
1,1.41,488.16139996148644,1
1,5.66,671.4563000724092,2
0,28,361.18130001801995,1
1,21.17,471.01839992780236,2
1,1.41,628.1002999758721,1
1,5.66,460.56629996843634,1
1,4,585.5774000529573,2
1,11.31,504.17079997811464,1
1,8,439.27820003688333,1
1,1.41,505.7733999574929,2
1,21.17,549.8073999779672,2
1,4,513.770799968429,1
1,11.31,414.01319997482,1
1,16,445.33489993870256,0
1,21.17,371.1968000289425,1
1,8,544.8751000231505,2
1,1,575.8027000129596,2
1,28,516.8988000378386,1
1,5.66,535.4499999676273,0
1,1,736.9836999578774,1
1,4,518.2766000517086,0
0,28,455.7742000334337,1
1,21.17,383.52659996695814,1
1,4,507.7349999929219,0
1,2,537.4254999924824,2
1,28,446.2304000053927,0
1,8,353.87620003990827,1
1,2,492.37960006672887,2
1,21.17,426.3215999827161,1
1,21.17,504.9010000666976,2
1,5.66,365.1888000322878,1
1,2,541.557999910824,2
1,1,728.2616000166536,0
1,2,589.6164999585972,2
1,2.83,511.2493999777734,4
1,11.31,791.5973999780044,4
1,1.41,560.3264000974968,4
0,1.41,420.55189993795005,5
1,16,380.13040006723253,5
1,5.66,643.656899920702,4
1,8,472.3127000043541,4
1,21.17,446.622899967283,4
1,1,782.604600071013,3
1,11.31,531.2847000323609,3
1,4,542.3050000109151,5
1,11.31,479.1519000437483,4
1,16,542.2701999787614,5
1,16,514.8437999897078,5
1,1,1159.6419999851287,4
1,11.31,496.41440005604176,4
1,1,604.6079000234977,3
1,8,579.2262000041455,5
1,5.66,483.1013999656215,4
1,1.41,577.7452999037132,3
1,28,521.3753000144288,4
1,16,479.86690001659093,5
1,8,548.565299949646,4
1,16,510.51930000636725,3
1,2.83,579.4268999025599,5
1,4,497.74730007726697,3
1,5.66,538.3384999595955,4
1,11.31,547.6101000104472,4
1,2,603.6391999815032,3
1,21.17,619.4592999536917,3
1,8,490.179200075604,3
1,2.83,742.784800008908,4
1,16,575.7520999769122,5
1,4,552.0019000405819,4
1,2.83,594.9895000094921,5
1,2.83,492.93819989640264,4
1,16,497.9595999475941,4
1,28,522.2682999456674,3
1,21.17,352.88829996813087,3
1,5.66,554.7347000111267,5
1,2,592.1776000187174,4
1,8,463.50529999569056,6
1,1.41,515.512199956961,8
1,4,486.7634000266343,7
1,5.66,453.21439998321233,7
1,28,411.97609994657336,7
1,5.66,356.69419996071605,6
1,21.17,461.9417000804469,8
1,2,671.1869000001252,8
1,4,469.46980001036076,8
0,2,416.7567999111861,6
1,2,346.8933999548107,6
1,2,592.7212999677658,8
1,8,393.8369000107422,8
1,2.83,533.2740000458807,6
1,8,426.8571999865025,6
1,21.17,532.9712999528647,8
1,8,480.27200007442383,8
1,2.83,465.68110003232954,8
1,2.83,540.9267999939993,7
1,1.41,546.181000071615,6
1,1.41,655.2644000631199,8
1,1,589.7133999979496,6
1,2.83,495.6742000077292,6
1,28,532.2295000087843,8
1,1,612.3787000552193,7
1,11.31,564.5633999966458,8
1,2,692.3384999400378,8
1,16,468.7136999573931,6
1,28,465.3584000198543,6
1,4,527.3835000126064,7
1,1.41,751.6520000072569,6
1,2.83,412.62590000502763,6
1,5.66,489.612899954468,7
1,16,492.3969999663904,8
1,11.31,456.75490005038677,6
1,28,470.56179994348435,8
1,28,407.64160000350324,8
1,2,596.2573000006751,7
1,16,460.16909997075794,8
1,1,622.8473999081552,7
1,1.41,372.48849996928124,7
